EColiReaction,EC,FullName,Comments
pgi,5.3.1.9,Glucose-6-phosphate isomerase,
zwf,1.1.1.49,glucose-6-phosphate dehydrogenase (NADP+),
pgl,3.1.1.31,6-phosphogluconolactonase,
edd,4.2.1.12,phosphogluconate dehydratase,
eda,NA,NA,Catalyzes three reactions
rpi,5.3.1.6,ribose-5-phosphate isomerase,
rpe,5.1.3.1,ribulose-phosphate 3-epimerase,
tkt,2.2.1.1,transketolase,
fbp,3.1.3.11,fructose-bisphosphatase,
pfk,2.7.1.11,6-phosphofructokinase,
fba,4.1.2.13,fructose-bisphosphate aldolase,
tpi,5.3.1.1,Triose-phosphate isomerase,
gap,NA,NA,Unclear which EC number to choose
tal,2.2.1.2,Transaldolase,
gnd,1.1.1.44,"phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)",
pgk,2.7.2.3,phosphoglycerate kinase,
gpm,5.4.2.1,phosphoglycerate mutase,
eno,4.2.1.11,enolase,
pps,2.7.9.2,PEP synthase,
pyk,2.7.1.40,pyruvate kinase,
pck,4.1.1.49,PEP carboxykinase,
ppc,4.1.1.31,PEP carboxylase,
mae,1.1.1.40,Malic enzyme,"Ambiguous, can also use 1.1.1.38"
mdh,1.1.1.37,Malate dehydrogenase,
pdh,1.2.4.1,Pyruvate dehydrogenase,
acs,6.2.1.1,acetate-CoA ligase,
pta,2.3.1.8,phosphate acetyltransferase,
ack,2.7.2.1,acetate kinase,
gltA,NA,NA,Unable to find clear unambiguous EC number
acn ,4.2.1.3,Aconitase,
icd,NA,NA,Can use either 1.1.1.42 or 1.1.1.41
aceA,4.1.3.1,isocitrate lyase,
aceB,2.3.3.9,malate synthase,
sucAB,NA,NA,
sucCD,6.2.1.5,Succinate-CoA ligase,
fum,4.2.1.2,,
mqo,NA,NA,NA
