,EC_number,Organism,LigandID,Literature,LigandName,chebiID,bigg.metabolite,KEGG_ID,Compound
0,1.1.1.1,Sulfolobus acidocaldarius,9759,719428,"1,4-dioxane",CHEBI:47032,,C14440,"1,4-Dioxane"
1,1.1.1.1,Sulfolobus acidocaldarius,682,719428,2-propanol,CHEBI:17824,2ppoh,C01845,Propan-2-ol
2,1.1.1.1,Sulfolobus acidocaldarius,981,719428,acetonitrile,CHEBI:38472,,,
3,1.1.1.1,Aeropyrum pernix,981,727064,acetonitrile,CHEBI:38472,,,
4,1.1.1.1,Equus caballus,4779,668487,Acetylsalicylate,CHEBI:15365,,C01405,Aspirin
5,1.1.1.1,Mus musculus,3331,667832,butyramide,CHEBI:50724,,,
6,1.1.1.1,Mus musculus,132721,667832,capronamide,,,,
7,1.1.1.1,Candida sp.,21,285637,EDTA,CHEBI:42191,,C00284,EDTA
8,1.1.1.1,Thermus thermophilus,21,684583,EDTA,CHEBI:42191,,C00284,EDTA
9,1.1.1.1,Geobacillus thermodenitrificans,21,712962,EDTA,CHEBI:42191,,C00284,EDTA
10,1.1.1.1,Saccharomyces cerevisiae,1142,695705,Glutaraldehyde,CHEBI:64276,,C12518,Glutaral
11,1.1.1.1,Sulfolobus solfataricus,67,681763,iodoacetamide,,,,
12,1.1.1.1,Devosia riboflavina,93,688442,iodoacetate,CHEBI:74571,,,
13,1.1.1.1,Equus caballus,2,285590,more,,,,
14,1.1.1.1,Pyrococcus furiosus,2,722203,more,,,,
15,1.1.1.1,Sulfolobus acidocaldarius,17952,719428,n-heptane,CHEBI:43098,,,
16,1.1.1.1,Sulfolobus acidocaldarius,14171,719428,n-hexane,CHEBI:29021,,C11271,n-Hexane
17,1.1.1.1,Mus musculus,980,697214,S-nitrosoglutathione,CHEBI:50091,,,
18,1.1.1.1,Sulfolobus acidocaldarius,169923,719428,TBME,,,,
19,1.1.1.1,Mus musculus,2231,667832,tert-butanol,CHEBI:45895,,,
20,1.1.1.1,Equus caballus,624,285641,tert-butyl hydroperoxide,CHEBI:64090,,,
21,1.1.1.1,Thermus sp.,61,695811,Triton X-100,,,,
22,1.1.1.1,Thermus sp.,116,695811,Urea,CHEBI:32285,urea,,
23,1.1.1.1,Mus musculus,12724,667832,Valeramide,CHEBI:16459,,C01842,Pentanamide
24,1.1.1.2,Thermococcus litoralis,399,286198,(NH4)2SO4,CHEBI:62946,,,
