,bigg.metabolite,chebi
0,10fthf_c,11304
1,10fthf_c,15637
2,10fthf_c,19108
3,10fthf_c,19109
4,10fthf_c,57454
5,10fthf_c,698
6,13dpg_c,11881
7,13dpg_c,16001
8,13dpg_c,1658
9,13dpg_c,20189
10,13dpg_c,57604
11,15dap_c,13928
12,15dap_c,18127
13,15dap_c,22974
14,15dap_c,3288
15,15dap_c,44370
16,15dap_c,58384
17,1pyr5c_c,12409
18,1pyr5c_c,17388
19,1pyr5c_c,18727
20,1pyr5c_c,371
21,23dappa_c,11419
22,23dappa_c,13043
23,23dappa_c,16303
24,23dappa_c,18383
25,23dappa_c,19309
26,23dappa_c,21190
27,23dappa_c,49983
28,23dappa_c,57721
29,23dappa_c,58468
30,23dappa_c,6153
31,23dappa_c,876
32,23ddhb_c,11420
33,23ddhb_c,11423
34,23ddhb_c,15941
35,23ddhb_c,19311
36,23ddhb_c,48968
37,23ddhb_c,48969
38,23ddhb_c,57576
39,23ddhb_c,58764
40,23ddhb_c,877
41,23dhb_c,11427
42,23dhb_c,18026
43,23dhb_c,19319
44,23dhb_c,19320
45,23dhb_c,36654
46,23dhb_c,41901
47,23dhb_c,885
48,23dhba_c,10846
49,23dhba_c,15572
50,23dhba_c,170
51,23dhba_c,18521
52,23dhba_c,57417
53,23dhbzs_c,12428
54,23dhbzs_c,17455
55,23dhbzs_c,21467
56,23dhbzs_c,58154
57,23dhbzs_c,7084
58,23dhdp_c,11421
59,23dhdp_c,18042
60,23dhdp_c,19312
61,23dhdp_c,23739
62,23dhdp_c,30620
63,23dhdp_c,48052
64,23dhdp_c,878
65,23dhmb_c,10966
66,23dhmb_c,11424
67,23dhmb_c,15684
68,23dhmb_c,15689
69,23dhmb_c,18645
70,23dhmb_c,305
71,23dhmb_c,49072
72,23dhmb_c,881
73,23dhmp_c,18646
74,23dhmp_c,27512
75,23dhmp_c,306
76,23dhmp_c,49258
77,23doguln_c,10900
78,23doguln_c,15622
79,23doguln_c,18578
80,23doguln_c,226
81,23doguln_c,57441
82,23doguln_c,60793
83,25aics_c,11028
84,25aics_c,18319
85,25aics_c,18965
86,25aics_c,572
87,25aics_c,58443
88,25dkglcn_c,1070
89,25dkglcn_c,11449
90,25dkglcn_c,18281
91,25dkglcn_c,19378
92,25dkglcn_c,58428
93,25drapp_c,11446
94,25drapp_c,19368
95,25drapp_c,29114
96,25drapp_c,58614
97,25drapp_c,59545
98,25drapp_c,59546
99,25drapp_c,927
100,2ahbut_c,18730
101,2ahbut_c,27681
102,2ahbut_c,373
103,2ahbut_c,49256
104,2amsa_c,1020
105,2amsa_c,11523
106,2amsa_c,17740
107,2amsa_c,21210
108,2amsa_c,37012
109,2amsa_c,58671
110,2aobut_c,11507
111,2aobut_c,13048
112,2aobut_c,16944
113,2aobut_c,17844
114,2aobut_c,21195
115,2aobut_c,35229
