,bigg.reaction,EC_number
351,23pde2pp,3.1.4.16
352,23pde4pp,3.1.4.16
353,23pde7pp,3.1.4.16
354,23pde9pp,3.1.4.16
370,2agpeat120,2.3.1.40
371,2agpeat140,2.3.1.40
372,2agpeat141,2.3.1.40
373,2agpeat160,2.3.1.40
374,2agpeat161,2.3.1.40
375,2agpeat180,2.3.1.40
376,2agpeat181,2.3.1.40
384,2agpgat120,2.3.1.40
385,2agpgat140,2.3.1.40
386,2agpgat141,2.3.1.40
387,2agpgat160,2.3.1.40
388,2agpgat161,2.3.1.40
389,2agpgat180,2.3.1.40
390,2agpgat181,2.3.1.40
392,2dgulrgy,1.1.1.215
401,3had100,4.2.1.60
402,3had120,4.2.1.61
403,3had121,4.2.1.61
404,3had140,4.2.1.61
405,3had141,4.2.1.61
406,3had160,4.2.1.61
407,3had161,4.2.1.61
408,3had180,4.2.1.61
409,3had181,4.2.1.61
410,3had40,4.2.1.58
411,3had60,4.2.1.58
412,3had80,4.2.1.58
422,3oar100,1.1.1.100
423,3oar120,1.1.1.100
424,3oar121,1.1.1.100
425,3oar140,1.1.1.100
426,3oar141,1.1.1.100
427,3oar160,1.1.1.100
428,3oar161,1.1.1.100
429,3oar180,1.1.1.100
430,3oar181,1.1.1.100
431,3oar40,1.1.1.100
432,3oar60,1.1.1.100
433,3oar80,1.1.1.100
434,3oas100,2.3.1.41
435,3oas120,2.3.1.41
436,3oas121,2.3.1.41
437,3oas140,2.3.1.41
438,3oas141,2.3.1.41
439,3oas160,2.3.1.41
440,3oas161,2.3.1.41
441,3oas180,2.3.1.41
442,3oas181,2.3.1.41
443,3oas60,2.3.1.41
444,3oas80,2.3.1.41
449,42a12booxpp,1.4.3.6
456,5dglcnr,1.1.1.69
462,a5piso,5.3.1.13
463,aacps1,6.2.1.20
464,aacps2,6.2.1.20
465,aacps3,6.2.1.20
466,aacps4,6.2.1.20
467,aacps5,6.2.1.20
468,aacps6,6.2.1.20
469,aacps7,6.2.1.20
470,aacps8,6.2.1.20
471,aacps9,6.2.1.20
476,ab6pgh,3.2.1.86
477,abta,2.6.1.19
478,abutd,1.2.1.19
482,acact1r,2.3.1.9
483,acact2r,2.3.1.16
484,acact3r,2.3.1.16
485,acact4r,2.3.1.16
486,acact5r,2.3.1.16
487,acact6r,2.3.1.16
488,acact7r,2.3.1.16
489,acact8r,2.3.1.16
492,acald,1.2.1.10
495,acanthat,2.3.1.118
497,accoac,6.4.1.2
498,accoal,6.2.1.13
499,acgal1pppp,3.1.3.10
502,acgam1pppp,3.1.3.10
504,acgamk,2.7.1.59
508,acgk,2.7.2.8
509,acgs,2.3.1.1
511,ackr,2.7.2.1
512,acls,4.1.3.18
521,acnml,4.1.3.3
522,acoad1f,1.3.99.2
523,acoad2f,1.3.99.3
524,acoad3f,1.3.99.3
525,acoad4f,1.3.99.3
526,acoad5f,1.3.99.3
527,acoad6f,1.3.99.3
528,acoad7f,1.3.99.3
529,acoad8f,1.3.99.3
530,acoata,2.3.1.38
531,acoda,3.5.1.16
533,aconis,5.3.3.7
535,aconta,4.2.1.3
536,acontb,4.2.1.3
537,acota,2.6.1.11
545,acps1,2.7.8.7
546,acs,6.2.1.1
552,ada,3.5.4.4
555,add,3.5.4.2
558,adk1,2.7.4.3
561,admdc,4.1.1.50
562,adncyc,4.6.1.1
563,adnk1,2.7.1.20
564,adnuc,3.2.2.8
572,adprdp,3.6.1.13
573,adpt,2.4.2.7
574,adsk,2.7.1.25
575,adsl1r,4.3.2.2
576,adsl2r,4.3.2.2
577,adss,6.3.4.4
578,agdc,3.5.1.25
590,agmhe,5.1.3.20
591,agmt,3.5.3.11
594,agpat120,2.3.1.51
595,agpat140,2.3.1.51
596,agpat141,2.3.1.51
597,agpat160,2.3.1.51
