,bigg.metabolite,kegg.compound
0,10fthf_c,C00234
1,12dgr120_c,C00641
2,12dgr140_c,C00641
3,12dgr141_c,C00641
4,12dgr160_c,C00641
5,12dgr161_c,C00641
6,12dgr180_c,C00641
7,12dgr181_c,C00641
8,12ppd__R_c,C02912
9,12ppd__S_c,C02917
10,13dpg_c,C00236
11,15dap_c,C01672
12,1ddecg3p_c,C00681
13,1hdecg3p_c,C00681
14,1odecg3p_c,C00681
15,1pyr5c_c,C03912
16,1tdec7eg3p_c,C00681
17,1tdecg3p_c,C00681
18,23dappa_c,C03401
19,23dappa_c,C06393
20,23ddhb_c,C04171
21,23dhb_c,C00196
22,23dhba_c,C04030
23,23dhbzs_c,C04204
24,23dhdp_c,C03340
25,23dhmb_c,C04039
26,23dhmb_c,C04272
27,23dhmp_c,C04104
28,23dhmp_c,C06007
29,23doguln_c,C04575
30,25aics_c,C04823
31,25dkglcn_c,C02780
32,25drapp_c,C01304
33,26dap_LL_c,C00666
34,26dap__M_c,C00680
35,2agpe120_c,C05973
36,2agpe140_c,C05973
37,2agpe141_c,C05973
38,2agpe160_c,C05973
39,2agpe161_c,C05973
40,2agpe180_c,C05973
41,2agpe181_c,C05973
42,2ahbut_c,C00659
43,2ahbut_c,C06006
44,2amsa_c,C11822
45,2aobut_c,C03214
46,2aobut_c,C03508
47,2cpr5p_c,C01302
48,2dda7p_c,C04691
49,2ddecg3p_c,C03974
50,2ddg6p_c,C04442
51,2ddglcn_c,C00204
52,2dh3dgal_c,C01216
53,2dh3dgal6p_c,C01286
54,2dhguln_c,C06473
55,2dhp_c,C00966
56,2dmmq8_c,C05818
57,2dr1p_c,C00672
58,2dr5p_c,C00673
59,2h3oppan_c,C01146
60,2hdec9eg3p_c,C03974
61,2hdecg3p_c,C03974
62,2ippm_c,C02631
63,2mahmp_c,C04752
64,2mcacn_c,C04225
65,2mcit_c,C02225
66,2me4p_c,C11434
67,2mecdp_c,C11453
68,2obut_c,C00109
69,2odec11eg3p_c,C03974
70,2odecg3p_c,C03974
71,2ohph_c,C05811
72,2omph_c,C05812
73,2oph_c,C05810
74,2p4c2me_c,C11436
75,2pg_c,C00631
76,2pglyc_c,C00988
77,2shchc_c,C05817
78,2tdec7eg3p_c,C03974
79,2tdecg3p_c,C03974
80,2tpr3dpcoa_c,C19771
81,34hpp_c,C01179
82,34hpp_c,C05350
83,35cgmp_c,C00942
84,3c2hmp_c,C04411
85,3c3hmp_c,C02504
86,3c4mop_c,C04236
87,3dhguln_c,C00618
88,3dhgulnp_c,C14899
89,3dhq_c,C00944
90,3dhsk_c,C02637
91,3dhsk_c,C02652
92,3haACP_c,C01271
93,3hadpcoa_c,C14145
94,3hbcoa_c,C01144
95,3hcinnm_c,C12621
96,3hdcoa_c,C05264
97,3hddcoa_c,C05262
98,3hddecACP_c,C05757
99,3hdecACP_c,C04619
100,3hhcoa_c,C05268
101,3hhdcoa_c,C05258
102,3hhexACP_c,C05747
103,3hmrsACP_c,C04688
104,3hocoa_c,C05266
105,3hoctACP_c,C04620
106,3hoctaACP_c,C16220
107,3hodcoa_c,C16217
108,3hpalmACP_c,C04633
109,3hpp_c,C01013
110,3hpppn_c,C11457
111,3htdcoa_c,C05260
112,3ig3p_c,C03506
113,3mob_c,C00141
114,3mop_c,C00671
115,3mop_c,C03465
116,3mop_c,C06008
117,3odcoa_c,C05265
118,3oddcoa_c,C05263
119,3oddecACP_c,C05756
120,3odecACP_c,C05753
121,3ohcoa_c,C05269
122,3ohdcoa_c,C05259
123,3ohexACP_c,C05746
124,3omrsACP_c,C05759
125,3oocoa_c,C05267
126,3ooctACP_c,C05750
127,3oodcoa_c,C16216
128,3opalmACP_c,C05762
129,3ophb_c,C05809
130,3otdcoa_c,C05261
131,3pg_c,C00197
132,3pg_c,C00597
133,3php_c,C03232
134,3psme_c,C01269
135,3sala_c,C00606
136,4abut_c,C00334
137,4abutn_c,C00555
138,4abz_c,C00568
139,4adcho_c,C11355
140,4ahmmp_c,C01279
141,4ampm_c,C04556
142,4c2me_c,C11435
143,4h2opntn_c,C03589
144,4hbz_c,C00156
145,4hthr_c,C06056
146,4mhetz_c,C04294
147,4mop_c,C00233
148,4mpetz_c,C04327
149,4pasp_c,C03082
150,4per_c,C03393
151,4ppan_c,C03492
152,4ppcys_c,C04352
153,4r5au_c,C04732
154,56dura_c,C00429
155,5aizc_c,C04751
156,5aop_c,C00430
157,5aprbu_c,C04454
158,5apru_c,C01268
159,5caiz_c,C15667
160,5dglcn_c,C01062
161,5dh4dglc_c,C00679
162,5fthf_c,C03479
163,5mta_c,C00170
164,5mthf_c,C00440
165,5mtr_c,C03089
166,5prdmbz_c,C04778
167,6hmhpt_c,C01300
168,6hmhptpp_c,C04807
169,6pgc_c,C00345
170,6pgl_c,C01236
171,8aonn_c,C01092
172,ACP_c,C00145
173,ACP_c,C00229
174,ACP_c,C00812
175,ACP_c,C01336
176,ACP_c,C04298
177,ACP_c,C16736
178,N1aspmd_c,C00612
179,Nmtrp_c,C02983
180,Sfglutth_c,C01031
181,aacald_c,C06735
182,aacoa_c,C00332
183,aact_c,C01888
184,ac_c,C00033
185,acACP_c,C03939
186,acACP_c,C04334
187,acac_c,C00164
188,acald_c,C00084
189,acanth_c,C06332
190,accoa_c,C00024
191,acetol_c,C05235
192,acg5p_c,C04133
193,acg5sa_c,C01250
194,acgam_c,C00140
195,acgam1p_c,C04256
196,acgam6p_c,C00357
197,acglu_c,C00624
198,acmalt_c,C02130
199,acmana_c,C00645
200,acmanap_c,C04257
201,acmum6p_c,C16698
202,acmum6p_c,C19770
203,acnam_c,C00270
204,acon_C_c,C00417
205,acon_T_c,C02341
206,aconm_c,C11514
207,acorn_c,C00437
208,acser_c,C00979
209,actACP_c,C05744
210,actp_c,C00227
211,ade_c,C00147
212,adn_c,C00212
213,adn_c,C07195
214,adocbi_c,C06508
215,adocbip_c,C06509
216,adocbl_c,C00194
217,adp_c,C00008
218,adpglc_c,C00498
219,adphep_DD_c,C06397
220,adphep_LD_c,C06398
221,adprib_c,C00301
222,ag_c,C06710
223,agdpcbi_c,C06510
224,agm_c,C00179
225,ahcys_c,C00021
226,ahdt_c,C04895
227,aicar_c,C04677
228,air_c,C03373
229,akg_c,C00026
230,ala_B_c,C00099
231,ala__D_c,C00133
232,ala__L_c,C00041
233,alaala_c,C00993
234,alac__S_c,C06010
235,alatrna_c,C00886
236,all__D_c,C01487
237,all6p_c,C02962
238,alltn_c,C01551
239,alltn_c,C02348
240,alltn_c,C02350
241,alltt_c,C00499
242,allul6p_c,C18096
243,altrn_c,C00817
244,amet_c,C00019
245,ametam_c,C01137
246,amob_c,C04425
247,amp_c,C00020
248,anhm_c,C19769
249,anth_c,C00108
250,ap4a_c,C01260
251,ap5a_c,C04058
252,apoACP_c,C03688
253,appl_c,C03194
254,aps_c,C00224
255,ara5p_c,C01112
256,arab__L_c,C00259
257,arbt6p_c,C06187
258,arg__L_c,C00062
259,argsuc_c,C03406
260,argtrna_c,C02163
261,ascb6p_c,C16186
262,asn__L_c,C00152
263,asntrna_c,C03402
264,aso3_c,C06697
265,aso4_c,C01478
266,aso4_c,C11215
267,asp__L_c,C00049
268,aspsa_c,C00441
269,asptrna_c,C02984
270,asptrna_c,C06113
271,athr__L_c,C05519
272,atp_c,C00002
273,b2coa_c,C00877
274,betald_c,C00576
275,btal_c,C01412
276,btcoa_c,C00136
277,btn_c,C00120
278,btnso_c,C20386
279,but_c,C00246
280,but2eACP_c,C04246
281,butACP_c,C05745
282,ca2_c,C00076
283,ca2_c,C08130
284,ca2_c,C12277
285,ca2_c,C13140
286,ca2_c,C13189
287,ca2_c,C18381
288,camp_c,C00575
289,cbasp_c,C00438
290,cbi_c,C05774
291,cbl1_c,C00853
292,cbp_c,C00169
293,cd2_c,C01413
294,cdp_c,C00112
295,cdpdddecg_c,C00269
296,cdpdhdec9eg_c,C00269
297,cdpdhdecg_c,C00269
298,cdpdodec11eg_c,C00269
299,cdpdodecg_c,C00269
300,cdpdtdec7eg_c,C00269
301,cdpdtdecg_c,C00269
302,cechddd_c,C11588
303,cenchddd_c,C12622
304,cgly_c,C01419
305,chol_c,C00114
306,chor_c,C00251
