,EC_number,Cofactor,Organism,LigandID,Commentary,Literature,ChEBI,bigg.metabolite,KEGG_ID,Compound
0,1.1.1.1,3-benzoylpyridine-adenine dinucleotide,Equus caballus,48586,can be used as coenzyme,285588,,,,
1,1.1.1.1,more,Scaptodrosophila lebanonensis,2,crystallographic study of the coenzyme binding mode,285593,33206,,,
2,1.1.1.1,more,Equus caballus,2,kinetics of native and modified enzyme with coenzyme analogues,285609,33206,,,
3,1.1.1.1,more,Saccharomyces cerevisiae,2,kinetic study on the binding of monomeric and polymeric derivatives of NAD+,285643,33206,,,
4,1.1.1.1,more,Brevibacterium sp.,2,NADP+ shows less than 0.1% of the activity with NAD+,669540,33206,,,
5,1.1.1.1,more,Carboxydothermus hydrogenoformans,2,the enzyme prefers NAD(H) over NADP(H) as a cofactor,721911,33206,,,
6,1.1.1.1,NAD+,Cricetulus griseus,7,,285556,,,,
7,1.1.1.1,NAD+,Ctenopharyngodon idella,7,,285557,,,,
8,1.1.1.1,NAD+,Kluyveromyces marxianus,7,,285558,,,,
9,1.1.1.1,NAD+,Vicia faba,7,,285559,,,,
10,1.1.1.1,NAD+,Suncus murinus,7,,285560,,,,
11,1.1.1.1,NAD+,Najas marina,7,,285562,,,,
12,1.1.1.1,NAD+,Drosophila funebris,7,,285563,,,,
13,1.1.1.1,NAD+,Drosophila immigrans,7,,285563,,,,
14,1.1.1.1,NAD+,Saimiri sciureus,7,,285579,,,,
15,1.1.1.1,NAD+,Macaca mulatta,7,,285580,,,,
16,1.1.1.1,NAD+,Equus caballus,7,kinetics of coenzyme binding in the pH-range 10-12,285581,,,,
17,1.1.1.1,NAD+,Equus caballus,7,NAD+ acts as an activator which induces an active form of the enzyme,285589,,,,
18,1.1.1.1,NAD+,Equus caballus,7,preferred substrate,285597,,,,
19,1.1.1.1,NAD+,Gallus gallus,7,,285599,,,,
20,1.1.1.1,NAD+,Oryctolagus cuniculus,7,,"285600, 285601",,,,
21,1.1.1.1,NAD+,Rattus norvegicus,7,,"285565, 285604, 285605, 285606",,,,
22,1.1.1.1,NAD+,Saara hardwickii,7,,285607,,,,
23,1.1.1.1,NAD+,Naja naja,7,,285612,,,,
24,1.1.1.1,NAD+,Oncorhynchus mykiss,7,,285614,,,,
25,1.1.1.1,NAD+,Coturnix coturnix,7,,285615,,,,
26,1.1.1.1,NAD+,Drosophila melanogaster,7,NAD+-plus-acetone-induced conversion,285617,,,,
27,1.1.1.1,NAD+,Drosophila simulans,7,,"285563, 285618, 285619",,,,
28,1.1.1.1,NAD+,Drosophila virilis,7,,"285563, 285619",,,,
29,1.1.1.1,NAD+,Drosophila melanogaster,7,,"285563, 285598, 285613, 285618, 285619, 285620",,,,
30,1.1.1.1,NAD+,Zymomonas mobilis,7,,"285622, 285623",,,,
31,1.1.1.1,NAD+,Chlamydomonas moewusii,7,,285624,,,,
32,1.1.1.1,NAD+,Petroselinum crispum,7,,285627,,,,
33,1.1.1.1,NAD+,Camellia sinensis,7,,285628,,,,
34,1.1.1.1,NAD+,Brassica napus,7,,285629,,,,
35,1.1.1.1,NAD+,Triticum turgidum,7,,285632,,,,
36,1.1.1.1,NAD+,Triticum monococcum,7,,285633,,,,
37,1.1.1.1,NAD+,Hordeum vulgare,7,,285634,,,,
38,1.1.1.1,NAD+,Avena sativa,7,,285635,,,,
39,1.1.1.1,NAD+,Citrullus lanatus,7,,285635,,,,
40,1.1.1.1,NAD+,Glycine max,7,,"285626, 285635",,,,
41,1.1.1.1,NAD+,Oryza sativa,7,,"285561, 285635",,,,
42,1.1.1.1,NAD+,Pisum sativum,7,,285635,,,,
43,1.1.1.1,NAD+,Triticum aestivum,7,,285635,,,,
44,1.1.1.1,NAD+,Aspergillus nidulans,7,,285636,,,,
45,1.1.1.1,NAD+,Candida sp.,7,,285637,,,,
46,1.1.1.1,NAD+,Euglena longa,7,,285638,,,,
47,1.1.1.1,NAD+,Sporotrichum pulverulentum,7,,285639,,,,
48,1.1.1.1,NAD+,Meyerozyma guilliermondii,7,,285640,,,,
49,1.1.1.1,NAD+,Schizosaccharomyces pombe,7,,285646,,,,
50,1.1.1.1,NAD+,Mesocricetus auratus,7,,"285602, 285650",,,,
51,1.1.1.1,NAD+,Zea mays,7,,"285630, 285631, 285635, 285652",,,,
52,1.1.1.1,NAD+,Desulfovibrio gigas,7,,285654,,,,
53,1.1.1.1,NAD+,Entamoeba histolytica,7,,285655,,,,
54,1.1.1.1,NAD+,Alligator mississippiensis,7,,285656,,,,
55,1.1.1.1,NAD+,Crocus sativus,7,,654140,,,,
56,1.1.1.1,NAD+,Geobacillus stearothermophilus,7,"dependent on, cofactor binding mechanism and conformation from crystal structure analysis",654751,,,,
57,1.1.1.1,NAD+,Acetobacter pasteurianus,7,dependent on,655058,,,,
58,1.1.1.1,NAD+,Rhodococcus ruber,7,dependent on,655082,,,,
59,1.1.1.1,NAD+,Thermomicrobium roseum,7,,655262,,,,
60,1.1.1.1,NAD+,Saccharomyces cerevisiae,7,cofactor binding mode,655649,,,,
61,1.1.1.1,NAD+,Pelophylax perezi,7,activity with mutants G223D/T224I and G223D/T224I/H225N,656168,,,,
62,1.1.1.1,NAD+,Geobacillus stearothermophilus,7,dependent on,656475,,,,
63,1.1.1.1,NAD+,Aeropyrum pernix,7,"the monomer consists of a catalytic and a cofactor-binding domain, the cofactor is bound between 2 domains in a cleft",656525,,,,
64,1.1.1.1,NAD+,Entamoeba histolytica,7,dependent on,656604,,,,
65,1.1.1.1,NAD+,Pseudomonas aeruginosa,7,,657302,,,,
66,1.1.1.1,NAD+,Scaptodrosophila lebanonensis,7,,"285563, 285593, 285616, 657317",,,,
67,1.1.1.1,NAD+,Escherichia coli,7,strongly preferred as cofactor,660650,,,,
68,1.1.1.1,NAD+,Hafnia alvei,7,strongly preferred as cofactor,660650,,,,
69,1.1.1.1,NAD+,Klebsiella oxytoca,7,strongly preferred as cofactor,660650,,,,
70,1.1.1.1,NAD+,Klebsiella pneumoniae,7,strongly preferred as cofactor,660650,,,,
71,1.1.1.1,NAD+,Pseudomonas aeruginosa,7,strongly preferred as cofactor,660650,,,,
72,1.1.1.1,NAD+,Mucor circinelloides,7,,667237,,,,
73,1.1.1.1,NAD+,Leifsonia sp.,7,,667255,,,,
74,1.1.1.1,NAD+,Flavobacterium frigidimaris,7,"specific for NAD+, no activity with NADP+, pro-R stereospecificity for hydrogen transfer",668532,,,,
75,1.1.1.1,NAD+,Malus domestica,7,,669022,,,,
76,1.1.1.1,NAD+,Brevibacterium sp.,7,,669540,,,,
77,1.1.1.1,NAD+,Pseudomonas putida,7,,678779,,,,
78,1.1.1.1,NAD+,Sulfolobus solfataricus,7,dependent,"678116, 678121, 680428",,,,
79,1.1.1.1,NAD+,Sulfolobus sp.,7,dependent,680428,,,,
80,1.1.1.1,NAD+,Sulfolobus solfataricus,7,,681629,,,,
81,1.1.1.1,NAD+,Sulfolobus solfataricus,7,,"285611, 285621, 285625, 677301, 679816, 679883, 681372, 681763, 682627, 682630",,,,
82,1.1.1.1,NAD+,Thermus thermophilus,7,strict requirement for NAD(H) as the coenzyme. Critical role of the D37 residue in discriminating NAD(H) from NADP(H),684583,,,,
83,1.1.1.1,NAD+,Neurospora crassa,7,ADH3 does not react with NADP+,684614,,,,
84,1.1.1.1,NAD+,Neurospora crassa,7,ADH1 preferrs NAD+ 205fold better than NADP+ as cofactor,684614,,,,
85,1.1.1.1,NAD+,Thermoanaerobacter ethanolicus,7,,695536,,,,
86,1.1.1.1,NAD+,Thermus sp.,7,dependent on,695811,,,,
87,1.1.1.1,NAD+,Equus caballus,7,"the binding of NAD+ is kinetically limited by a unimolecular isomerization (corresponding to the conformational change) that is controlled by deprotonation of the catalytic zinc-water to produce a negatively-charged zinc-hydroxide, which can attract the positively-charged nicotinamide ring",695889,,,,
88,1.1.1.1,NAD+,Saccharomyces carlsbergensis,7,,697267,,,,
89,1.1.1.1,NAD+,Equus caballus,7,,"285582, 285583, 285584, 285585, 285586, 285587, 285588, 285590, 285591, 285592, 285594, 285595, 285596, 285609, 285610, 285641, 285647, 285648, 285653, 285657, 654743, 655206, 668487, 697215, 697660, 697669",,,,
90,1.1.1.1,NAD+,Thermoanaerobacter brockii,7,,"655735, 697669",,,,
91,1.1.1.1,NAD+,Anastrepha fraterculus,7,,698114,,,,
92,1.1.1.1,NAD+,Anastrepha obliqua,7,,698114,,,,
93,1.1.1.1,NAD+,Saccharomyces cerevisiae,7,,"285558, 285641, 285642, 285643, 285644, 285645, 285646, 285649, 655735, 667307, 669148, 695705, 697267, 697658, 697669, 699019",,,,
94,1.1.1.1,NAD+,Geobacillus thermoglucosidasius,7,dependent on,699071,,,,
95,1.1.1.1,NAD+,Euglena gracilis,7,specific for NAD+,699249,,,,
96,1.1.1.1,NAD+,Mus musculus,7,,"285564, 285603, 654730, 667832, 697214, 699982",,,,
97,1.1.1.1,NAD+,Thermoplasma acidophilum,7,shows NAD+ as the preferred co-factor over NADP+,700124,,,,
98,1.1.1.1,NAD+,Homo sapiens,7,,701322,,,,
99,1.1.1.1,NAD+,Geobacillus thermodenitrificans,7,NAD+ is prefered over NADP+,712962,,,,
