,EC_number,bigg.metabolite,Commentary
0,1.1.1.6,so4_c,about 100% activation at 10 mM
1,2.4.1.21,so4_c,
2,1.1.1.6,k_c,activates NADH production
3,2.1.1.13,k_c,at 67 mM 1.4 fold activity
4,2.3.2.12,k_c,reaction is completely dependent upon potassium ions
5,2.3.2.12,k_c,stimulation not so marked as that caused by NH4+ ions
6,2.7.1.73,k_c,the enzyme requires both Mg2+ and K+
7,1.1.1.6,nh4_c,activates NADH production
8,2.1.1.13,nh4_c,at 67 mM 1.5 fold activity
9,2.1.1.61,nh4_c,
10,2.3.2.12,nh4_c,reaction is completely dependent upon ammonium ions
11,2.3.2.12,nh4_c,
12,2.3.2.12,nh4_c,combination of NH4+ ions with spermine produces an additive activity increase
13,2.7.1.11,nh4_c,
14,2.7.1.11,nh4_c,can replace K+
15,2.7.1.15,nh4_c,activates
16,2.7.1.39,nh4_c,30% of the activity obtained with 0.5 M K+
17,3.1.13.5,nh4_c,stimulates
18,3.1.26.3,nh4_c,maximum activity at 0.15-0.3 M
19,3.1.26.3,nh4_c,cleavage pattern depends on concentration
20,3.1.26.3,nh4_c,required
21,3.1.26.3,nh4_c,stimualtion at 20 mM
22,3.1.26.3,nh4_c,
23,3.1.26.7,nh4_c,stimulates in presence of Mg2+
24,3.6.5.3,nh4_c,
25,1.1.1.49,spmd_c,activation constant: 0.2 mM
26,1.6.5.11,spmd_c,enzyme optimally activated by phospholipids is additionally activated 2fold
27,2.1.1.35,spmd_c,slight activation at 20 mM in presence of 50 mM ammonium acetate
28,2.1.1.35,spmd_c,"activates, inhibitory at optimal Mg2+ concentration"
29,2.1.1.193,spmd_c,"in the presence of spermidine, Mg2+ is not required for activity. Activity could be restored up to 60% of that with Mg2+ by addition of spermidine at 30 mM"
30,2.7.7.8,spmd_c,"0.1-1.0 mM, activates ADP-phosphate exchange 2fold"
31,3.1.13.1,spmd_c,can replace missing Mg2+ to a small extent
32,3.1.26.5,spmd_c,M1 RNA subunit can catalyze the cleavage of tRNA precursor molecules in the presence of 5 mM spermine or spermidine
33,3.2.2.21,spmd_c,stimulates activity
34,3.4.21.53,spmd_c,"activation, at physiological concentration, ATP hydrolysis and protease activity"
35,6.1.1.5,spmd_c,at least 2 bound Mg2+ or spermidines required for binding of tRNA to the enzyme
36,6.1.1.5,spmd_c,activates
37,6.1.1.19,spmd_c,supports aminoacylation in presence of crude tRNA not in presence of resolved tRNA
38,1.1.1.78,gthrd_c,slight activation
39,1.1.1.205,gthrd_c,
40,1.2.1.22,gthrd_c,
41,2.1.1.35,gthrd_c,activates
42,2.7.1.25,gthrd_c,reduced glutathione increases the activity significantly
43,3.5.1.16,gthrd_c,
44,4.1.1.98,gthrd_c,slight stimulation of activity at 10 mM
45,1.1.1.169,for_c,"E256A mutant activity greatly increased, twice as high at pH 7.2 as at pH 5.9"
46,6.3.2.10,for_c,slight activation of mutant K202A
47,1.1.1.202,glyc_c,
48,4.3.1.1,glyc_c,activates
49,1.1.5.3,fad_c,stimulates the reaction with phenazine methosulfate and methylene blue. 20% increase in activity of the reaction with phenazine methosulfate with a half-maximal concentration of 200 nM
50,4.1.99.3,fad_c,enzyme contains FAD as catalytic cofactor and a second chromophore as a light harvesting antenna
51,4.1.99.3,fad_c,FAD binding pocket is similar to that of cryptochrome 1
52,1.1.5.3,fmn_c,stimulates the reaction with phenazine methosulfate. 6fold increase in activity with a half-maximal concentration of 0.13 mM
53,1.7.1.6,fmn_c,
54,1.2.1.4,etoh_c,0.5-2% increases activity in crude extracts
55,2.7.6.5,etoh_c,"little activity unless activated either by a complex of 70S ribosomes, mRNA and uncharged tRNA or by a solvent like ethanol at approximately 20%"
56,6.3.4.14,etoh_c,"maximal activation, 10fold, at 15% v/v. Inactivation at 20% v/v"
57,6.3.4.14,etoh_c,"maximal activation, 11fold at 15%"
58,1.2.1.16,4abut_c,induction
59,1.2.1.16,4abut_c,induces GabD dehydrogenase
60,1.2.1.21,pydx_c,"approx. 0.1 mM, 1.4fold increase in activity of isozyme A"
61,1.2.1.21,pydx5p_c,"approx. 0.1 mM, 1.5fold increase in activity of isozyme B"
62,2.6.1.102,pydx5p_c,pyridoxal 5'-phosphate dependent aminotransferase
63,2.7.7.27,pydx5p_c,activation
64,2.7.7.27,pydx5p_c,activation; allosteric activator; wild-type enzyme and mutant SG14
65,2.7.7.27,pydx5p_c,
66,2.8.1.6,pydx5p_c,required for cysteine desulfurase activity of the enzyme
67,1.2.1.21,pydxn_c,"0.1 mM, 1.5fold increase in activity of isozyme B"
68,1.2.4.2,adp_c,
69,1.6.1.1,adp_c,75.5% activation at 2 mM
70,2.7.1.11,adp_c,
71,2.7.7.27,adp_c,"activation, less effective than 3-phosphoglycerate"
72,3.1.11.5,adp_c,less effective than ATP
73,3.6.3.12,adp_c,
74,4.1.1.8,adp_c,"the presence of 0.3 mM ADP results in a marginal increase in kcat and a small decrease in Km, leading to a 1.7fold higher catalytic efficiency. One molecule of ADP is bound per monomer distant from the CoA binding site"
75,1.2.4.2,pi_c,
76,1.8.1.9,pi_c,2fold activation
77,2.3.1.41,pi_c,"activation, 0.2 M"
78,2.7.4.1,pi_c,"inhibiton above 20 mM; required for activity, only in the presence of histone"
79,2.7.7.8,pi_c,"1-10 mM, strong activation of PNPase exonuclease activity"
80,2.7.7.8,pi_c,
81,3.1.11.6,pi_c,5-10fold higher activity compared to Tris-HCL buffer
82,3.1.11.6,pi_c,stimulates
83,3.5.1.16,pi_c,
84,1.2.5.1,ocdcea_c,122% of the activitation with palmitic acid
85,1.2.5.1,ddca_c,126% of the activitation with palmitic acid
86,1.2.5.1,ddca_c,"activation by covalent attachment, binding site Lys544"
87,1.2.5.1,ttdca_c,109% of the activitation with palmitic acid
88,1.2.5.1,ocdcea_c,
89,1.2.5.1,ocdcea_c,102% of the activitation with palmitic acid
90,2.7.1.107,ocdcea_c,activates only in presence of Triton X-100
91,1.2.5.1,hdca_c,
92,1.2.5.1,hdca_c,activation
93,2.7.1.107,hdca_c,activates only in presence of Triton X-100
94,1.2.5.1,hdcea_c,137% of the activitation with palmitic acid
95,1.3.3.11,nadph_c,NAD(P)H enhances pyrroloquinoline quinone production in the presence of activating factor ActF
96,5.4.99.9,nadph_c,"enzyme activation mechanism, overview"
97,1.3.5.1,atp_c,activation
98,1.3.5.1,atp_c,
99,1.4.1.4,atp_c,"at 2 mM, 50% activation"
100,1.6.1.1,atp_c,53.4% activation at 2 mM
101,1.17.4.1,atp_c,stimulation of CDP reduction; stimulation of UDP reduction
102,1.17.4.1,atp_c,ATP is an allosteric effector
103,1.17.4.1,atp_c,
104,1.17.4.1,atp_c,activation by ATP has a regulatory function
105,2.1.3.2,atp_c,
106,2.1.3.2,atp_c,"allosteric effector, increases the apparent rate of unliganded T-state to substrate-bound R-state"
107,2.1.3.2,atp_c,"ATP enhances ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)"
108,2.1.3.2,atp_c,addition of ATP along with the substrates increases the rate of the transition from the low activity T to the high activity R state and also decreases the duration of the R-state steady-state phase
