,EC_number,subsystem,dG0_prime,dG0_prime_std,dGm_prime,log10(RI),formula
ex_14glucan_e,2.4.1.161,,0.0,0.0,17.11,6.0,C00718 <=> 
ex_fe3hox_e,,,0.0,0.0,17.11,6.0,C06227 <=> 
ex_mobd_e,,,0.0,0.0,17.11,6.0,C06232 <=> 
14glucanabcpp,,"Transport, Inner Membrane",-40.5,0.0,-40.5,-3.55,C00001 + C00002 + C00718 <=> C00008 + C00009
14glucantexi,2.4.1.161,"Transport, Outer Membrane",0.0,0.0,-17.11,-6.0, <=> C00718
23pde2pp,3.1.4.16,Nucleotide Salvage Pathway,-37.26,2.93,-37.26,-6.53,C00001 + C02355 <=> C01368
23pde4pp,3.1.4.16,Nucleotide Salvage Pathway,-36.45,2.93,-36.45,-6.39,C00001 + C02354 <=> C05822
23pde7pp,3.1.4.16,Nucleotide Salvage Pathway,-36.45,2.93,-36.45,-6.39,C00001 + C02353 <=> C01367
23pde9pp,3.1.4.16,Nucleotide Salvage Pathway,-36.43,2.93,-36.43,-6.39,C00001 + C06194 <=> C06193
2mahmp,,Cofactor and Prosthetic Group Biosynthesis,-24.06,1.79,-41.18,-4.81,C00001 + C04752 <=> C00009 + C04556
3hcinnmh,1.14.13.127,Alternate Carbon Metabolism,-438.85,3.56,-421.73,-29.57,C00004 + C00007 + C12621 <=> C00001 + C00003 + C12623
3hpppnh,1.14.13.127,Alternate Carbon Metabolism,-438.86,3.56,-421.74,-29.57,C00004 + C00007 + C11457 <=> C00001 + C00003 + C04044
3kgk,2.7.1.53,Alternate Carbon Metabolism,-16.44,1.22,-16.44,-1.44,C00002 + C00618 <=> C00008 + C14899
3ntd2pp,3.1.3.6,Nucleotide Salvage Pathway,-12.0,1.85,-29.11,-3.4,C00001 + C01368 <=> C00009 + C00299
3ntd4pp,3.1.3.6,Nucleotide Salvage Pathway,-20.86,2.18,-37.98,-4.44,C00001 + C05822 <=> C00009 + C00475
3ntd7pp,3.1.3.6,Nucleotide Salvage Pathway,-15.13,2.94,-32.24,-3.77,C00001 + C01367 <=> C00009 + C00212
3ntd9pp,3.1.3.6,Nucleotide Salvage Pathway,-11.43,3.43,-28.54,-3.34,C00001 + C06193 <=> C00009 + C00387
3oxcoat,2.3.1.174,Alternate Carbon Metabolism,-29.69,2.67,-29.69,-2.6,C00010 + C02232 <=> C00024 + C00091
4hthrs,4.2.3.1,Cofactor and Prosthetic Group Biosynthesis,-13.65,1.23,-30.77,-3.6,C00001 + C06055 <=> C00009 + C06056
5dglcnr,1.1.1.69,Alternate Carbon Metabolism,-23.04,3.31,-23.04,-2.02,C00005 + C01062 <=> C00006 + C00257
abutd,1.2.1.3,Arginine and Proline Metabolism,-51.84,1.98,-51.84,-4.54,C00001 + C00003 + C00555 <=> C00004 + C00334
acacct,2.8.3.8,Alternate Carbon Metabolism,5.73,1.42,5.73,0.5,C00024 + C00164 <=> C00033 + C00332
acact1r,2.3.1.9,Membrane Lipid Metabolism,26.07,0.87,26.07,2.28,2 C00024 <=> C00010 + C00332
acact2r,2.3.1.9,Membrane Lipid Metabolism,35.02,1.95,35.02,3.07,C00024 + C00136 <=> C00010 + C05269
acact3r,2.3.1.9,Membrane Lipid Metabolism,32.46,1.35,32.46,2.84,C00024 + C05270 <=> C00010 + C05267
acact4r,2.3.1.9,Membrane Lipid Metabolism,32.46,1.35,32.46,2.84,C00024 + C01944 <=> C00010 + C05265
acact5r,2.3.1.9,Membrane Lipid Metabolism,32.46,1.35,32.46,2.84,C00024 + C05274 <=> C00010 + C05263
acact6r,2.3.1.9,Membrane Lipid Metabolism,32.46,1.35,32.46,2.84,C00024 + C01832 <=> C00010 + C05261
acact7r,2.3.1.9,Membrane Lipid Metabolism,32.46,1.35,32.46,2.84,C00024 + C02593 <=> C00010 + C05259
acact8r,,Membrane Lipid Metabolism,-34.6,1.89,-34.6,-3.03,C00010 + C16216 <=> C00024 + C00154
acald,1.2.1.10,Pyruvate Metabolism,-19.44,1.21,-2.32,-0.16,C00003 + C00010 + C00084 <=> C00004 + C00024
acanthat,,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-18.2,3.12,-18.2,-1.6,C00024 + C00108 <=> C00010 + C06332
acbipgt,2.7.7.62,Cofactor and Prosthetic Group Biosynthesis,44.19,0.0,44.19,3.87,C00044 + C06509 <=> C00013 + C06510
accoac,6.4.1.2,Membrane Lipid Metabolism,-6.05,1.53,-6.05,-0.35,C00002 + C00024 + C00288 <=> C00008 + C00009 + C00083
accoal,6.2.1.13,Alternate Carbon Metabolism,15.73,2.98,15.73,0.92,C00002 + C00010 + C00163 <=> C00008 + C00009 + C00100
acgal1pppp,3.1.3.10,Alternate Carbon Metabolism,-21.39,1.4,-38.51,-4.5,C00001 + C18060 <=> C00009 + C01132
acgam1pppp,3.1.3.10,Alternate Carbon Metabolism,-19.3,2.62,-36.42,-4.26,C00001 + C04256 <=> C00009 + C00140
acgamk,2.7.1.59,Murein Recycling,-12.42,2.57,-12.42,-1.09,C00002 + C00140 <=> C00008 + C00357
acgaptspp,,"Transport, Inner Membrane",-38.23,2.62,-38.23,-3.35,C00074 + C00140 <=> C00022 + C00357
acgk,2.7.2.8,Arginine and Proline Metabolism,30.94,2.99,30.94,2.71,C00002 + C00624 <=> C00008 + C04133
achbs,2.2.1.6,"Valine, Leucine, and Isoleucine Metabolism",-19.79,4.96,-19.79,-1.73,C00022 + C00109 <=> C00011 + C00659
ackr,2.7.2.15,Pyruvate Metabolism,14.49,0.55,14.49,1.27,C00002 + C00033 <=> C00008 + C00227
acmanaptspp,,"Transport, Inner Membrane",-39.77,3.1,-39.77,-3.49,C00074 + C00645 <=> C00022 + C04257
acmumptspp,,"Transport, Inner Membrane",-42.21,1.29,-42.21,-3.7,C00074 + C02713 <=> C00022 + C16698
acnml,4.1.3.3,Alternate Carbon Metabolism,7.86,0.89,-9.25,-1.08,C00270 <=> C00022 + C00645
acoad1f,1.3.99.3,Membrane Lipid Metabolism,42.85,3.97,42.85,3.76,C00016 + C00136 <=> C00877 + C01352
acoad2f,1.3.99.3,Membrane Lipid Metabolism,48.05,3.7,48.05,4.21,C00016 + C05270 <=> C01352 + C05271
