bigg.metabolite,bigg.reaction,distance
k,glycdx,1.0
spmd,g6pdh2r,1.0
for,dpr,2.0
acgam1p,uacmamo,2.0
pydx,gcaldd,2.0
pydx5p,gcaldd,1.0
pydxn,gcaldd,2.0
cys__l,lcadi,1.0
amp,gludy,1.0
atp,gludy,1.0
utp,gludy,1.0
asp__l,aspo6,0.0
adp,thd2pp,1.0
amp,thd2pp,1.0
atp,thd2pp,1.0
cys__l,trdr,1.0
pi,trdr,1.0
his__l,cat,2.0
pheme,nodox,1.0
atp,rndr1,1.0
datp,rndr1,1.0
dctp,rndr1,1.0
dgtp,rndr1,1.0
dttp,rndr1,1.0
h2o2,rndr1,1.0
cys__l,hcysmt,1.0
hcys__l,hcysmt,0.0
hom__l,hcysmt,2.0
cyst__l,hcysmt,1.0
k,mets,1.0
na1,mets,2.0
amet,mets,1.0
hco3,cfas160e,2.0
ser__l,ghmt2r,0.0
adn,aspct,1.0
atp,aspct,1.0
ctp,aspct,1.0
mal__l,aspct,2.0
succ,aspct,1.0
utp,aspct,1.0
h2o2,tkt1,2.0
thmpp,sephchcs,2.0
pyr,pta2,1.0
atp,g3pat120,1.0
pi,3oas121,1.0
oxam,obtfl,2.0
pyr,obtfl,1.0
amet,obtfl,1.0
amp,glcp2,1.0
cit,glcs1,1.0
ca2,uagpt3,2.0
dmso,uagpt3,3.0
mg2,uagpt3,2.0
ac,adpt,1.0
gtp,upprt,1.0
prpp,gluprt,0.0
amet,metat,0.0
gln__l,adcs,0.0
4abz,adcs,1.0
adp,pfk,0.0
gdp,pfk,1.0
dcdp,durik1,1.0
dctp,durik1,1.0
gtp,durik1,1.0
cys__l,adsk,1.0
fdp,pyk,1.0
g6p,pyk,1.0
pep,pyk,0.0
k,gsnk,1.0
mg2,gsnk,1.0
atp,tmk,0.0
pa160,dagk160,0.0
ocdcea,dagk160,1.0
hdca,dagk160,1.0
ocdca,dagk160,1.0
etoh,gdpdpk,2.0
cys__l,uglt,2.0
2ddg6p,glgc,1.0
2obut,glgc,2.0
3pg,glgc,1.0
adp,glgc,1.0
amp,glgc,1.0
fdp,glgc,1.0
f6p,glgc,1.0
g6p,glgc,1.0
2dr5p,glgc,3.0
g3p,glgc,2.0
hpyr,glgc,2.0
nadph,glgc,1.0
pep,glgc,1.0
pydx5p,glgc,1.0
pyr,glgc,1.0
s17bp,glgc,1.0
atp,dasyn120,1.0
cit,fbp,1.0
pep,fbp,1.0
so4,fbp,1.0
cl,pglycp,1.0
mn2,mi1pp,1.0
atp,ampn,1.0
met__l,fthfd,1.0
pi,acoda,1.0
ala__d,csnd,1.0
hom__l,csnd,2.0
gly,csnd,1.0
asp__l,csnd,1.0
glu__l,csnd,1.0
gln__l,csnd,1.0
his__l,csnd,1.0
ile__l,csnd,1.0
leu__l,csnd,1.0
orn,csnd,2.0
phe__l,csnd,1.0
ser__l,csnd,1.0
thr__l,csnd,1.0
val__l,csnd,1.0
cytd,cytd,0.0
acgam6p,g6pda,1.0
atp,ppa,1.0
pg160,zn2abcpp,1.0
pg180,zn2abcpp,1.0
cys__l,zn2abcpp,1.0
adp,kabcpp,0.0
atp,kabcpp,0.0
aso3,aso3t8pp,0.0
adp,oxcdc,2.0
amp,oxcdc,3.0
atp,oxcdc,2.0
cl,asp1dc,1.0
fdp,ppc,1.0
gtp,ppc,1.0
accoa,ppck,1.0
pyr,admdc,2.0
pyr,psd120,2.0
lipoate,ophbdc,2.0
meoh,ophbdc,4.0
akg,fba,2.0
cit,fba,2.0
pep,fba,1.0
glyc3p,fba,1.0
pnto__r,citl,2.0
cys__l,altrh,2.0
nadph,gmand,2.0
ppa,mcitd,2.0
2pglyc,mgsa,1.0
dmso,aspt,2.0
glyc,aspt,2.0
asp__l,aspt,0.0
val__l,serd_l,1.0
uama,glur,1.0
udp,udpg4e,1.0
ump,udpg4e,2.0
uacgam,uag2e,0.0
r15bp,ppm2,3.0
etha,g1sat,3.0
nadph,udpgalm,3.0
spmd,iletrs,1.0
spmd,argtrs,1.0
glyb,glns,1.0
inost,glns,1.0
pro__l,glns,1.0
ac,ugmdds,1.0
but,ugmdds,2.0
for,ugmdds,1.0
ppa,ugmdds,1.0
dgtp,ctps2,1.0
gtp,ctps2,1.0
itp,ctps2,1.0
gtp,cbps,1.0
imp,cbps,1.0
itp,cbps,1.0
orn,cbps,1.0
acglu,cbps,1.0
k,cbps,1.0
xmp,cbps,1.0
btn,accoac,1.0
cit,accoac,1.0
hom__l,hsdy,0.0
cys__l,hsdy,1.0
ser__l,hsdy,1.0
thr__l,hsdy,1.0
cu2,glycdx,1.0
fe3,glycdx,1.0
zn2,glycdx,1.0
nadh,udpgd,0.0
udpglcur,udpgd,0.0
urea,histd,2.0
adp,ldh_d,1.0
atp,ldh_d,1.0
oxam,ldh_d,2.0
ca2,me2,1.0
cobalt2,me2,1.0
cu2,me2,1.0
mg2,me2,1.0
zn2,me2,1.0
pep,icdhyr,2.0
atp,gnd,1.0
fdp,gnd,2.0
nadph,gnd,0.0
atp,g6pdh2r,1.0
cd2,g6pdh2r,2.0
cobalt2,g6pdh2r,1.0
cu2,g6pdh2r,1.0
hg2,g6pdh2r,2.0
mn2,g6pdh2r,1.0
nadh,g6pdh2r,1.0
nadph,g6pdh2r,0.0
atp,manao,1.0
altrn,manao,1.0
mana,manao,0.0
atp,tagurr,1.0
fruur,tagurr,1.0
mana,tagurr,1.0
mn2,kara1,1.0
nadph,kara1,0.0
adp,g3pd2,1.0
adprib,g3pd2,2.0
amp,g3pd2,1.0
atp,g3pd2,1.0
dhap,g3pd2,0.0
glyc3p,g3pd2,0.0
g3p,g3pd2,1.0
2pg,g3pd2,2.0
nadph,g3pd2,0.0
nmn,g3pd2,2.0
pmtcoa,g3pd2,2.0
pep,g3pd2,1.0
3pg,pgcd,0.0
ag,pgcd,3.0
ala_b,pgcd,2.0
gly,pgcd,1.0
ala__l,pgcd,1.0
athr__l,pgcd,2.0
hom__l,pgcd,2.0
ser__l,pgcd,1.0
thr__l,pgcd,1.0
nadh,pgcd,0.0
man6p,sbtpd,1.0
adp,dpr,1.0
amp,dpr,1.0
atp,dpr,1.0
pant__r,dpr,0.0
pi,dpr,1.0
adp,impd,1.0
amp,impd,1.0
atp,impd,1.0
ca2,impd,1.0
gdp,impd,1.0
gmp,impd,1.0
gtp,impd,1.0
mg2,impd,1.0
na1,impd,2.0
xmp,impd,0.0
cu2,dxprii,1.0
fe2,dxprii,1.0
gdp,gdmane,2.0
nadp,gdmane,1.0
for,fhl,0.0
no3,fhl,2.0
no2,fhl,2.0
ag,abutd,3.0
cobalt2,abutd,1.0
cu2,abutd,1.0
fe2,abutd,1.0
hg2,abutd,2.0
k,abutd,1.0
mg2,abutd,1.0
mn2,abutd,1.0
na1,abutd,2.0
ni2,abutd,1.0
zn2,abutd,1.0
acald,betaldhx,1.0
betald,betaldhx,0.0
ca2,betaldhx,1.0
chol,betaldhx,1.0
etha,betaldhx,2.0
hg2,betaldhx,2.0
sarcs,betaldhx,2.0
pacald,betaldhx,1.0
acald,acald,0.0
adprib,acald,1.0
amp,acald,1.0
fald,asad,2.0
gthox,asad,1.0
k,asad,1.0
na1,asad,2.0
tungs,asad,1.0
fe2,gcaldd,1.0
gcald,gcaldd,0.0
glyclt,gcaldd,0.0
mn2,gcaldd,1.0
pydam,gcaldd,2.0
pyam5p,gcaldd,2.0
pdx5p,gcaldd,1.0
zn2,gcaldd,1.0
ca2,lcadi,1.0
cu2,lcadi,1.0
gcald,lcadi,1.0
lald__l,lcadi,0.0
mthgxl,lcadi,1.0
mg2,lcadi,1.0
mn2,lcadi,1.0
zn2,lcadi,1.0
cu2,agpr,1.0
fe2,agpr,1.0
mn2,agpr,1.0
ni2,agpr,1.0
zn2,agpr,1.0
cobalt2,g5sd,1.0
cu2,g5sd,1.0
nadph,g5sd,0.0
ni2,g5sd,1.0
cobalt2,glutrr,1.0
ni2,glutrr,1.0
acald,pdh,1.0
accoa,pdh,0.0
2obut,pdh,1.0
hpyr,pdh,1.0
glx,pdh,1.0
lac__l,pdh,1.0
phpyr,pdh,2.0
indole,ear121x,2.0
pmtcoa,ear121x,2.0
pmtcoa,ear121y,2.0
adp,uapgr,1.0
adprib,uapgr,2.0
nadph,uapgr,0.0
udp,uapgr,2.0
uaccg,uapgr,0.0
uacgam,uapgr,1.0
ppp9,cpppgo,1.0
h2o2,cpppgo2,1.0
ca2,gludy,1.0
hom__l,gludy,1.0
pydx5p,gludy,1.0
urea,gludy,2.0
zn2,gludy,1.0
adp,glusy,1.0
atp,glusy,1.0
acon_c,glusy,2.0
ctp,glusy,1.0
glu__d,glusy,1.0
met__d,glusy,2.0
gly,glusy,1.0
gtp,glusy,1.0
icit,glusy,1.0
itp,glusy,2.0
ala__l,glusy,1.0
asn__l,glusy,1.0
asp__l,glusy,1.0
cys__l,glusy,1.0
glu__l,glusy,0.0
his__l,glusy,1.0
hom__l,glusy,1.0
mal__l,glusy,1.0
met__l,glusy,1.0
ser__l,glusy,1.0
nadph,glusy,0.0
oaa,glusy,1.0
pyr,glusy,1.0
succ,glusy,1.0
utp,glusy,1.0
pydx5p,pdx5poi,0.0
pdx5p,pdx5poi,0.0
urea,aspo6,2.0
nadh,p5cr,1.0
nadph,p5cr,0.0
pro__l,p5cr,0.0
ca2,dhfr,1.0
cl,dhfr,1.0
ptrc,dhfr,1.0
15dap,dhfr,2.0
k,dhfr,1.0
mg2,dhfr,1.0
na1,dhfr,2.0
spmd,dhfr,1.0
urea,dhfr,2.0
atp,mthfd,1.0
gtp,mthfd,1.0
mlthf,mthfr2,0.0
nadh,mthfr2,0.0
ca2,thd2pp,1.0
cobalt2,thd2pp,1.0
cu2,thd2pp,1.0
dmso,thd2pp,2.0
mn2,thd2pp,1.0
nadph,thd2pp,0.0
ni2,thd2pp,1.0
zn2,thd2pp,1.0
aso3,ntrir2x,2.0
cyan,ntrir2x,2.0
so3,ntrir2x,2.0
amp,gmpr,1.0
atp,gmpr,1.0
imp,gmpr,0.0
cyan,no3r2bpp,2.0
h2s,no3r2bpp,2.0
aso3,sulri,2.0
ca2,sulri,1.0
cd2,sulri,2.0
cl,sulri,1.0
cyan,sulri,1.0
cobalt2,sulri,1.0
cu2,sulri,1.0
fe2,sulri,1.0
fe3,sulri,1.0
hg2,sulri,2.0
mn2,sulri,1.0
no3,sulri,1.0
so4,sulri,1.0
h2s,sulri,0.0
zn2,sulri,1.0
aso3,trdr,2.0
ca2,trdr,1.0
pap,papsr,0.0
gthox,papsr,2.0
h2o2,cat,0.0
h2o2,dhcindo,3.0
cobalt2,taudo,2.0
cu2,taudo,2.0
ni2,taudo,2.0
zn2,taudo,2.0
no,nodox,0.0
h2o2,spodm,0.0
h2s,spodm,2.0
zn2,feropp,2.0
ca2,dmpps,1.0
cobalt2,dmpps,1.0
fe2,dmpps,1.0
mg2,dmpps,1.0
mn2,dmpps,1.0
ni2,dmpps,1.0
zn2,dmpps,1.0
cdp,rndr1,1.0
cobalt2,rndr1,1.0
cbm,rndr1,2.0
gdp,rndr1,1.0
udp,rndr1,1.0
met__l,hcysmt,0.0
ahcys,hcysmt,0.0
amet,hcysmt,0.0
mlthf,tmds,0.0
dhf,tmds,0.0
glu__l,tmds,1.0
glyc,tmds,2.0
dtmp,tmds,0.0
ahcys,cfas160e,0.0
acon_t,aconmt,0.0
ala__d,ghmt2r,2.0
urea,ghmt2r,2.0
coa,mohmt,1.0
fald,mohmt,2.0
val__l,mohmt,1.0
pant__r,mohmt,1.0
pnto__r,mohmt,2.0
pyr,mohmt,1.0
thf,mohmt,0.0
ac,aspct,2.0
asp__l,aspct,0.0
cl,aspct,1.0
cytd,aspct,1.0
dctp,aspct,1.0
ppi,aspct,1.0
fum,aspct,1.0
gtp,aspct,1.0
ins,aspct,1.0
itp,aspct,1.0
aso4,ocbt,2.0
gly,ocbt,1.0
ala__l,ocbt,1.0
asn__l,ocbt,1.0
ile__l,ocbt,1.0
leu__l,ocbt,1.0
lys__l,ocbt,1.0
ser__l,ocbt,1.0
val__l,ocbt,1.0
met__l,ocbt,1.0
orn,ocbt,0.0
pi,ocbt,0.0
ara5p,tkt1,2.0
urea,tkt1,3.0
ara5p,tala,2.0
lald__d,tala,2.0
ppi,tala,2.0
pi,tala,1.0
so4,tala,2.0
2obut,achbs,0.0
glx,achbs,2.0
hpyr,achbs,2.0
ile__l,achbs,2.0
leu__l,achbs,2.0
val__l,achbs,1.0
glyald,dxps,2.0
g3p,dxps,0.0
pyr,dxps,0.0
arg__l,acgs,1.0
cd2,acgs,2.0
coa,acgs,0.0
cu2,acgs,1.0
hg2,acgs,2.0
citr__l,acgs,2.0
acglu,acgs,0.0
zn2,acgs,1.0
aacoa,acact1r,0.0
ca2,g3pat120,2.0
mg2,g3pat120,2.0
ocdcea,g3pat120,1.0
hdcea,g3pat120,1.0
pmtcoa,g3pat120,2.0
pi,g3pat120,1.0
atp,serat,1.0
coa,serat,0.0
cys__l,serat,1.0
gly,serat,1.0
ala__l,serat,1.0
ser__l,serat,0.0
accoa,3oas121,1.0
urea,3oas121,3.0
met__d,hsst,2.0
met__l,hsst,1.0
amet,hsst,1.0
8aonn,aoxsr2,0.0
cys__l,aoxsr2,1.0
for,obtfl,0.0
ahcys,obtfl,2.0
coa,maltatr,0.0
u3aga,uagaat,0.0
uacgam,uagaat,0.0
acgam1p,g1pact,0.0
uamr,g1pact,2.0
cinnm,kas15,2.0
ca2,u23gaat,2.0
mg2,u23gaat,2.0
dcacoa,edtxs1,2.0
tdcoa,edtxs1,2.0
oxa,mals,2.0
pyr,mals,1.0
akg,cs,1.0
nadh,cs,1.0
oaa,cs,0.0
adpglc,glcp2,1.0
ag,glcp2,3.0
aso4,glcp2,2.0
ca2,glcp2,1.0
cyan,glcp2,2.0
cu2,glcp2,1.0
glc__d,glcp2,1.0
fe2,glcp2,1.0
g1p,glcp2,0.0
hg2,glcp2,1.0
dtdpglu,glcp2,1.0
udpg,glcp2,1.0
zn2,glcp2,1.0
meoh,uagpt3,3.0
ni2,uagpt3,2.0
udp,uagpt3,0.0
zn2,uagpt3,2.0
adn,punp1,0.0
dad_2,punp1,1.0
gua,punp1,1.0
