,bigg.reaction,bigg.metabolite,Value
0,23pde2pp,amp_c,-1
1,23pde4pp,amp_c,-1
2,23pde7pp,amp_c,-1
3,23pde9pp,amp_c,-1
4,3oas100,pi_c,1
5,3oas120,pi_c,1
6,3oas121,pi_c,1
7,3oas140,pi_c,1
8,3oas141,pi_c,1
9,3oas160,pi_c,1
10,3oas161,pi_c,1
11,3oas180,pi_c,1
12,3oas181,pi_c,1
13,3oas60,pi_c,1
14,3oas80,pi_c,1
15,abta,succ_c,-3
16,acald,acald_c,-1
17,accoac,btn_c,2
18,acgamk,gam_e,-1
19,acgk,atp_c,-2
20,acoata,coa_c,-1
21,acoda,gthrd_c,1
22,acoda,pi_c,1
23,admdc,pyr_c,3
24,adpt,amp_c,-1
25,adsk,aps_c,-1
26,adsk,gthrd_c,1
27,adss,fum_c,-3
28,adss,succ_c,-3
29,ahcysns,ade_c,-1
30,ahcysns,ahcys_c,-1
31,aldd2y,etoh_c,1
32,amaotr,8aonn_c,-3
33,ampn,atp_c,1
34,ans,4hbz_c,-1
35,argtrs,spmd_c,1
36,asad,ppt_e,-1
37,asp1dc,accoa_c,1
38,aspct,adn_c,1
39,aspct,atp_c,5
40,aspct,cl_c,-1
41,aspct,ctp_c,1
42,aspct,fum_c,-1
43,aspct,ppi_c,-2
44,aspct,succ_c,0
45,aspct,utp_c,1
46,aspk,succ_c,-1
47,aspt,dmso_c,1
48,aspt,glyc_c,1
49,betaldhx,acald_c,-1
50,betaldhx,etha_c,-1
51,betaldhx,pacald_c,-1
52,betaldhx,sarcs_c,-1
53,betaldhy,acald_c,-1
54,betaldhy,etha_c,-1
55,betaldhy,pacald_c,-1
56,betaldhy,sarcs_c,-1
57,bts5,ahcys_c,-1
58,bts5,amet_c,4
59,bts5,fdp_c,1
60,bts5,pydx5p_c,1
61,cbps,acglu_c,1
62,cbps,gtp_c,1
63,cbps,imp_c,6
64,cbps,itp_c,1
65,cbps,k_c,1
66,cbps,nh4_c,1
67,cbps,ump_c,-3
68,cbps,xmp_c,1
69,cfas160e,ahcys_c,-1
