,bigg.metabolite,bigg.reaction,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,chebiID,SPL
0,10fthf,mthfc,ReactionID=METHENYLTHFCYCLOHYDRO-RXN,,3.5.4.9,,,10-FORMYL-THF,,,-,Escherichia coli,EcoCyc,CHEBI:57454,1.0
1,10fthf,mthfd,ReactionID=METHYLENETHFDEHYDROG-NADP-RXN,,1.5.1.5,,,10-FORMYL-THF,,,-,Escherichia coli,EcoCyc,CHEBI:57454,3.0
2,15dap,dhfr,12 mM,Cadaverine,1.5.1.3,C01672,,45475,Diaminopentane,392238,-,Escherichia coli,BRENDA,CHEBI:18127,5.0
3,15dap,lystrs,,Cadaverine,6.1.1.6,C01672,,533,cadaverine,652528,-,Escherichia coli,BRENDA,CHEBI:18127,3.0
4,1pyr5c,ctps2,weak,delta-1-Pyrroline-5-carboxylate,6.3.4.2,C04322,,3810,DELTA1-pyrroline-5-carboxylate,648963,-,Escherichia coli,BRENDA,CHEBI:1372,3.0
5,1pyr5c,gf6pta,competitive with respect to L-glutamine,delta-1-Pyrroline-5-carboxylate,2.6.1.16,C04322,0.023,51635,DL-delta-1-pyrroline-5-carboxylate,639926,-,Escherichia coli,BRENDA,CHEBI:1372,3.0
6,23dappa,dapdc,,,4.1.1.20,,,99797,"2,3-Diaminopropionic acid",4110,-,Escherichia coli,BRENDA,CHEBI:58468,5.0
7,23dappa,gf6pta,,,2.6.1.16,,,33180,"L-2,3-diaminopropanoic acid",639916,-,Escherichia coli,BRENDA,CHEBI:57721,5.0
8,23dappa,pants,slight,,6.3.2.1,,,15467,"2,3-diaminopropanoate",978,-,Escherichia coli,BRENDA,CHEBI:58468,5.0
9,23dappa,serd_d,"25°C, pH 7.8",,4.3.1.18,,0.035,29959,"DL-2,3-Diaminopropionic acid",651969,-,Escherichia coli,BRENDA,CHEBI:58468,3.0
10,26dap__m,argabcpp,ReactionID=TRANS-RXN0-593,,3.6.3.21,,,MESO-DIAMINOPIMELATE,,,-,Escherichia coli,EcoCyc,CHEBI:57791,3.0
11,2cpr5p,praii,product inhibition,1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,5.3.1.24,C01302,,1250,1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,4611,-,Escherichia coli,BRENDA,CHEBI:29112,1.0
12,2dda7p,ddpa,ReactionID=DAHPSYN-RXN,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,2.5.1.54,C04691,,112551,3-deoxy-D-arabino-heptonic acid 7-phosphate,639741,-,Escherichia coli,BRENDA,CHEBI:18150,1.0
13,2dda7p,dhqs,ReactionID=3-DEHYDROQUINATE-SYNTHASE-RXN,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,4.2.3.4,C04691,,45157,3-deoxy-D-arabino-heptulosonic acid 7-phosphonate,137619,-,Escherichia coli,BRENDA,CHEBI:18150,1.0
14,2ddg6p,glcral,ReactionID=KDGALDOL-RXN,,4.1.2.20,,,2-KETO-3-DEOXY-6-P-GLUCONATE,,,-,Escherichia coli,EcoCyc,CHEBI:57569,3.0
15,2ddg6p,glgc,,2-Dehydro-3-deoxy-6-phospho-D-gluconate,2.7.7.27,C04442,,1482,2-keto-3-deoxy phosphogluconate,643144,+,Escherichia coli,BRENDA,CHEBI:15925,3.0
