,EC_number,Organism,LigandID,KI_Value,Commentary,Literature,chebiID,bigg.metabolite,KEGG_ID,Compound
0,1.1.1.1,Homo sapiens,2,-999.0,inhibition kinetics,655206,,,,
1,1.1.1.1,Entamoeba histolytica,2,-999.0,,655804,,,,
2,1.1.1.1,Homo sapiens,2,-999.0,,656058,,,,
3,1.1.1.1,Mus musculus,426,8e-05,at 37°C in 0.1 M Na-K phosphate buffer (pH 7.4),699982,CHEBI:16433,34dhcinm,C01197,Caffeate
4,1.1.1.1,Sulfolobus solfataricus,16621,0.0032,apparent value,681763,CHEBI:45260,,,
5,1.1.1.1,Homo sapiens,7119,0.0047,"pH 7.3, 37°C, versus cyclohexanone",655206,CHEBI:16422,andrstndn,C00280,Androstenedione
6,1.1.1.1,Homo sapiens,2393,0.0047,"pH 7.3, 37°C, versus cyclohexanone",655206,CHEBI:16330,5adtststerone,C03917,Dihydrotestosterone
7,1.1.1.1,Mus musculus,1078,0.0051,at 37°C in 0.1 M Na-K phosphate buffer (pH 7.4),699982,CHEBI:33140,,,
8,1.1.1.1,Mus musculus,1167,0.0079,at 37°C in 0.1 M Na-K phosphate buffer (pH 7.4),699982,CHEBI:18346,vanln,C00755,4-Hydroxy-3-methoxy-benzaldehyde
9,1.1.1.1,Sulfolobus solfataricus,2464,0.009,apparent value,681763,CHEBI:5141,,C07837,Fomepizole
10,1.1.1.1,Homo sapiens,2393,0.014,"pH 7.3, 37°C, versus ethanol",655206,CHEBI:16330,5adtststerone,C03917,Dihydrotestosterone
11,1.1.1.1,Mus musculus,4943,0.0156,at 37°C in 0.1 M Na-K phosphate buffer (pH 7.4),699982,CHEBI:67380,,,
12,1.1.1.1,Mus musculus,1279,0.022,at 37°C in 0.1 M Na-K phosphate buffer (pH 7.4),699982,CHEBI:4775,,C10788,Ellagic acid
13,1.1.1.1,Saccharomyces cerevisiae,12605,0.025,"in 50 mM Tris-HCl, pH 8.0 at 25°C",699019,,,,
14,1.1.1.1,Mus musculus,1649,0.026,"pH 7.5, 25°C, wild-type enzyme, versus NAD+",654730,CHEBI:28837,octa,C06423,Octanoic acid
15,1.1.1.1,Homo sapiens,2393,0.028,"pH 7.3, 37°C, versus NAD+",655206,CHEBI:16330,5adtststerone,C03917,Dihydrotestosterone
16,1.1.1.1,Mus musculus,34558,0.035,"pH 7.5, 25°C, wild-type enzyme, versus benzaldehyde",654730,,,,
17,1.1.1.1,Mus musculus,1649,0.037,"pH 7.5, 25°C, wild-type enzyme, versus octanol",654730,CHEBI:28837,octa,C06423,Octanoic acid
18,1.1.1.1,Saccharomyces cerevisiae,12605,0.038,"in 50 mM Tris-HCl, pH 8.0 at 25°C",699019,,,,
19,1.1.1.1,Mus musculus,34558,0.072,"pH 7.5, 25°C, wild-type enzyme, versus NADH",654730,,,,
20,1.1.1.1,Sulfolobus solfataricus,1078,0.13,apparent value,681763,CHEBI:33140,,,
21,1.1.1.1,Klebsiella pneumoniae,2464,0.47,,660650,CHEBI:5141,,C07837,Fomepizole
22,1.1.1.1,Homo sapiens,69,1.7,"isozyme ADH1C, using 1-hydroxymethylpyrene as substrate",701322,CHEBI:16236,etoh,C00469,Ethanol
23,1.1.1.1,Homo sapiens,69,3.3,"isozyme ADH4, using 1-hydroxymethylpyrene as substrate",701322,CHEBI:16236,etoh,C00469,Ethanol
24,1.1.1.1,Klebsiella oxytoca,2464,6.4,,660650,CHEBI:5141,,C07837,Fomepizole
25,1.1.1.1,Pseudomonas aeruginosa,2464,6.64,,660650,CHEBI:5141,,C07837,Fomepizole
