"EC_number","Cofactor","Organism","LigandID","Commentary","Literature"
"1.1.1.1","3-benzoylpyridine-adenine dinucleotide","Equus caballus",48586,"can be used as coenzyme",285588
"1.1.1.1","more","Scaptodrosophila lebanonensis",2,"crystallographic study of the coenzyme binding mode",285593
"1.1.1.1","more","Equus caballus",2,"kinetics of native and modified enzyme with coenzyme analogues",285609
"1.1.1.1","more","Saccharomyces cerevisiae",2,"kinetic study on the binding of monomeric and polymeric derivatives of NAD+",285643
"1.1.1.1","more","Brevibacterium sp.",2,"NADP+ shows less than 0.1% of the activity with NAD+",669540
"1.1.1.1","more","Carboxydothermus hydrogenoformans",2,"the enzyme prefers NAD(H) over NADP(H) as a cofactor",721911
"1.1.1.1","NAD+","Cricetulus griseus",7,"",285556
"1.1.1.1","NAD+","Ctenopharyngodon idella",7,"",285557
"1.1.1.1","NAD+","Kluyveromyces marxianus",7,"",285558
"1.1.1.1","NAD+","Vicia faba",7,"",285559
"1.1.1.1","NAD+","Suncus murinus",7,"",285560
"1.1.1.1","NAD+","Najas marina",7,"",285562
"1.1.1.1","NAD+","Drosophila funebris",7,"",285563
"1.1.1.1","NAD+","Drosophila immigrans",7,"",285563
"1.1.1.1","NAD+","Saimiri sciureus",7,"",285579
"1.1.1.1","NAD+","Macaca mulatta",7,"",285580
"1.1.1.1","NAD+","Equus caballus",7,"kinetics of coenzyme binding in the pH-range 10-12",285581
"1.1.1.1","NAD+","Equus caballus",7,"NAD+ acts as an activator which induces an active form of the enzyme",285589
"1.1.1.1","NAD+","Equus caballus",7,"preferred substrate",285597
"1.1.1.1","NAD+","Gallus gallus",7,"",285599
"1.1.1.1","NAD+","Oryctolagus cuniculus",7,"","285600, 285601"
"1.1.1.1","NAD+","Rattus norvegicus",7,"","285565, 285604, 285605, 285606"
"1.1.1.1","NAD+","Saara hardwickii",7,"",285607
"1.1.1.1","NAD+","Naja naja",7,"",285612
"1.1.1.1","NAD+","Oncorhynchus mykiss",7,"",285614
"1.1.1.1","NAD+","Coturnix coturnix",7,"",285615
"1.1.1.1","NAD+","Drosophila melanogaster",7,"NAD+-plus-acetone-induced conversion",285617
"1.1.1.1","NAD+","Drosophila simulans",7,"","285563, 285618, 285619"
"1.1.1.1","NAD+","Drosophila virilis",7,"","285563, 285619"
"1.1.1.1","NAD+","Drosophila melanogaster",7,"","285563, 285598, 285613, 285618, 285619, 285620"
"1.1.1.1","NAD+","Zymomonas mobilis",7,"","285622, 285623"
