ReactionID,EC,RegID,Metabolite,Mode,KI,Mechanism,Chebi
"ETHAMLY-RXN","4.3.1.7","REG0-9676","1-AMINO-PROPAN-2-OL","-","NaN","COMPETITIVE",42677
"METHYLENETHFDEHYDROG-NADP-RXN","1.5.1.5","REG0-7803","10-FORMYL-THF","-","NaN","NaN",57454
"METHENYLTHFCYCLOHYDRO-RXN","3.5.4.9","REG0-7906","10-FORMYL-THF","-","NaN","COMPETITIVE",57454
"ALDOSE1EPIM-RXN","5.1.3.3","REG0-6700","2-DEOXY-D-GLUCOSE","-","NaN","COMPETITIVE",84755
"KDGALDOL-RXN","4.1.2.20","REG0-10738","2-KETO-3-DEOXY-6-P-GLUCONATE","-","NaN","COMPETITIVE",57569
"TYROSINE-AMINOTRANSFERASE-RXN","2.6.1.57","REG0-7013","2-KETO-ISOVALERATE","-","NaN","NaN",11851
"BRANCHED-CHAINAMINOTRANSFERLEU-RXN","2.6.1.6","REG0-7812","2-KETO-ISOVALERATE","-","NaN","NaN",11851
"PHEAMINOTRANS-RXN","2.6.1.57","REG0-8169","2-KETO-ISOVALERATE","-","NaN","NaN",11851
"RXN-16701","1.1.1","REG-15076","2-KETOGLUTARATE","-","NaN","COMPETITIVE",16810
"PEPSYNTH-RXN","2.7.9.2","REG0-10569","2-KETOGLUTARATE","-","NaN","NaN",16810
"F16ALDOLASE-RXN","4.1.2.13","REG0-12165","2-KETOGLUTARATE","+","NaN","NaN",16810
"CITSYN-RXN","2.3.3.16","REG0-6736","2-KETOGLUTARATE","-","NaN","COMPETITIVE",16810
"GSADENYLATION-RXN","2.7.7.42","REG0-6895","2-KETOGLUTARATE","-","NaN","NaN",16810
"DEPHOSICITDEHASE-RXN","3.1.3","REG0-7606","2-KETOGLUTARATE","+","NaN","NaN",16810
"SUCCINYLDIAMINOPIMTRANS-RXN","2.6.1.17","REG0-7650","2-KETOGLUTARATE","-","NaN","NaN",16810
"PHOSICITDEHASE-RXN","2.7.11.5","REG0-7696","2-KETOGLUTARATE","-","NaN","NaN",16810
"GSDEADENYLATION-RXN","2.7.7.89","REG0-7725","2-KETOGLUTARATE","+","NaN","NaN",16810
"ISOCIT-CLEAV-RXN","4.1.3.1","REG0-8294","2-KETOGLUTARATE","-","NaN","NaN",16810
"KETOGLUTREDUCT-RXN","1.1.1","REG0-8921","2-KETOGLUTARATE","-","NaN","COMPETITIVE",16810
"ALPHAGALACTOSID-RXN","3.2.1.22","REG0-6711","2-MERCAPTOETHANOL","+","NaN","NaN",41218
"GALACTOKIN-RXN","2.7.1.6","REG0-7068","2-MERCAPTOETHANOL","+","NaN","NaN",41218
"THREODEHYD-RXN","1.1.1.103","REG0-7514","2-MERCAPTOETHANOL","-","NaN","NaN",41218
"METHYLENETHFDEHYDROG-NADP-RXN","1.5.1.5","REG0-7807","2-MERCAPTOETHANOL","-","NaN","NaN",41218
"GALACTUROISOM-RXN","5.3.1.12","REG0-7831","2-MERCAPTOETHANOL","-","NaN","NaN",41218
"GLUCUROISOM-RXN","5.3.1.12","REG0-7869","2-MERCAPTOETHANOL","-","NaN","NaN",41218
"THYMIDYLATESYN-RXN","2.1.1.45","REG0-7908","2-MERCAPTOETHANOL","+","NaN","NaN",41218
"1.1.1.283-RXN","1.1.1.283","REG0-8182","2-MERCAPTOETHANOL","+","NaN","NaN",41218
"BETAGALACTOSID-RXN","3.2.1.108","REG0-8196","2-MERCAPTOETHANOL","-","NaN","NaN",41218
"GALACTARDEHYDRA-RXN","4.2.1.42","REG0-9019","2-MERCAPTOETHANOL","+","NaN","NaN",41218
