Gene	b#	
alr	b4053
modB	b0764
cysZ	b2413
dfp	b3639
fruB	b2169
dcuB	b4123
hisM	b2307
zraS	b4003
icdC'	b4519
rhsE'	b1456
yaaA	b0006
cydC	b0886
mepM	b1856
acrD	b2470
rodZ	b2516
garL	b3126
ispB	b3187
csrD	b3252
cpxR	b3912
yjiA	b4352
aceA	b4015
aceB	b4014
aceE	b0114
aceF	b0115
aceK	b4016
ackA	b2296
pflA	b0902
ada	b2213
add	b1623
adhE	b1241
adk	b0474
agp	b1002
alaS	b2697
aldA	b1415
puuC	b1300
alkB	b2212
amn	b1982
ampC	b4150
ampD	b0110
ampE	b0111
cysQ	b4214
osmE	b1739
ansA	b1767
ansB	b2957
apaG	b0050
apaH	b0049
appA	b0980
appY	b0564
apt	b0469
araA	b0062
araB	b0063
araC	b0064
araD	b0061
araE	b2841
araF	b1901
araG	b1900
araH	b4460
araJ	b0396
arcA	b4401
arcB	b3210
argA	b2818
argB	b3959
argC	b3958
argD	b3359
argF	b0273
argG	b3172
argI	b4254
argR	b3237
argS	b1876
argT	b2310
aroA	b0908
aroB	b3389
aroC	b2329
aroD	b1693
aroE	b3281
aroF	b2601
aroG	b0754
aroH	b1704
aroK	b3390
aroL	b0388
aroM	b0390
aroP	b0112
ascB	b2716
ascF	b2715
ascG	b2714
asd	b3433
aslA	b3801
aslB	b3800
asnA	b3744
asnB	b0674
asnC	b3743
asnS	b0930
aspA	b4139
aspC	b0928
aspS	b1866
atpA	b3734
atpB	b3738
atpC	b3731
atpD	b3732
atpE	b3737
atpF	b3736
atpG	b3733
atpH	b3735
atpI	b3739
avtA	b3572
bcp	b2480
betA	b0311
betB	b0312
betI	b0313
betT	b0314
bfr	b3336
bglB	b3721
bglF	b3722
bglG	b3723
bioA	b0774
bioB	b0775
bioC	b0777
bioD	b0778
bioF	b0776
bioH	b3412
birA	b3973
bisC	b3551
bolA	b0435
btuB	b3966
btuC	b1711
btuD	b1709
btuE	b1710
btuR	b1270
cadA	b4131
cadB	b4132
cadC	b4133
carA	b0032
carB	b0033
cca	b3056
cdd	b2143
cdh	b3918
cdsA	b0175
chbB	b1738
chbC	b1737
chbA	b1736
chbR	b1735
chbF	b1734
creD	b4400
cheA	b1888
cheB	b1883
cheR	b1884
cheW	b1887
cheY	b1882
cheZ	b1881
modC	b0765
moeA	b0827
moeB	b0826
cirA	b2155
clpA	b0882
clpB	b2592
clpP	b0437
clpX	b0438
cpdB	b4213
cpsB	b2049
cpsG	b2048
cpxA	b3911
crp	b3357
crr	b2417
cspA	b3556
cstA	b0598
lnt	b0657
cvpA	b2313
cyaA	b3806
cybB	b1418
cydA	b0733
cydB	b0734
cynS	b0340
cynT	b0339
cynX	b0341
cyoA	b0432
cyoB	b0431
cyoC	b0430
cyoD	b0429
cyoE	b0428
cysA	b2422
cysB	b1275
cysC	b2750
cysD	b2752
cysE	b3607
cysG	b3368
cysH	b2762
cysI	b2763
cysJ	b2764
cysK	b2414
cysM	b2421
cysN	b2751
cysP	b2425
cysS	b0526
cysU	b2424
cysW	b2423
cytR	b3934
dacA	b0632
dacB	b3182
dacC	b0839
dam	b3387
dapA	b2478
dapB	b0031
dapD	b0166
dapE	b2472
dapF	b3809
dbpA	b1343
dcm	b1961
dcp	b1538
ddlA	b0381
ddlB	b0092
deaD	b3162
dedA	b2317
accD	b2316
dedD	b2314
deoA	b4382
deoB	b4383
deoC	b4381
deoD	b4384
deoR	b0840
dgkA	b4042
dgt	b0160
dicA	b1570
dicB	b1575
dicC	b1569
flk	b2321
dksA	b0145
dld	b2133
dmsA	b0894
dmsB	b0895
dmsC	b0896
dnaA	b3702
dnaB	b4052
dnaC	b4361
dnaE	b0184
dnaG	b3066
dnaJ	b0015
dnaK	b0014
dnaN	b3701
dnaQ	b0215
dnaT	b4362
dnaX	b0470
mltD	b0211
acpS	b2563
dppA	b3544
dsdA	b2366
dsdX	b2365
dut	b3640
ebgA	b3076
ebgC	b3077
ebgR	b3075
eco	b2209
eda	b1850
edd	b1851
eno	b2779
entA	b0596
entB	b0595
entC	b0593
entD	b0583
entE	b0594
entF	b0586
lpxC	b0096
acrE	b3265
acrF	b3266
envY	b0566
envZ	b3404
era	b2566
exbB	b3006
exbD	b3005
fabA	b0954
fabB	b2323
accB	b3255
accC	b3256
fabH	b1091
fadA	b3845
fadB	b3846
fadL	b2344
fadR	b1187
fbaA	b2925
fbp	b4232
fdhE	b3891
fdhF	b4079
fecA	b4291
fecB	b4290
fecC	b4289
fecD	b4288
fecE	b4287
fecI	b4293
fecR	b4292
fepA	b0584
fepB	b0592
fepC	b0588
fepD	b0590
fepE	b0587
fepG	b0589
fes	b0585
ffh	b2610
fhlA	b2731
fhuA	b0150
fhuB	b0153
fhuC	b0151
fhuD	b0152
fhuE	b1102
fic	b3361
fimA	b4314
fimB	b4312
fimC	b4316
fimD	b4317
fimE	b4313
fimF	b4318
fimG	b4319
fimH	b4320
lpxD	b0179
fis	b3261
fldA	b0684
flhC	b1891
flhD	b1892
fliC	b1923
fliL	b1944
fliM	b1945
fliN	b1946
fnr	b1334
folA	b0048
folC	b2315
folD	b0529
mutM	b3635
frdA	b4154
frdB	b4153
frdC	b4152
frdD	b4151
fre	b3844
frr	b0172
fruA	b2167
fruK	b2168
cra	b0080
ftsA	b0094
ftsE	b3463
ftsI	b0084
ftsQ	b0093
rsmD	b3465
ftsW	b0089
ftsX	b3462
ftsY	b3464
ftsZ	b0095
fucA	b2800
fucI	b2802
fucK	b2803
fucO	b2799
fucP	b2801
fucR	b2805
fucU	b2804
fumA	b1612
fumB	b4122
fumC	b1611
fur	b0683
fusA	b3340
gabT	b2662
galE	b0759
galK	b0757
galR	b2837
galS	b2151
galT	b0758
gapA	b1779
epd	b2927
gcd	b0124
ispG	b2515
gcvH	b2904
gdhA	b1761
hokC	b4412
ggt	b3447
mnmG	b3741
rsmG	b3740
glgA	b3429
glgB	b3432
glgC	b3430
glgP	b3428
glgX	b3431
glmS	b3729
glnA	b3870
glnB	b2553
glnG	b3868
glnH	b0811
glnL	b3869
glnP	b0810
glnQ	b0809
glnS	b0680
glpA	b2241
