Reaction,EC,Metabolite,Mode,KI,CheBi
PYRIMSYN1-RXN,4.1.99.17,AMINO-HYDROXYMETHYL-METHYL-PYR-P,-,,58354
PROTOPORGENOXI-RXN,1.3.3.4,BILIRUBIN,-,4.4,57977
PROTOPORGENOXI-RXN,1.3.3.4,BILIVERDINE,-,4,57991
PROTOPORGENOXI-RXN,1.3.3.4,CPD-11678,-,2.3,50385
PROTEIN-TYROSINE-PHOSPHATASE-RXN,3.1.3.48,CPD-4584,-,,244456
3.5.1.88-RXN,3.5.1.88,CPD0-1358,-,,220740
3.5.1.88-RXN,3.5.1.88,CPD0-1358,-,,220740
GUANYL-KIN-RXN,2.7.4.8,GUANOSINE-5DP-3DP,-,,77828
4.3.1.17-RXN,4.3.1.17,K+,+,,29103
CATAL-RXN,1.11.1.21,NITRIC-OXIDE,+,,16480
OXALATE-DECARBOXYLASE-RXN,4.1.1.2,NITRIC-OXIDE,-,,16480
OROTATE-REDUCTASE-NADH-RXN,1.3.1.14,OROTATE,-,20.6,30839
PYRIMSYN1-RXN,4.1.99.17,THIAMINE,-,,18385
