Reaction,EC,Metabolite,Mode,KI,CheBi
ORNCARBAMTRANSFER-RXN,2.1.3.3,2-MERCAPTOETHANOL,+,,41218
RXN-7607,3.1.3.5,23-DIPHOSPHOGLYCERATE,+,,58248
RXN-8730,3.1.3.56,23-DIPHOSPHOGLYCERATE,-,,58248
RXN-8730,3.1.3.56,23-DIPHOSPHOGLYCERATE,-,,58248
RXN-10036,3.1.3.86,23-DIPHOSPHOGLYCERATE,-,,58248
RXN6666-9,2.8.2.1,3-5-ADP,-,,58343
RXN6666-9,2.8.2.1,3-5-ADP,-,,58343
1.13.11.6-RXN,1.13.11.6,3-HYDROXYBENZOATE,-,,16193
ACETATE--COA-LIGASE-RXN,6.2.1.1,3-KETOBUTYRATE,-,,13705
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,3-OH-BENZALDEHYDE,-,,16207
RXN-14116,1.2.1.88,3-OH-BENZALDEHYDE,-,,16207
RXN-14116,1.2.1.88,4-AMINO-BUTYRATE,-,,59888
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,4-HYDROXYBENZALDEHYDE,-,,17597
RXN-14116,1.2.1.88,4-HYDROXYBENZALDEHYDE,-,,17597
5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN,2.4.2.28,5-METHYLTHIOTUBERCIDIN,-,,665251
6.3.4.16-RXN,6.3.4.16,ACETYL-GLU,+,,44337
PROTOPORGENOXI-RXN,1.3.3.4,ACIFLUORFEN,-,,73172
1-PHOSPHATIDYLINOSITOL-KINASE-RXN,2.7.1.67,ADENOSINE,-,,16335
HISTAMINE-N-METHYLTRANSFERASE-RXN,2.1.1.8,ADENOSYL-HOMO-CYS,-,,57856
RXN6666-7,2.1.1.6,ADENOSYL-HOMO-CYS,-,,57856
AMP-DEPHOSPHORYLATION-RXN,3.1.3.5,ADP,+,,456216
PHOSACETYLGLUCOSAMINEMUT-RXN,5.4.2.3,ALPHA-GLUCOSE-16-BISPHOSPHATE,+,,58392
TYROSINE-3-MONOOXYGENASE-RXN,1.14.16.2,ALPHA-METHYL-TYROSINE,-,,6912
RXN-12752,5.1.99.6,AMMONIUM,+,,28938
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,2.6.1.16,AMP,-,,456215
RXN-7607,3.1.3.5,ATP,+,,30616
AMP-DEAMINASE-RXN,3.5.4.17,ATP,+,,30616
RXN6666-9,2.8.2.1,ATP,-,,30616
RXN6666-9,2.8.2.1,ATP,-,,30616
ARGINASE-RXN,3.5.3.1,BORATE,-,,33118
GLUTCYSLIG-RXN,6.3.2.2,BUTHIONINE-SULFOXIMINE,-,,28714
1.5.1.8-RXN,1.5.1.8,CA+2,-,,29108
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,3.1.2.12,CA+2,-,,29108
2.7.11.19-RXN,2.7.11.19,CA+2,+,,29108
2.7.11.19-RXN,2.7.11.19,CA+2,+,,29108
RXN0-5260,1.1.5.3,CA+2,+,,29108
RXN-9989,3.1.3.29,CA+2,-,,29108
3.1.4.11-RXN,3.1.4.11,CA+2,+,,29108
3.1.4.11-RXN,3.1.4.11,CA+2,+,,29108
3.1.4.11-RXN,3.1.4.11,CA+2,+,,29108
2.7.1.154-RXN,2.7.1.154,CA+2,+,,29108
2.7.8.11-RXN,2.7.8.11,CA+2,-,,29108
2.7.1.127-RXN,2.7.1.127,CA+2,+,,29108
2.7.1.127-RXN,2.7.1.127,CA+2,+,,29108
2.7.1.127-RXN,2.7.1.127,CA+2,+,,29108
3.6.3.49-RXN,3.6.3.49,CA+2,+,,29108
RXN6666-7,2.1.1.6,CA+2,-,,29108
1.5.1.8-RXN,1.5.1.8,CADAVERINE,-,,58384
ARGINASE-RXN,3.5.3.1,CANAVANINE,-,,3345
1.5.1.8-RXN,1.5.1.8,CARBAMOYL-P,-,,58228
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,CD+2,-,,48775
1.13.11.6-RXN,1.13.11.6,CD+2,-,,48775
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,CD+2,-,,48775
RXN-13605,3.1.1.93,CD+2,-,,48775
1.1.1.34-RXN,1.1.1.34,CHOLESTEROL,-,,16113
KYNURENINE-3-MONOOXYGENASE-RXN,1.14.13.9,CL-,-,,17996
3.1.6.4-RXN,3.1.6.4,CL-,-,,17996
RXN-11568,3.1.6.4,CL-,-,,17996
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,2.6.1.16,CMP,-,,60377
1.5.1.8-RXN,1.5.1.8,CO+2,-,,48828
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,CO+2,+,,48828
RXN-11321,1.14.11.30,CO+2,-,,48828
RXN-7909,1.5.1,CO+2,-,,48828
TYROSINE-3-MONOOXYGENASE-RXN,1.14.16.2,CO+2,-,,48828
RXN66-161,1.14.14.1,COUMARIN,-,,28794
RXN66-61,1.5.8,COUMARIN,-,,28794
RXN66-161,1.14.14.1,COUMARIN,-,,28794
RXN66-61,1.5.8,COUMARIN,-,,28794
ATPSYN-RXN,3.6.3.14,CPD-10325,-,,22689
SPERMACTRAN-RXN,2.3.1.57,CPD-10690,-,,161803
CREATINE-KINASE-RXN,2.7.3.2,CPD-10806,-,,32585
HISTAMINE-N-METHYLTRANSFERASE-RXN,2.1.1.8,CPD-10887,-,,45980
HISTAMINE-N-METHYLTRANSFERASE-RXN,2.1.1.8,CPD-10889,-,,2674
HISTAMINE-N-METHYLTRANSFERASE-RXN,2.1.1.8,CPD-10890,-,,4636
HISTAMINE-N-METHYLTRANSFERASE-RXN,2.1.1.8,CPD-10891,-,,166251
ALCOHOL-DEHYDROG-RXN,1.1.1.1,CPD-11435,-,,171118
KYNURENINE-3-MONOOXYGENASE-RXN,1.14.13.9,CPD-11569,-,,129715
2.6.1.7-RXN,2.6.1.7,CPD-11578,-,,619857
1-PHOSPHATIDYLINOSITOL-KINASE-RXN,2.7.1.67,CPD-11924,-,,52289
2.7.1.154-RXN,2.7.1.154,CPD-11924,-,,52289
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN,2.7.1.137,CPD-11924,-,,52289
2.7.1.153-RXN,2.7.1.153,CPD-11924,-,,52289
2.7.1.153-RXN,2.7.1.153,CPD-11924,-,,52289
ADENODEAMIN-RXN,3.5.4.4,CPD-11928,-,,553578
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,3.1.2.12,CPD-12153,-,,53063
LACTASE-RXN,3.2.1.108,CPD-12447,-,,8113
RXN-12322,3.1.1.89,CPD-13256,-,,44658
1.5.1.8-RXN,1.5.1.8,CPD-161,-,,58148
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,CPD-280,+,,16120
3.2.1.76-RXN,3.2.1.76,CPD-29,-,,10620
RXN-7909,1.5.1,CPD-29,-,,10620
ARGINASE-RXN,3.5.3.1,CPD-309,-,,57520
GUANINE-DEAMINASE-RXN,3.5.4.3,CPD-3762,-,,2030
RXN66-306,1.3.1.70,CPD-4504,-,,50145
RXN66-306,1.3.1.70,CPD-4504,-,,50145
RXN66-62,1.2.3,CPD-4523,-,,8772
RXN66-62,1.2.3,CPD-4523,-,,8772
RXN66-320,5.3.3.5,CPD-4541,-,,9396
RXN66-320,5.3.3.5,CPD-4541,-,,9396
SQUALENE-MONOOXYGENASE-RXN,1.14.13.132,CPD-4544,-,,30477
SQUALENE-MONOOXYGENASE-RXN,1.14.13.132,CPD-4544,-,,30477
RXN-9989,3.1.3.29,CPD-4584,-,,244456
UNSPECIFIC-MONOOXYGENASE-RXN,1.14.14.1,CPD-4981,-,,6750
RXN-13605,3.1.1.93,CPD-5541,-,,8102
RXN66-321,1.3.1.72,CPD-7051,-,,9709
RXN66-321,1.3.1.72,CPD-7051,-,,9709
RXN6666-7,2.1.1.6,CPD-7650,-,,266907
RXN6666-4,1.4.3.4,CPD-7656,-,,3763
RXN6666-4,1.4.3.4,CPD-7657,-,,50508
RXN6666-7,2.1.1.6,CPD-7661,-,,7625
RXN6666-7,2.1.1.6,CPD-7662,-,,4798
RXN6666-7,2.1.1.6,CPD-7663,-,,380848
RXN6666-7,2.1.1.6,CPD-7664,-,,63630
ALCOHOL-DEHYDROG-RXN,1.1.1.1,CPD0-1652,-,,5141
RXN6666-2,3.5.1.99,CPD6666-4,-,,64032
RXN6666-2,3.5.1.99,CPD6666-4,-,,64032
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,CR+3,-,,49544
AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,4.1.1.45,CR+3,-,,49544
1.5.1.8-RXN,1.5.1.8,CU+2,-,,29036
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,CU+2,-,,29036
3.2.1.76-RXN,3.2.1.76,CU+2,-,,29036
RXN-13605,3.1.1.93,CU+2,-,,29036
GLUTATHIONE-PEROXIDASE-RXN,1.11.1.9,CU+2,-,,29036
RXN66-241,2.1.1.28,CU+2,-,,29036
RXN66-241,2.1.1.28,CU+2,-,,29036
2.6.1.7-RXN,2.6.1.7,CYS,-,,35235
DOPAMINE-BETA-MONOOXYGENASE-RXN,1.14.17.1,CYS,-,,35235
DOPAMINE-BETA-MONOOXYGENASE-RXN,1.14.17.1,CYS,-,,35235
RXN-7607,3.1.3.5,DATP,+,,61404
DCMP-DEAMINASE-RXN,3.5.4.12,DCTP,+,,61481
1.20.4.2-RXN,1.20.4.2,DEOXYCHOLATE,-,,23614
DEOXYGUANOSINE-KINASE-RXN,2.7.1.74,DGDP,-,,58595
DEOXYADENOSINE-KINASE-RXN,2.7.1.74,DGDP,-,,58595
DEOXYGUANOSINE-KINASE-RXN,2.7.1.74,DGTP,-,,61429
DEOXYADENOSINE-KINASE-RXN,2.7.1.74,DGTP,-,,61429
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN,1.2.1.24,DISULFIRAM,-,,4659
ORNCARBAMTRANSFER-RXN,2.1.3.3,DITHIOTHREITOL,-,,42106
RXN-11562,2.8.2,DITHIOTHREITOL,-,,42106
ADENODEAMIN-RXN,3.5.4.4,EHNA,-,,112889
MEVALONATE-KINASE-RXN,2.7.1.36,FARNESYL-PP,+,,175763
