"EC_number","Organism","LigandID","Literature"
"1.1.1.1","Sulfolobus acidocaldarius",9759,719428
"1.1.1.1","Sulfolobus acidocaldarius",682,719428
"1.1.1.1","Sulfolobus acidocaldarius",981,719428
"1.1.1.1","Aeropyrum pernix",981,727064
"1.1.1.1","Equus caballus",4779,668487
"1.1.1.1","Mus musculus",3331,667832
"1.1.1.1","Mus musculus",132721,667832
"1.1.1.1","Candida sp.",21,285637
"1.1.1.1","Thermus thermophilus",21,684583
"1.1.1.1","Geobacillus thermodenitrificans",21,712962
"1.1.1.1","Saccharomyces cerevisiae",1142,695705
"1.1.1.1","Sulfolobus solfataricus",67,681763
"1.1.1.1","Devosia riboflavina",93,688442
"1.1.1.1","Equus caballus",2,285590
"1.1.1.1","Pyrococcus furiosus",2,722203
"1.1.1.1","Sulfolobus acidocaldarius",17952,719428
"1.1.1.1","Sulfolobus acidocaldarius",14171,719428
"1.1.1.1","Mus musculus",980,697214
"1.1.1.1","Sulfolobus acidocaldarius",169923,719428
"1.1.1.1","Mus musculus",2231,667832
"1.1.1.1","Equus caballus",624,285641
"1.1.1.1","Thermus sp.",61,695811
"1.1.1.1","Thermus sp.",116,695811
"1.1.1.1","Mus musculus",12724,667832
"1.1.1.2","Thermococcus litoralis",399,286198
"1.1.1.2","Rattus norvegicus",122,286174
"1.1.1.2","Acinetobacter sp.",32246,286210
"1.1.1.2","Synechocystis sp.",2,698623
"1.1.1.2","Sus scrofa",867,286165
"1.1.1.2","Sus scrofa",245,286165
"1.1.1.2","Gallus sp.",245,286184
"1.1.1.2","Rattus norvegicus",16220,286174
"1.1.1.B3","Candida viswanathii",63,689823
"1.1.1.3","Spinacia oleracea",125,246395
"1.1.1.B3","Thermus thermophilus",239,684583
"1.1.1.B4","Thermus thermophilus",239,684583
"1.1.1.6","Enterobacter aerogenes",62,636292
"1.1.1.6","Enterobacter aerogenes",63,636292
"1.1.1.6","Enterobacter aerogenes",16053,636292
"1.1.1.6","Escherichia coli",1058,668061
"1.1.1.6","Pichia membranifaciens",131,636285
"1.1.1.6","Enterobacter aerogenes",577,636292
"1.1.1.6","Schizosaccharomyces pombe",67,636283
"1.1.1.6","Escherichia coli",39,668061
"1.1.1.6","Schizosaccharomyces pombe",49,636283
"1.1.1.6","Schizosaccharomyces pombe",54,636283
"1.1.1.6","Cellulomonas sp.",54,636286
"1.1.1.6","Cellulomonas sp.",54,636289
"1.1.1.6","Enterobacter aerogenes",54,"636292, 636293, 636294"
"1.1.1.6","Escherichia coli",54,668061
"1.1.1.6","Schizosaccharomyces pombe",614,636283
"1.1.1.6","Pichia membranifaciens",16,636285
"1.1.1.6","Pichia membranifaciens",245,636285
"1.1.1.8","Spinacia oleracea",4,287351
"1.1.1.8","Spinacia oleracea",274,287351
"1.1.1.8","Spinacia oleracea",3464,287351
"1.1.1.8","Debaryomyces hansenii",105943,287353
"1.1.1.8","Spinacia oleracea",45,287351
"1.1.1.8","Oryctolagus cuniculus",21,287331
"1.1.1.8","Spinacia oleracea",2556,287351
"1.1.1.8","Homo sapiens",135,287360
"1.1.1.8","Oryctolagus cuniculus",31081,287331
"1.1.1.8","Dunaliella viridis",2,700780
"1.1.1.8","Rattus norvegicus",2,712122
"1.1.1.8","Spinacia oleracea",16,287351
"1.1.1.8","Oryctolagus cuniculus",35286,685237
"1.1.1.8","Spinacia oleracea",44701,287351
"1.1.1.8","Debaryomyces hansenii",12826,287353
"1.1.1.9","Cavia porcellus",153,246414
"1.1.1.9","Pachysolen tannophilus",153,246421
"1.1.1.9","Fusarium oxysporum",35,246425
"1.1.1.9","Candida tenuis",1589,246424
"1.1.1.9","Candida tenuis",115,246424
"1.1.1.9","Fusarium oxysporum",115,246425
"1.1.1.9","Saccharomyces cerevisiae",115,246428
"1.1.1.9","Fusarium oxysporum",135,246425
"1.1.1.9","Pachysolen tannophilus",72,246421
"1.1.1.9","Pachysolen tannophilus",142,246421
"1.1.1.9","Candida tenuis",206,246424
"1.1.1.9","Meyerozyma guilliermondii",1803,654318
"1.1.1.11","Gluconobacter oxydans",1786,701082
"1.1.1.14","Ovis aries",104054,285889
"1.1.1.14","Ovis aries",104073,285889
"1.1.1.14","Ovis aries",1214,285889
"1.1.1.14","Ovis aries",1228,285889
"1.1.1.14","Ovis aries",104417,285889
"1.1.1.14","Ovis aries",48461,285889
"1.1.1.14","Ovis aries",12292,285889
"1.1.1.14","Ovis aries",104612,285889
"1.1.1.14","Ovis aries",104613,285889
"1.1.1.14","Ovis aries",104614,285889
"1.1.1.14","Rattus norvegicus",153,285879
"1.1.1.14","Ovis aries",627,655289
"1.1.1.14","Pseudomonas sp.",45,285886
"1.1.1.14","Ovis aries",123217,655289
"1.1.1.14","Gluconobacter oxydans",2,"654867, 655022"
"1.1.1.14","Ovis aries",2348,285889
"1.1.1.14","Ovis aries",42,285889
"1.1.1.14","Ovis aries",3483,285889
"1.1.1.14","Ovis aries",124,285889
"1.1.1.14","Candida boidinii",382,285901
"1.1.1.14","Candida boidinii",447,285901
"1.1.1.14","Ovis aries",2987,285889
"1.1.1.14","Malus domestica",485,285874
"1.1.1.14","Rattus norvegicus",485,285879
"1.1.1.14","Pyrus pyrifolia",485,285899
"1.1.1.21","Homo sapiens",399,286221
"1.1.1.21","Homo sapiens",399,"286240, 286244"
"1.1.1.21","Oryctolagus cuniculus",399,286245
"1.1.1.21","Rattus norvegicus",399,286245
"1.1.1.21","Homo sapiens",399,286261
"1.1.1.21","Rattus norvegicus",399,286261
"1.1.1.21","Homo sapiens",3962,668222
"1.1.1.21","Candida tenuis",274,286260
"1.1.1.21","Cyberlindnera jadinii",115,286249
"1.1.1.21","Rattus norvegicus",177,669455
"1.1.1.21","Leishmania donovani",44,698094
"1.1.1.21","Rattus norvegicus",322,656836
"1.1.1.21","Homo sapiens",2,667420
"1.1.1.21","Homo sapiens",2,668868
"1.1.1.21","Rattus norvegicus",2,697266
"1.1.1.21","Homo sapiens",123219,655210
"1.1.1.21","Homo sapiens",733,286221
"1.1.1.21","Candida tenuis",733,286260
"1.1.1.21","Homo sapiens",733,286261
"1.1.1.21","Rattus norvegicus",733,286261
"1.1.1.21","Homo sapiens",42,286253
"1.1.1.21","Homo sapiens",5,655235
"1.1.1.21","Homo sapiens",1220,669455
"1.1.1.21","Homo sapiens",32,286221
"1.1.1.21","Homo sapiens",245,286241
"1.1.1.21","Bos taurus",245,286243
"1.1.1.21","Bos taurus",245,286246
"1.1.1.21","Meyerozyma guilliermondii",1803,654318
"1.1.1.21","Bos taurus",2986,286251
"1.1.1.21","Rattus norvegicus",1149,656165
"1.1.1.21","Rattus norvegicus",123218,656165
"1.1.1.21","Rattus norvegicus",160,669455
"1.1.1.21","Candida tenuis",16005,286260
"1.1.1.22","Oryctolagus cuniculus",745,690024
"1.1.1.22","Escherichia coli",7117,286293
"1.1.1.22","Escherichia coli",31021,286293
"1.1.1.22","Bos taurus",31021,286300
"1.1.1.22","Streptococcus equi subsp. zooepidemicus",114,698529
"1.1.1.22","Homo sapiens",2,286304
"1.1.1.22","Rattus norvegicus",2089,286296
"1.1.1.22","Streptococcus equi subsp. zooepidemicus",21331,698529
"1.1.1.22","Oryctolagus cuniculus",4704,690024
"1.1.1.22","Escherichia coli",5222,286293
"1.1.1.22","Cryptococcus laurentii",5222,286297
"1.1.1.23","Mycobacterium tuberculosis",21,721426
"1.1.1.24","Vigna radiata var. radiata",46451,286365
"1.1.1.24","Neurospora crassa",45,286356
"1.1.1.24","Vigna radiata var. radiata",1503,286365
"1.1.1.24","Vigna radiata var. radiata",51,286365
"1.1.1.25","Fragaria x ananassa",163595,704148
"1.1.1.25","Capsicum annuum",15,286398
"1.1.1.25","Capsicum annuum",6,286398
"1.1.1.25","Capsicum annuum",11,286398
"1.1.1.25","Capsicum annuum",54,286398
"1.1.1.25","Mycobacterium tuberculosis",1832,669163
"1.1.1.25","Fragaria x ananassa",12088,704148
"1.1.1.25","Mycobacterium tuberculosis",61,669163
"1.1.1.27","Solanum tuberosum",4088,286441
"1.1.1.27","Solanum tuberosum",194,286441
"1.1.1.27","Thermus caldophilus",5703,286443
"1.1.1.27","Bos taurus",13,685322
"1.1.1.27","Bacillus megaterium",106,678544
"1.1.1.27","Geobacillus stearothermophilus",106,678544
"1.1.1.27","Geobacillus stearothermophilus",106,684519
"1.1.1.27","Lactococcus lactis",106,686679
"1.1.1.27","Thermoanaerobacter ethanolicus",106,711181
"1.1.1.27","Geobacillus stearothermophilus",583,670748
"1.1.1.27","Actinomyces viscosus",295,286430
"1.1.1.27","Bacillus caldolyticus",295,286430
"1.1.1.27","Bacillus subtilis",295,286430
"1.1.1.27","Bifidobacterium bifidum",295,286430
"1.1.1.27","Butyrivibrio fibrisolvens",295,286430
"1.1.1.27","Enterococcus faecalis",295,286430
"1.1.1.27","Enterococcus faecium",295,286430
"1.1.1.27","Lactobacillus acidophilus",295,286430
"1.1.1.27","Lactobacillus brevis",295,286430
"1.1.1.27","Lactobacillus buchneri",295,286430
"1.1.1.27","Lactobacillus casei",295,286430
"1.1.1.27","Lactobacillus dextrinicus",295,286430
"1.1.1.27","Lactobacillus fermentum",295,286430
"1.1.1.27","Lactobacillus helveticus",295,286430
"1.1.1.27","Lactobacillus mesenteroides",295,286430
