"EC_number","LigandID","Commentary"
"1.1.1.6",1058,"about 100% activation at 10 mM"
"1.1.1.6",39,"activates NADH production"
"1.1.1.6",54,"activates NADH production"
"1.1.1.22",7117,"can replace NAD+"
"1.1.1.22",31021,"can replace NAD+"
"1.1.1.22",5222,"can replace NAD+"
"1.1.1.37",2,"Escherichia coli proteome response to a heatshock stress causes a 1.6-fold increase of malate dehydrogenase, even under the heat-shock condition, whereas the total number of soluble proteins decreases by about 5%"
"1.1.1.38",221,"0.5 mM, 2.7fold increase in oxaloacetate reduction activity"
"1.1.1.38",724,""
"1.1.1.38",49,"1 mM, 8.9fold increase in oxaloacetate reduction activity"
"1.1.1.38",43,"0.02 mM, 2.5fold increase in oxaloacetate reduction activity"
"1.1.1.49",148,"activation constant: 0.2 mM"
"1.1.1.57",63,""
"1.1.1.57",21,""
"1.1.1.78",63,"slight activation"
"1.1.1.78",45,"slight activation"
"1.1.1.78",44,"slight activation"
"1.1.1.159",63,"activation"
"1.1.1.159",45,"activation"
"1.1.1.169",105617,"activation of enzyme from K176C mutant"
"1.1.1.169",701,"activation of enzyme from K176A mutant"
"1.1.1.169",120,"E256A mutant activity greatly increased, twice as high at pH 7.2 as at pH 5.9"
"1.1.1.169",324,"activation of enzyme from K176A mutant"
"1.1.1.169",1419,"activation of enzyme from K176A mutant"
"1.1.1.202",135,""
"1.1.1.205",44,""
"1.1.1.336",45,"2 mM, maximum activation"
"1.1.1.336",2,"the presence of SH compounds is required for activity"
"1.1.1.336",3651,"activation at low UDP-N-acetylmannosamine concentrations"
"1.1.5.3",2435,"detergent-depleted enzyme requires exogenous phospholipid or nondenaturing detergent for activity"
"1.1.5.3",20,"stimulates the reaction with phenazine methosulfate and methylene blue. 20% increase in activity of the reaction with phenazine methosulfate with a half-maximal concentration of 200 nM"
"1.1.5.3",56,"stimulates the reaction with phenazine methosulfate. 6fold increase in activity with a half-maximal concentration of 0.13 mM"
"1.1.5.3",650,"detergent-depleted enzyme requires exogenous phospholipid or nondenaturing detergent for activity"
"1.2.1.3",63,"27% increased activity at 1 mM"
"1.2.1.3",45,"75% increased activity at 1 mM"
"1.2.1.4",69,"0.5-2% increases activity in crude extracts"
"1.2.1.B6",63,"1 mM, activity increases by 27%"
"1.2.1.B6",45,"1 mM, activity increases by 75%"
"1.2.1.10",63,"reduces lag phase before attainment of steady state rate in conjunction with NAD+"
"1.2.1.10",91545,"NAD+ analogue, activates by binding strongly to activator site, binds weakly to catalytic site"
"1.2.1.10",45,"does require dithiothreitol for optimum activity"
"1.2.1.10",7,"reduces lag phase before attainment of steady state rate in conjunction with 2-mercaptoethanol"
"1.2.1.10",6645,"requirement for reduced form"
"1.2.1.16",6447,"induction"
"1.2.1.16",5152,"induces GabD dehydrogenase"
"1.2.1.21",608,"approx. 0.1 mM, 1.4fold increase in activity of isozyme A"
"1.2.1.21",32,"approx. 0.1 mM, 1.5fold increase in activity of isozyme B"
"1.2.1.21",1051,"0.1 mM, 1.5fold increase in activity of isozyme B"
"1.2.1.22",153,""
"1.2.1.22",44,""
"1.2.1.24",2,"gene yneI is responsible for NAD+/NADP+-SSADH activity. The gene is induced by succinate semialdehyde"
"1.2.1.72",2,"the enzyme requires the presence of a reducing agent, such as DTT or 2-mercaptoethanol, to maintain activity"
"1.2.2.1",2,"FdhE binds to the molybdoprotein subunits (FdnG and FdoG) of the respiratory formate dehydrogenase"
"1.2.4.2",13,""
"1.2.4.2",16,""
"1.2.5.1",156169,"119% of the activitation with palmitic acid"
"1.2.5.1",5674,"122% of the activitation with palmitic acid"
"1.2.5.1",959,"126% of the activitation with palmitic acid"
"1.2.5.1",959,"activation by covalent attachment, binding site Lys544"
"1.2.5.1",1929,"the hydrophobic moieties of lecithin activate pyruvate oxidase whereas the hydrophilic portions of the molecule have no stimulatory effect"
"1.2.5.1",428,"116% of the activitation with palmitic acid"
"1.2.5.1",35229,"113% of the activitation with palmitic acid"
"1.2.5.1",1413,"126% of the activitation with palmitic acid"
"1.2.5.1",3114,"enzyme is activated by lipids, high affinity binding site"
"1.2.5.1",3685,"highest stimulating activity among the phospholipid extracted from cell membranes tested, if the phospholipids are added directly to the assay mixtures. When water-soluble micellar preparations are substituted for direct addition of the phospholipid to the assay, all the phosphatides demonstrate higher specific activities for stimulating pyruvate oxidase, and the differences in their stimulating capacity are minimized"
"1.2.5.1",2,"the enzyme activity is stimulated 20- to 50fold, if the enzyme is removed from the membrane particulate fraction of the cell by incubation with a wide variety of amphiphiles"
"1.2.5.1",2,"stimlating effect of phopholipids, if added directly to the assay mixtures. When water-soluble micellar preparations are substituted for direct addition of the phospholipid to the assay, all the phosphatides demonstrate higher specific activities for stimulating pyruvate oxidase. The differences originally noted in the activating capacities of the various cell envelope phospholipids are minimized. The Km values for the cell envelope phospholipids, synthetic phosphatidylethanolamine, lecithin, and lysolecithin range from 0.9 to 2.2 microM. The Km value for phosphatidylserine is 6.5 microM. The diacylphospholipids exhibit normal Michaelis-Menten kinetics. Lysophosphatides demonstrate considerable divergence from normal Michaelis-Menten kinetics"
"1.2.5.1",876,"109% of the activitation with palmitic acid"
"1.2.5.1",156168,"42% of the activitation with palmitic acid"
"1.2.5.1",380,""
"1.2.5.1",380,"102% of the activitation with palmitic acid"
"1.2.5.1",535,""
"1.2.5.1",535,"activation"
"1.2.5.1",2281,"137% of the activitation with palmitic acid"
"1.2.5.1",156170,"103% of the activitation with palmitic acid"
"1.3.1.9",49,"stimulation"
"1.3.1.12",92274,""
