reaction,galactose,acetate,pyruvate,fumarate,succinate,glucosamine,glycerol,mannose,xylose,glucose,fructose
DM_4CRSOL,1.61055555555556E-08,1.85833333333333E-08,2.47777777777778E-08,0.000000026,2.72555555555556E-08,2.84944444444444E-08,2.91138888888889E-08,2.91138888888889E-08,3.40694444444444E-08,3.59277777777778E-08,4.02638888888889E-08
DM_5DRIB,1.625E-08,1.875E-08,0.000000025,2.625E-08,2.75E-08,2.875E-08,2.9375E-08,2.9375E-08,3.4375E-08,3.625E-08,4.0625E-08
DM_AACALD,0,0,0,0,0,0,0,0,0,0,0
DM_AMOB,1.44444444444444E-10,1.66666666666667E-10,2.22222222222222E-10,2.33333333333333E-10,2.44444444444444E-10,2.55555555555556E-10,2.61111111111111E-10,2.61111111111111E-10,3.05555555555556E-10,3.22222222222222E-10,3.61111111111111E-10
DM_MTHTHF,3.23555555555555E-08,3.73333333333333E-08,4.97777777777778E-08,5.22666666666667E-08,5.47555555555556E-08,5.72444444444445E-08,5.84888888888889E-08,5.84888888888889E-08,6.84444444444444E-08,7.21777777777778E-08,8.08888888888889E-08
DM_OXAM,0,0,0,0,0,0,0,0,0,0,0
Ec_biomass_iJO1366_WT_53p95M,0,0,0,0,0,0,0,0,0,0,0
Ec_biomass_iJO1366_core_53p95M,7.22222222222222E-05,8.33333333333333E-05,0.0001111111,0.0001166667,0.0001222222,0.0001277778,0.0001305556,0.0001305556,0.0001527778,0.0001611111,0.0001805556
EX_12ppd_R_e,0,0,0,0,0,0,0,0,0,0,0
EX_12ppd_S_e,0,0,0,0,0,0,0,0,0,0,0
EX_14glucan_e,0,0,0,0,0,0,0,0,0,0,0
EX_15dap_e,0,0,0,0,0,0,0,0,0,0,0
EX_23camp_e,0,0,0,0,0,0,0,0,0,0,0
EX_23ccmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_23cgmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_23cump_e,0,0,0,0,0,0,0,0,0,0,0
EX_23dappa_e,0,0,0,0,0,0,0,0,0,0,0
EX_26dap_M_e,0,0,0,0,0,0,0,0,0,0,0
EX_2ddglcn_e,0,0,0,0,0,0,0,0,0,0,0
EX_34dhpac_e,0,0,0,0,0,0,0,0,0,0,0
EX_3amp_e,0,0,0,0,0,0,0,0,0,0,0
EX_3cmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_3gmp_e,0,0,0,0,0,0,0,0,0,0,0
EX_3hcinnm_e,0,0,0,0,0,0,0,0,0,0,0
EX_3hpp_e,0,0,0,0,0,0,0,0,0,0,0
EX_3hpppn_e,0,0,0,0,0,0,0,0,0,0,0
EX_3ump_e,0,0,0,0,0,0,0,0,0,0,0
EX_4abut_e,0,0,0,0,0,0,0,0,0,0,0
EX_4hoxpacd_e,0,0,0,0,0,0,0,0,0,0,0
EX_5dglcn_e,0,0,0,0,0,0,0,0,0,0,0
EX_5mtr_e,0,0,0,0,0,0,0,0,0,0,0
EX_LalaDglu_e,0,0,0,0,0,0,0,0,0,0,0
EX_LalaDgluMdap_e,0,0,0,0,0,0,0,0,0,0,0
EX_LalaDgluMdapDala_e,0,0,0,0,0,0,0,0,0,0,0
EX_LalaLglu_e,0,0,0,0,0,0,0,0,0,0,0
EX_ac_e,4.20749333333334E-05,0.000048548,6.47306666666667E-05,0.0011946884,7.12037333333333E-05,7.44402666666665E-05,7.60585333333333E-05,7.60585333333334E-05,8.90046666666669E-05,9.38594666666666E-05,0.0001051873
EX_acac_e,0,0,0,0,0,0,0,0,0,0,0
EX_acald_e,0,0,0,0,0,0,0,0,0,0,0
EX_acgal_e,0,0,0,0,0,0,0,0,0,0,0
EX_acgal1p_e,0,0,0,0,0,0,0,0,0,0,0
EX_acgam_e,0,0,0,0,0,0,0,0,0,0,0
EX_acgam1p_e,0,0,0,0,0,0,0,0,0,0,0
EX_acmana_e,0,0,0,0,0,0,0,0,0,0,0
EX_acmum_e,0,0,0,0,0,0,0,0,0,0,0
EX_acnam_e,0,0,0,0,0,0,0,0,0,0,0
EX_acolipa_e,0,0,0,0,0,0,0,0,0,0,0
EX_acser_e,0,0,0,0,0,0,0,0,0,0,0
EX_ade_e,0,0,0,0,0,0,0,0,0,0,0
EX_adn_e,0,0,0,0,0,0,0,0,0,0,0
EX_adocbl_e,0,0,0,0,0,0,0,0,0,0,0
EX_ag_e,0,0,0,0,0,0,0,0,0,0,0
EX_agm_e,0,0,0,0,0,0,0,0,0,0,0
EX_akg_e,0,0,0,0,0,0,0,0,0,0,0
