bigg.metabolite,Metabolite name (full),Acetate (mean),Fructose (mean),Galactose (mean),Glucose (mean),Glycerol (mean),Gluconate (mean),Pyruvate (mean),Succinate (mean),,Acetate (std),Fructose (std),Galactose (std),Glucose (std),Glycerol (std),Gluconate (std),Pyruvate (std),Succinate (std)
adp_c,Adenosine diphosphate,0.8905,1.3807,0.787,1.3906,0.8456,0.8482,0.9876,1.3452,,0.0207,0.1289,0.0183,0.017,0.0064,0.0377,0.0429,0.043
amp_c,Adenosine monophosphate,0.7179,1.1019,0.5657,1.1091,0.6928,0.6703,0.7719,1.0864,,0.0558,0.1012,0.019,0.0566,0.0125,0.0083,0.0141,0.0459
atp_c,Adenosine triphosphate,5.1628,7.4558,4.0886,7.933,4.7673,4.6411,5.776,7.7226,,0.2125,0.6256,0.0741,0.1555,0.2336,0.0805,0.1741,0.1415
glu_c,L-Glutamate,50.8032,85.8333,33.1123,70.4984,61.249,59.2527,68.3576,104.3242,,1.8672,5.9292,6.836,1.1206,2.1003,1.7777,1.191,2.938
gln_c,L-Glutamine,5.1278,5.8731,1.9797,5.5883,4.3365,4.9663,7.0154,9.5686,,0.3951,0.4601,0.0839,0.0566,0.0996,0.1725,0.426,0.825
asn_c,Asparagine,0.6229,0.9448,0.453,0.8623,0.6616,0.6163,1.0312,0.7682,,0.0494,0.0942,0.0466,0.0217,0.2156,0.0393,0.1629,0.0311
asp_c,Aspartate,3.6013,3.4762,1.5042,3.2152,3.0285,2.7711,2.6919,5.0537,,0.1202,0.366,0.0709,0.136,1.381,0.1388,0.263,0.2658
tyr_c,Tyrosine,0.2358,0.1281,0.1583,0.1924,0.4085,0.133,0.3767,0.2419,,0.0331,0.0189,0.0119,0.0078,0.3948,0.0107,0.037,0.027
arg_c,Arginine,34.8578,12.6901,2.2169,5.9819,5.9684,4.1525,17.4026,8.2306,,8.3157,1.639,0.3898,1.2704,0.6638,1.0858,5.8632,2.0347
ade_c,Adenine,0.0155,0.0129,0.0129,0.0311,0.0156,0.0372,0.0248,0.0189,,0.0008,0.0014,0.0006,0.0112,0.001,0.0063,0.0029,0.0009
phe_c,Phenyalanine,0.1469,0.1652,0.1035,0.2533,0.1975,0.16,0.1874,0.2268,,0.028,0.0288,0.02,0.0198,0.0073,0.0222,0.013,0.03
gdp_c,Guanosine-5'-diphosphate,0.3789,0.6848,0.3386,0.7672,0.4333,0.4601,0.4258,0.7082,,0.0213,0.0597,0.0135,0.0076,0.0131,0.0339,0.0252,0.0152
gmp_c,Guanosine-5'-monophosphate,0.0985,0.092,0.1813,0.3982,0.1513,0.1331,0.0564,0.259,,0.0371,0.0283,0.0274,0.1179,0.0116,0.0534,0.0133,0.0726
gtp_c,Guanosine-5'-triphosphate,1.7021,3.252,1.4481,3.1469,2.0286,2.1609,1.898,3.2025,,0.1116,0.3731,0.1461,0.1585,0.0188,0.0889,0.0466,0.1297
nad_c,Nicotinamide-adenine-dinucleotide,7.3239,3.8799,5.15,4.8595,4.3957,4.2087,6.7505,7.1662,,0.166,0.3715,0.3306,0.2825,0.2637,0.1164,0.1868,0.4618
