Commentary,EC_number,KEGG_ID,KI_Value,LigandID,Literature,Mechanism,Mode,Name,Organism,Source,bigg.metabolite,chebiID,bigg.reaction
,1.1.1.6,C00238,,39,668061,,+,Potassium cation,Escherichia coli,BRENDA,k,CHEBI:29103,glycdx
,1.1.1.49,C00315,,148,722577,,+,Spermidine,Escherichia coli,BRENDA,spmd,CHEBI:16610,g6pdh2r
,1.1.1.169,C00058,,120,286109,,+,Formate,Escherichia coli,BRENDA,for,CHEBI:30751,dpr
,1.1.1.336,C04501,,3651,720374,,+,N-Acetyl-alpha-D-glucosamine 1-phosphate,Escherichia coli,BRENDA,acgam1p,CHEBI:16446,uacmamo
,1.2.1.10,C00003,,7,390164,,+,NAD+,Escherichia coli,BRENDA,nad,CHEBI:15846,acald
,1.2.1.21,C00250,,608,390214,,+,Pyridoxal,Escherichia coli,BRENDA,pydx,CHEBI:17310,gcaldd
,1.2.1.21,C00018,,32,390214,,+,Pyridoxal phosphate,Escherichia coli,BRENDA,pydx5p,CHEBI:18405,gcaldd
,1.2.1.21,C00314,,1051,390214,,+,Pyridoxine,Escherichia coli,BRENDA,pydxn,CHEBI:16709,gcaldd
,1.2.1.22,,,153,288135,,+,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,lcadi
,1.4.1.4,C00020,,30,391685,,+,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
,1.4.1.4,C00002,,4,391685,,+,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
,1.4.1.4,C00075,,65,391675,,+,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,gludy
,1.4.3.16,C00049,,97,391760,,+,L-Aspartate,Escherichia coli,BRENDA,asp__l,CHEBI:17053,aspo6
,1.6.1.1,C00008,,13,725040,,+,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
,1.6.1.1,C00020,,30,725040,,+,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
