,NumRef,Refs
ump-->cbps,22,1725;1729;1731;1746;1751;649457;649877;649886;649895;650020;650798;650927;651292;651471;651882;651901;651937;652334;652351;652788;652823;693247
orn-->cbps,19,1725;1729;1731;649457;649877;649886;649895;650020;650798;650927;651292;651471;651882;651937;652334;652351;652788;652823;693247
ctp-->aspct,13,485837;485838;485839;485840;485841;485842;662646;685252;699559;699578;718458;718936;718943
ser__l-->pgcd,12,287525;287530;287546;287547;287548;287551;656083;663605;667649;687564;711203;724307
fdp-->glgc,12,643127;643141;643144;643146;643150;643152;643161;643164;661743;663026;671752;674737
uri-->cytd,12,209641;209644;209645;209646;209648;209655;209656;209660;209661;209665;209668;209669
amp-->glgc,10,643126;643127;643141;643148;643150;643152;643161;643164;661743;663026
phe__l-->ddpa,9,639746;639750;639753;639768;639771;639775;639776;639796;659071
fdp-->glyk,9,641287;641294;641295;641309;641311;641326;661122;701931;722712
imp-->cbps,9,649457;649877;649895;650020;650927;651882;652334;652788;652823
utp-->aspct,9,485837;485839;485840;485842;662646;685252;699559;718936;718943
acgam6p-->g6pda,8,648215;648220;648226;648237;648238;648240;648243;712289
val__l-->achbs,8,395884;395885;395887;395900;671290;672368;675377;700782
zn2-->a5piso,8,2624;652445;660993;662042;671856;701812;714743;715380
datp-->rndr1,7,437913;437937;437938;437939;437976;714184;716317
cys__l-->serat,7,486752;486756;486757;486777;657835;659391;676935
atp-->rndr1,7,437913;437918;437937;437938;687294;714233;716317
amet-->obtfl,7,14936;487218;487219;487221;487222;487230;487239
ile__l-->serd_l,6,210840;210856;210857;210863;653575;729066
pi-->glgc,6,643126;643127;643141;643144;643161;643164
f6p-->glgc,6,643131;643141;643144;643152;643161;643164
ala__l-->trpas2,6,37334;37339;37344;37354;37364;651028
gtp-->ctps2,6,648962;648963;661241;674909;690817;702613
cu2-->csnd,6,209489;209493;209497;209503;209507;209508
amp-->fbp,6,170730;650375;665621;680756;680799;680855
8aonn-->amaotr,5,637090;637092;637094;637095;661047
tyr__l-->ddpa,5,639746;639747;639750;639753;639777
cd2-->a5piso,5,2624;652445;660993;671856;715380
thr__l-->aspk,5,642310;642311;642314;654640;722849
atp-->aspct,5,485838;662646;685252;699559;699578
dad_2-->cytd,5,209644;209655;209658;209660;209661
gmp-->impd,5,347909;347938;347939;347941;347946
cyan-->sulri,5,348059;392958;392964;392967;392968
dttp-->rndr1,5,437913;437918;437937;437938;437976
mg2-->uagpt3,5,488971;488973;488974;488976;488978
ppi-->gtpcii2,5,209545;246729;246730;246732;656006
pep-->fbp,4,170730;651666;665719;680756
hg2-->csnd,4,209489;209497;209507;209508
phe__l-->chorm,4,3535;3543;3564;3574
fdp-->gnd,4,286851;286861;286882;286904
his__l-->atpprt,4,637662;637667;637668;637674
3pg-->glgc,4,643114;643141;643144;643164
dgtp-->rndr1,4,437913;437918;437937;437976
coa-->pntk,4,641393;662251;671053;686816
leu__l-->achbs,4,395882;395884;395900;700782
pydx5p-->pdx5poi,4,391903;391904;654870;724427
uacgam-->uag2e,4,2264;2265;2268;661247
duri-->cytd,4,209644;209655;209658;209660
hg2-->a5piso,4,652445;660993;671856;715380
uama-->glur,4,2102;2111;2113;2115
nadh-->cs,4,488040;488069;488085;659254
pyr-->admdc,4,4660;4662;4668;4672
pep-->pfk,4,640421;640463;640486;722736
lys__l-->aspk,4,642314;642317;680701;722849
ade-->ahcysns,4,171851;171854;171857;171859
pi-->ampn,4,171815;171827;171829;657368
pyr-->psd120,4,4780;4783;4785;4790
adp-->glgc,4,643141;643144;643161;643164
nadph-->gnd,3,286851;286882;286904
atp-->manao,3,287131;287132;287133
hg2-->pants,3,977;978;979
pi-->gtpci,3,209545;209546;209549
thr__l-->hsk,3,641465;641470;641471
