bigg.metabolite,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
6pgc,0.194968553459,0.458128078818,0.200431034483,0.0879848628193,0.313131313131,0.404347826087,0.335740072202,0.497326203209,0.519553072626,0.415178571429,0.3875,0.370517928287,0.31
acon_c,0.87628557867,0.83481351725,0.850259312069,0.83481351725,0.814030688995,0.827588332445,0.850259312069,0.842363047919,0.814030688995,0.820666992626,0.629539867345,0.858526806219,0.850259312069
adp,0.174553186908,0.172883573054,0.18088654905,0.18225489732,0.177336394842,0.155421310871,0.185292092043,0.19504532605,0.209166938387,0.20185848814,0.188432578392,0.198802724056,0.194258639911
akg,0.782528279015,0.73345906747,0.863918071209,0.732325441032,0.739180415162,0.786426412994,0.801737343296,0.754483636117,0.614593297465,0.677857808646,0.803097051351,0.634324224638,0.756894576316
atp,0.120724346076,0.122116689281,0.119521912351,0.126671358198,0.120967741935,0.102915951973,0.123966942149,0.140734949179,0.144115292234,0.13856812933,0.128388017118,0.133928571429,0.127118644068
cit,0.875708310023,0.829544697953,0.907292504201,0.854140760408,0.859070730382,0.893226355508,0.914258969371,0.873139694444,0.859277381122,0.892556789643,0.631884317378,0.88328717382,0.871010664021
dhap,0.39244879302,0.382021484582,0.510377836887,0.324399956607,0.375140591094,0.321468256421,0.418574521859,0.206816402082,0.733988113184,0.66832328219,0.534881069739,0.488432682118,0.420616987281
f6p,0.648989161797,0.620898054746,,0.63497534809,0.657698502801,0.560007527613,0.412682003253,0.678176289531,0.670444856741,0.566479576158,0.608059668126,0.494976716872,0.619589860304
fdp,0.11237668727,0.136739223101,0.234290442019,0.132187158266,0.121775917091,0.105267296559,0.170333674401,0.104888117452,0.841127367493,0.67013606743,0.539716531351,0.471289908354,0.134115100129
fum,0.497389250535,0.510239786559,0.825528002091,0.45549256513,0.600651420774,0.632430522647,0.761837499118,0.635083218177,0.291130863731,0.567625152183,0.446976436466,,0.545799490082
g6p,0.531598171336,0.690201296625,,0.612402779553,0.648698759574,0.618897527221,0.585533530561,0.643101164222,0.62000740626,0.562563182587,0.584649430465,0.5154935626,0.647363554979
gdp,0.386740331492,0.553797468354,0.528700906344,0.480769230769,0.421686746988,0.373134328358,0.495750708215,0.632911392405,0.473612990528,0.502152080344,0.48275862069,0.610820244328,0.502873563218
glyc3p,0.541037615428,0.501977695641,0.537755105028,0.542693989009,0.528930776865,0.490862848272,0.541864532669,0.0709047144004,0.566999414558,0.591609920807,0.543525996196,0.566999414558,0.545197710467
gmp,0.912280701754,0.928571428571,0.890410958904,0.928571428571,0.905923344948,0.921985815603,0.918727915194,0.931899641577,0.893470790378,0.945454545455,0.925266903915,0.931899641577,0.925266903915
gtp,0.286753457988,0.292158880045,0.325888108303,0.269099200137,0.311291738622,0.281381266413,0.361579801453,0.343410438778,0.39120406625,0.424698217874,0.398063565519,0.322381504126,0.331066221605
imp,0.017115126007,0.0188324665842,0.0201201776269,0.0192714708652,0.0190285605089,0.0153113266776,0.0220775404095,0.0254424227651,0.0255735961435,0.0233232488806,0.0218551977439,0.0186804874153,0.0206834921271
mal__l,0.547138047138,0.569426193605,0.828025477707,0.511508951407,0.645962732919,0.680806493847,0.762239812372,0.644361833953,0.658227848101,0.743281875357,0.471441523119,0.200092350316,0.586642599278
pep,0.551211025272,0.418736700973,0.234536007717,0.339713368721,0.536620300568,0.489204465836,0.25184912629,0.211886449572,0.160452619567,0.169287467434,0.136579272784,0.0757288877016,0.618617900797
pnto__r,0.57736855874,0.605817156284,0.401428629565,0.55984212294,0.697459322681,0.615933422451,0.492558303773,0.513114270273,0.535460684512,0.499224816608,0.461729266634,0.520352910459,0.605817156284
r1p,0.938310170018,0.958007051459,0.867027516564,0.919409409871,0.938310170018,0.938310170018,0.919409409871,0.90125731848,0.850872057406,0.938310170018,0.919409409871,0.938310170018,0.938310170018
ru5p__d,0.512107793351,0.802254641533,0.635610709275,0.37924978564,0.618198916824,0.63898519277,0.701013704376,0.760037270068,0.928034214101,0.851440943312,0.793440085681,0.744368781911,0.633380784879
s7p,0.907258064516,0.977198697068,0.910931174089,0.856327307326,0.920245398773,0.894632206759,0.901803607214,0.97192224622,0.953389830508,0.912778904665,0.927835051546,0.9,0.927835051546
succ,0.384569348908,0.324504337051,0.562691131498,0.365387136571,0.413758989964,0.451409904298,0.499414496265,0.42541939179,0.444973842977,0.510848156296,0.36312624386,,0.368667461231
xu5p__d,0.503144654088,0.820512820513,0.642570281124,0.345572354212,0.625,0.65306122449,0.714285714286,0.804020100503,0.94674556213,0.851063829787,0.772946859903,0.740740740741,0.586080586081
