bigg.metabolite,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
adp,-0.668650793651,-0.67125984252,-0.658835546476,-0.656731757451,-0.66432160804,-0.699099099099,-0.652083333333,-0.637350705755,-0.61653272101,-0.627232142857,-0.647307286167,-0.631753031974,-0.638528138528
akg,-0.214323016798,-0.262364635526,-0.134459957624,-0.263473985283,-0.256765535886,-0.210503947625,-0.195498790616,-0.241786645021,-0.378684837804,-0.316764366712,-0.194165843392,-0.359365618528,-0.239426393175
atp,-0.387281679037,-0.38479067179,-0.389456033091,-0.376835642817,-0.386844169281,-0.421912187263,-0.381523887408,-0.353975571377,-0.348827532068,-0.357342433082,-0.37391150208,-0.364735414002,-0.376069925595
dhap,-0.877126654064,-0.881818181818,-0.815078236131,-0.905865314989,-0.884853852967,-0.907010014306,-0.864864864865,-0.946764946765,-0.623188405797,-0.694117647059,-0.79969183359,-0.828042328042,-0.86387434555
fdp,-0.459267265901,-0.420607740467,-0.309370477817,-0.42734505889,-0.443552371542,-0.471945989117,-0.376166101273,-0.472643361998,-0.0336472116367,-0.0803300196745,-0.126713895179,-0.156370036075,-0.424467230223
fum,-0.0797013370377,-0.0760111576011,-0.0177909562639,-0.092931713161,-0.0539093181007,-0.0474478792236,-0.0260933480338,-0.0469340046754,-0.172650640025,-0.061282323769,-0.0958717161378,,-0.0665727368792
gdp,-0.987544483986,-0.975778546713,-0.978056426332,-0.981818181818,-0.985626283368,-0.988235294118,-0.980716253444,-0.966666666667,-0.982323232323,-0.980225988701,-0.98167539267,-0.969565217391,-0.980169971671
glyc3p,-0.985545335085,-0.987619583568,-0.985732814527,-0.98544973545,-0.986224170319,-0.988152934841,-0.985497692815,-0.999055875032,-0.983965014577,-0.982286634461,-0.985401459854,-0.983965014577,-0.985303941216
gmp,-0.142048874443,-0.117857142857,-0.173231153092,-0.117857142857,-0.151260504202,-0.12774122807,-0.132577903683,-0.112806215958,-0.168952548251,-0.0918325883787,-0.122834883897,-0.112806215958,-0.122834883897
gtp,-0.857164267415,-0.853842005903,-0.832473864649,-0.867825102259,-0.84185794503,-0.8604389098,-0.80860738095,-0.820923516596,-0.787753951902,-0.762960037592,-0.78278386866,-0.834747719274,-0.829093356148
imp,-0.176688408999,-0.162967048013,-0.153973580619,-0.159787982989,-0.161531884498,-0.193762739069,-0.14202074855,-0.125218855722,-0.12464195397,-0.135313670801,-0.143286507629,-0.164096606127,-0.150337387268
mal__l,-0.0390194371918,-0.0357675654041,-0.0100859170713,-0.0447524466954,-0.026182820395,-0.0224828934506,-0.0150712679564,-0.0263617158078,-0.0248390064397,-0.0166611005974,-0.0521327014218,-0.163958734265,-0.0334111467756
pep,-0.13135425015,-0.205863666313,-0.380470189898,-0.266945958547,-0.138284251739,-0.162775120507,-0.358389558557,-0.411950532568,-0.496865836356,-0.480740698408,-0.544275446979,-0.698018778127,-0.102482561126
succ,-0.0874311730712,-0.110311489545,-0.0442708503032,-0.0940936678709,-0.0782562756896,-0.0678776376078,-0.0565789452041,-0.0748799879184,-0.0695480948682,-0.0541579616372,-0.094915536896,,-0.0929153964155
