bigg.metabolite,count(EC)
atp,32
amp,20
adp,19
nadph,13
pyr,13
cys__L,12
pi,12
nh3,12
spmd,11
gtp,11
cit,9
ppi,8
pep,8
sprm,8
amet,7
succ,7
nadp,7
ahcys,6
pydx5p,6
ctp,6
glu__L,6
met__L,6
ac,5
mg2,5
dmso,5
nad,5
k,5
asp__L,5
itp,5
gdp,5
nadh,5
ser__L,5
fdp_B,5
akg,5
coa,4
datp,4
ala__L,4
hpyr,4
hom__L,4
dgtp,4
dctp,4
gln__L,4
ade,4
orn,4
gmp,4
hco3,4
glx,4
male,4
adn,4
val__L,4
ump,4
2obut,4
pydxn,3
gly,3
cyan,3
h2o2,3
oxa,3
fum,3
for,3
etoh,3
pmtcoa,3
dna,3
cl,3
imp,3
ile__L,3
accoa,3
utp,3
ca2,3
2pglyc,3
thr__L,3
fmn,2
etha,2
N1sprm,2
lys__D,2
4mop,2
fad,2
mal__L,2
fdxrd,2
phe__L,2
acald,2
4hbz,2
dttp,2
udp,2
g6p,2
malon,2
gam,2
3pg,2
gcald,2
meoh,2
vanlt,2
23dappa,2
4hbald,2
glyc,2
hcys__L,2
so4,2
glyc1p,2
oaa,2
camp,2
cobalt2,2
bzal,2
btn,2
ppa,2
asn__L,2
ptrc,2
aso3,2
his__L,2
leu__L,2
ocdcea,2
dgmp,2
hdca,2
mma,2
pser__D,2
pac,1
mndn,1
na1,1
pa160,1
nmn,1
oxam,1
ni2,1
o2,1
orot,1
no2,1
ocdca,1
occoa,1
14dhncoa,1
pacald,1
tyr__L,1
taxol,1
tdcoa,1
tega,1
thmpp,1
trdrd,1
trp__L,1
ttdca,1
tungs,1
uacgam,1
ser__D,1
uama,1
udpg,1
urea,1
uri,1
xan,1
xmp,1
xtp,1
xylt,1
sucsal,1
sbt__D,1
pad,1
ppgpp,1
pan4p,1
pdx5p,1
peng,1
pg160,1
pg180,1
pheme,1
phenol,1
pnto__R,1
ppt,1
sbt6p,1
pro__L,1
prpp,1
pser__L,1
ptth,1
pydx,1
r15bp,1
s17bp,1
sarcs,1
mn2,1
gthox,1
mm,1
asp__D,1
adpglc,1
adprib,1
ala__D,1
alaala,1
apoACP,1
aps,1
arg__L,1
aso4,1
but,1
acglu,1
catechol,1
cbl1,1
chol,1
cholp,1
cm,1
co,1
cynt,1
cyst__L,1
acser,1
acgam6p,1
dcacoa,1
35cgmp,1
1pyr5c,1
24dab,1
26dap__M,1
2a3pp,1
2ddg6p,1
2dr5p,1
2hyoxplac,1
2plac__L,1
3mbald,1
acgam1p,1
4abut,1
4abz,1
4ahmmp,1
4hthr,1
5mta,1
5oxpro,1
8aonn,1
Stmyn,1
cytd,1
dcdp,1
mlthf,1
inost,1
15dap,1
guln__L,1
h2s,1
hdcea,1
histd,1
i,1
icit,1
indole,1
ins,1
glyclt,1
lac__D,1
lac__L,1
lipa,1
lipoate,1
lys__L,1
mal__D,1
methf,1
metsox_S__L,1
gsn,1
glyb,1
ddca,1
f1p,1
ddcacoa,1
dhap,1
dhbpt,1
dmgly,1
dpcoa,1
dtdpglu,1
dtmp,1
elaid,1
f6p,1
glyald,1
fadh2,1
flxr,1
g3p,1
gal,1
gam6p,1
glc__D,1
glu5sa,1
glutar,1
zn2,1
