,EC_number,bigg.metabolite,KM_Value,growth condition,concentration,saturation,met:EC
0,1.1.1.136,nad,4.16,Acetate,7.3239,0.63775372478,nad:1.1.1.136
1,1.1.1.154,nad,0.56,Acetate,7.3239,0.928969165007,nad:1.1.1.154
2,1.1.1.17,nad,0.2,Acetate,7.3239,0.973418041175,nad:1.1.1.17
3,1.1.1.205,nad,2.0,Acetate,7.3239,0.785497484958,nad:1.1.1.205
4,1.1.1.282,nad,0.0122,Acetate,7.3239,0.998336991044,nad:1.1.1.282
5,1.1.1.305,nad,0.57,Acetate,7.3239,0.927792345989,nad:1.1.1.305
6,1.1.1.336,nad,0.21,Acetate,7.3239,0.972125990523,nad:1.1.1.336
7,1.1.1.350,nad,0.56,Acetate,7.3239,0.928969165007,nad:1.1.1.350
8,1.1.1.37,nad,0.26,Acetate,7.3239,0.965716847532,nad:1.1.1.37
9,1.1.1.38,nad,0.063,Acetate,7.3239,0.991471388539,nad:1.1.1.38
10,1.1.1.41,nad,4.7,Acetate,7.3239,0.609111852228,nad:1.1.1.41
11,1.1.1.49,nad,1.67,Acetate,7.3239,0.814318593714,nad:1.1.1.49
12,1.1.1.6,nad,0.0165,Acetate,7.3239,0.997752166094,nad:1.1.1.6
13,1.1.1.75,nad,0.05,Acetate,7.3239,0.993219327629,nad:1.1.1.75
14,1.1.1.85,nad,0.321,Acetate,7.3239,0.958011223168,nad:1.1.1.85
15,1.1.1.95,nad,0.0078,Acetate,7.3239,0.998936126683,nad:1.1.1.95
16,1.2.1.10,nad,0.25,Acetate,7.3239,0.966991906415,nad:1.2.1.10
17,1.2.1.12,nad,0.045,Acetate,7.3239,0.993893254081,nad:1.2.1.12
18,1.2.1.16,nad,9.1,Acetate,7.3239,0.445929407753,nad:1.2.1.16
19,1.2.1.22,nad,0.047,Acetate,7.3239,0.993623573783,nad:1.2.1.22
20,1.2.1.39,nad,0.035,Acetate,7.3239,0.99524385438,nad:1.2.1.39
21,1.2.1.72,nad,0.8,Acetate,7.3239,0.901525129556,nad:1.2.1.72
22,1.2.1.8,nad,0.0025,Acetate,7.3239,0.99965876829,nad:1.2.1.8
23,1.3.1.12,nad,0.103,Acetate,7.3239,0.986131494971,nad:1.3.1.12
24,1.8.1.4,nad,0.4,Acetate,7.3239,0.94821269048,nad:1.8.1.4
25,2.7.1.23,nad,1.85,Acetate,7.3239,0.798340945508,nad:2.7.1.23
26,2.7.7.1,nad,0.37,Acetate,7.3239,0.951909954639,nad:2.7.7.1
27,2.7.7.18,nad,0.37,Acetate,7.3239,0.951909954639,nad:2.7.7.18
28,3.6.1.22,nad,5.1,Acetate,7.3239,0.589500881366,nad:3.6.1.22
