,Type,Key,EC_number,LigandID,Compound,TotalEntries,Entropy,Summary,URL,NullEntropy,NullSummary,Literature,NumReferences,DeltaEntropy
ki:1.6.5.8:75,ki,"('1.6.5.8', '75')",1.6.5.8,75,Ag+,11,0.0,Bacteria:11,http://www.brenda-enzymes.org/enzyme.php?ecno=1.6.5.8#INHIBITORS,0.24517387342137378,Bacteria:148;Animalia:33;Plantae:18,"672293;672293,711293,711991;697973;697973,711293;711293",5,-0.24517387342137378
ki:3.6.3.9:866,ki,"('3.6.3.9', '866')",3.6.3.9,866,Ouabain,23,0.0,Animalia:23,http://www.brenda-enzymes.org/enzyme.php?ecno=3.6.3.9#INHIBITORS,0.0,Animalia:174,"655251;655269,675473;656368;674599,695408,710778;675517,701004;675715,675719;677133;684332;686200;686204;688107;696017;697161;697452;697455;698083;698962,701165;700145;700691,713011;712794;713398;719763",22,0.0
ki:3.2.1.52:300,ki,"('3.2.1.52', '300')",3.2.1.52,300,N-acetyl-D-glucosamine,11,0.28665576034516832,Animalia:7;Plantae:3;Bacteria:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.52#INHIBITORS,0.24565290977780016,Animalia:187;Plantae:85;Bacteria:44;Archaea:3,136606;136607;393507;393650;393652;393668;393678;393686;393696;393732;665721,11,0.04100285056736816
ki:2.7.1.40:4,ki,"('2.7.1.40', '4')",2.7.1.40,4,ATP,26,0.26675834935158982,Animalia:9;Bacteria:8;Plantae:7;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.40#INHIBITORS,0.20583328401987822,Bacteria:129;Animalia:102;Plantae:58;Archaea:6;Fungi:6;Protozoa:2,"641514;641516;641519;641523;641524;641526;641539;641542;641547;641549;641552,641553,660823;641555;641556;641586;641587;641607;641610;641611;641613;661513;661672;662143;676434;676689;721624;723044",26,0.060925065331711603
ki:5.3.1.4:19,ki,"('5.3.1.4', '19')",5.3.1.4,19,Cu2+,11,0.0,Bacteria:11,http://www.brenda-enzymes.org/enzyme.php?ecno=5.3.1.4#INHIBITORS,0.0,Bacteria:74,"661274,674224;690589;701860;701868;714492;714934;715956;726761;727200;728249;728843",11,0.0
ki:2.7.7.8:4219,ki,"('2.7.7.8', '4219')",2.7.7.8,4219,Acridine orange,13,0.23428896326642523,Bacteria:9;Animalia:2;Plantae:1;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.7.8#INHIBITORS,0.2426847931869652,Bacteria:54;Animalia:13;Plantae:10;Archaea:4,643680;643688,2,-0.0083958299205399711
ki:1.1.1.205:2,ki,"('1.1.1.205', '2')",1.1.1.205,2,more,10,0.29207061254414063,Bacteria:5;Animalia:3;Plantae:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=1.1.1.205#INHIBITORS,0.19501695194994148,Animalia:273;Bacteria:116;Protozoa:28;Fungi:9;Plantae:8,347911;347915;347922;347923;347931;347936;347945;347961;705042;711735,10,0.097053660594199148
ki:3.1.1.7:803,ki,"('3.1.1.7', '803')",3.1.1.7,803,eserine,19,0.0,Animalia:19,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.7#INHIBITORS,0.023439541830149558,Animalia:1477;Plantae:12,"649499;650832;653108;663748;665263;666232,729761;666286;679345;681725;708730;709593;715185;716986;729091;729761;730148;730711",17,-0.023439541830149558
ki:1.4.3.22:1553,ki,"('1.4.3.22', '1553')",1.4.3.22,1553,aminoguanidine,15,0.34546165465690903,Animalia:8;Plantae:7,http://www.brenda-enzymes.org/enzyme.php?ecno=1.4.3.22#INHIBITORS,0.27765580704700593,Plantae:166;Animalia:89;Bacteria:16,"391922;391925,685658;391943,391954;391945;391948,689639;391959;720756;725810",8,0.067805847609903103
ki:3.6.1.1:23,ki,"('3.6.1.1', '23')",3.6.1.1,23,Co2+,10,0.30515181613825432,Plantae:5;Bacteria:2;Animalia:2;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.6.1.1#INHIBITORS,0.24363213310740719,Plantae:69;Bacteria:68;Animalia:53;Archaea:18;Fungi:13;Protozoa:1,209768;209778;209780;209790;209791;209800;209809;209818;667352;684535,10,0.061519683030847122
ki:4.2.2.2:21,ki,"('4.2.2.2', '21')",4.2.2.2,21,EDTA,10,0.1625414866957241,Bacteria:9;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=4.2.2.2#INHIBITORS,0.21907966001340901,Bacteria:74;Plantae:14,"37371;37383;37385;37388,677646;37394;651383;665787;694751;728991;729926",10,-0.056538173317684903
ki:2.3.3.16:4,ki,"('2.3.3.16', '4')",2.3.3.16,4,ATP,24,0.24266624116596405,Archaea:10;Bacteria:7;Plantae:3;Animalia:2;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.3.16#INHIBITORS,0.24235034804669561,Bacteria:51;Archaea:34;Animalia:20;Plantae:10;Fungi:6;Protozoa:3,488030;488036;488037;488038;488039;488041;488043;488048;488059;488062;488063;488068;488070;488078;657610;799,16,0.00031589311926843999
ki:3.2.1.2:78,ki,"('3.2.1.2', '78')",3.2.1.2,78,PCMB,12,0.30614259499769919,Plantae:6;Bacteria:5;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.2#INHIBITORS,0.23860097218031467,Plantae:62;Bacteria:52;Animalia:8;Protozoa:2,"136419;208595;208595,208616,208638;208599;208601,208602,208608;208604,208609;208617;208618;208622;208628;208635",11,0.067541622817384517
ki:2.7.1.11:131,ki,"('2.7.1.11', '131')",2.7.1.11,131,citrate,36,0.24552684978964795,Animalia:17;Bacteria:10;Plantae:7;Fungi:1;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.11#INHIBITORS,0.22030611829185406,Animalia:116;Plantae:74;Bacteria:66;Archaea:11;Fungi:5;Protozoa:4,"640421;640422;640423;640429;640438;640442;640458,640479;640460;640464;640475;640476;640477;640479;640495;640507;672415;727725",17,0.025220731497793886
ki:3.2.1.20:317,ki,"('3.2.1.20', '317')",3.2.1.20,317,Tris,13,0.35263514156789116,Plantae:6;Bacteria:4;Animalia:3,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.20#INHIBITORS,0.2506265202663393,Fungi:241;Animalia:138;Bacteria:110;Plantae:107;Archaea:20;Protozoa:15,"393268,393276;393277;393281;393285;393288;393289;393299;393303;393306;393310;393325;393341;393351",13,0.10200862130155186
ki:2.3.2.2:839,ki,"('2.3.2.2', '839')",2.3.2.2,839,6-diazo-5-oxo-L-norleucine,10,0.31444946410967972,Animalia:5;Bacteria:4;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.2.2#INHIBITORS,0.1731406795745514,Animalia:169;Bacteria:61;Plantae:12;Archaea:6;Fungi:1,"487916;487930;487930,487931;487935;487944;487946;658567;672686;676991",9,0.14130878453512832
ki:2.3.1.41:1438,ki,"('2.3.1.41', '1438')",2.3.1.41,1438,cerulenin,12,0.34272795311097526,Plantae:5;Bacteria:5;Animalia:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.41#INHIBITORS,0.29559656255687788,Bacteria:25;Plantae:9;Animalia:5,"285669;486920;486935;486939;486941;486942;486946;486948;658746,659442;659451;661000",11,0.047131390554097374
