,Inhibition,Activation,Total
Hevea brasiliensis,79,20,99
Phoenix dactylifera,7,0,7
Branchiostoma floridae,5,1,6
Arthrobacter globiformis,82,8,90
Haemophilus haemolyticus,8,0,8
Xanthomonas campestris,43,6,49
Dissostichus mawsoni,3,0,3
Rhodothermus marinus,16,2,18
Avicennia marina,3,1,4
Echis carinatus,3,0,3
Thermoactinomyces vulgaris,33,15,48
Ficus lyrata,0,1,1
Modiolus demissus,8,0,8
Hyalophora cecropia,6,1,7
Methylobacterium nodulans,1,0,1
Paenibacillus alginolyticus,5,0,5
Mycobacterium kansasii,53,0,53
Bacillus pseudalcaliphilus,5,0,5
Echinochloa phyllopogon,0,1,1
Poecilia reticulata,2,0,2
Streptomyces longisporoflavus,6,2,8
Lepus townsendii,1,0,1
Litopenaeus vannamei,14,5,19
Acanthoscelides obtectus,6,0,6
Mya arenaria,0,2,2
Amaranthus retroflexus,68,1,69
Camelus dromedarius,55,7,62
Elephantopus scaber,1,0,1
Roseobacter denitrificans,3,1,4
Cervidae,1,0,1
Populus tremula,1,0,1
Lupinus angustifolius,48,2,50
Bordetella pertussis,79,3,82
Cavia porcellus,890,143,1033
Halothiobacillus neapolitanus,7,5,12
Erinnyis ello,3,0,3
Sphingobium chungbukense,1,0,1
Mustelus canis,3,0,3
Geobacillus thermoleovorans,72,8,80
Sansevieria trifasciata,3,0,3
Calliphora vicina,8,1,9
Lactobacillus collinoides,5,0,5
Lachesis muta muta,9,0,9
Flavobacteriia,8,0,8
Cryptococcus albidus,11,0,11
Gordonia bronchialis,1,0,1
Halomonas eurihalina,2,0,2
Rhizobium etli,22,6,28
Cobetia marina,10,0,10
Hyphomicrobium zavarzinii,1,2,3
Bromus japonicus,0,2,2
Meganyctiphanes norvegica,1,1,2
Leptonychotes weddellii,30,0,30
Sulfobacillus acidophilus,0,1,1
Mycobacterium bovis,35,1,36
Bromus rubens,0,2,2
Bordetella avium,8,0,8
Eubacterium barkeri,38,6,44
Cuphea wrightii,3,0,3
Didelphis albiventris,4,2,6
Zygnema cylindricum,1,0,1
Schistosoma mansoni,208,5,213
Hominoidea,12,0,12
Vigna radiata,194,29,223
Mycoplasma pneumoniae,14,1,15
Xanthomonas oryzae,8,0,8
Evernia prunastri,16,4,20
Rhizobium lupini,1,0,1
Vanilla planifolia,15,1,16
Zalophus californianus,1,0,1
Exiguobacterium aurantiacum,1,0,1
Mullus barbatus,4,0,4
Prevotella ruminicola,2,1,3
Odoribacter splanchnicus,3,0,3
Amycolatopsis methanolica,41,5,46
Cricetus cricetus,2,0,2
Arthrobacter aurescens,55,0,55
Neisseria sicca,8,0,8
Enterobacter aerogenes,244,49,293
Cenchrus americanus,11,2,13
Vibrio harveyi,89,11,100
Eisenia fetida,24,0,24
Achlya ambisexualis,0,2,2
Astragalus hamosus,5,0,5
Psychrobacter urativorans,6,0,6
Nuphar lutea,2,0,2
Capra hircus,217,21,238
Oryzias latipes,13,1,14
Arthrobacter nitroguajacolicus,5,0,5
Streptomyces phaeochromogenes,20,6,26
Fasciola gigantica,14,2,16
Proteus penneri,2,0,2
Cancer pagurus,4,0,4
Lactobacillus otakiensis,1,0,1
Burkholderia pyrrocinia,3,0,3
dolphin,5,0,5
Chlorella sorokiniana,4,1,5
Saccharopolyspora rectivirgula,10,0,10
Haloferax volcanii,63,11,74
Achatina fulica,6,0,6
Lingulodinium polyedrum,17,0,17
Hirudo medicinalis,2,0,2
Eubacterium acidaminophilum,7,3,10
Cryptosporidium parvum,82,6,88
Actinosynnema pretiosum,5,0,5
Brevibacterium linens,10,0,10
Mentha spicata,8,0,8
Clostridium septicum,1,0,1
Anoxybacillus kestanbolensis,3,0,3
Candida humicola,5,1,6
Comamonas terrigena,1,0,1
Strongylocentrotus franciscanus,3,0,3
Serratia plymuthica,7,0,7
Photobacterium damselae,9,2,11
Ambystoma tigrinum,1,0,1
Liza saliens,6,0,6
Burkholderia mallei,6,1,7
Salaria basilisca,4,0,4
Vigna umbellata,17,1,18
Panax quinquefolius,0,1,1
Clostridium sticklandii,168,22,190
Quercus ilex,0,1,1
Erythroxylum coca,9,0,9
Thermomonospora curvata,1,0,1
Rhodococcus jostii,1,3,4
Pagrus major,25,1,26
Rhodococcus rhodochrous,67,7,74
Portulaca grandiflora,11,0,11
Bromus madritensis,0,2,2
Pseudomonas reinekei,2,0,2
