biggID,EC
ntp1,3.6.1.15
cysabcpp,3.6.1.13
ppa,3.6.1.1
pydxk,2.7.1.35
pydxnk,2.7.1.35
pydamk,2.7.1.35
ntd5,3.1.3.5
tmdk1,2.4.2.4
tdp,3.6.1.15
tmpk,2.5.1.3
cu2tpp,4.6.1.1
spmdabcpp,2.3.1.57
leuabcpp,2.6.1.42
gspmda,3.5.1.78
gspmds,6.3.1.8
pmpk,2.7.4.7
hisabcpp,1.1.1.23
argabcpp,2.3.1.40
nadk,2.7.1.23
ntd1,3.1.3.5
kabcpp,1.1.1.86
lysabcpp,4.1.1.18
ileabcpp,2.6.1.42
papa140pp,3.1.3.4
ntd9,3.1.3.5
ntd7,3.1.3.5
glyk,2.7.1.30
ppck,4.1.1.49
ppc,4.1.1.31
asnabcpp,2.3.1.40
glns,6.1.1.18
hco3e,4.2.1.1
cd2abcpp,1.1.1.69
ntp3,3.6.1.15
ndpk1,2.7.4.6
hex7,2.7.1.1
fthfd,3.5.1.10
fthfli,6.3.4.3
ppa2,3.6.1.1
ppk2r,2.7.4.1
hex1,2.7.1.1
g6pp,3.1.3.9
ndpk3,2.7.4.6
ntp5,3.6.1.15
papa160,3.1.3.4
dagk160,2.1.2.3
hex4,2.7.1.7
dagk120,1.2.1.38
papa120,3.1.3.4
papa141,3.1.3.4
dagk141,3.2.2.9
thrabcpp,1.1.1.103
fbp,3.1.3.11
pfk,2.7.1.11
papa181,3.1.3.4
ntd11,3.1.3.5
insk,2.7.1.73
papa161,3.1.3.4
rbk,2.7.1.15
papa180,3.1.3.4
crnabcpp,5.3.3.7
gk1,2.7.4.8
man1pt2,2.7.7.22
valabcpp,2.6.1.42
p5cd,1.5.1.12
thd2pp,1.6.1.1
g5sd,1.2.1.41
glu5k,2.7.2.11
proabcpp,1.5.99.8
hxct,2.4.2.8
mgsa,4.2.3.3
pgm,5.4.2.1
pgk,2.7.2.3
ldh_d,1.1.1.28
pps,2.7.9.2
