biggreaction,biggmetabolite,ECnumber
zn2abcpp,cd2,3.6.3.5
zn2abcpp,cu2,3.6.3.5
zn2abcpp,cys__l,3.6.3.5
zn2abcpp,pg160,3.6.3.5
zn2abcpp,pg180,3.6.3.5
adk1,amp,2.7.4.3
adk1,ap5a,2.7.4.3
adk1,mg2,2.7.4.3
ppa,atp,3.6.1.1
ppa,ca2,3.6.1.1
ppa,cynt,3.6.1.1
ppa,ppi,3.6.1.1
mg2uabcpp,mn2,3.6.3.2
pydamk,amp,2.7.1.35
pydamk,pydx,2.7.1.35
pydamk,pydx5p,2.7.1.35
tmpk,adp,2.7.4.16
tmpk,amp,2.7.4.16
tmpk,k,2.7.4.16
tmpk,na1,2.7.4.16
tmpk,ppi,2.7.4.16
tmpk,thm,2.7.4.16
argabcpp,26dap__m,3.6.3.21
argabcpp,cys__d,3.6.3.21
argabcpp,cys__l,3.6.3.21
argabcpp,cyst__l,3.6.3.21
nadk,nadh,2.7.1.23
nadk,nadph,2.7.1.23
durik1,ac,2.7.1.21
durik1,ade,2.7.1.21
durik1,cl,2.7.1.21
durik1,dcdp,2.7.1.21
durik1,dctp,2.7.1.21
durik1,dttp,2.7.1.21
durik1,gtp,2.7.1.21
durik1,k,2.7.1.21
durik1,na1,2.7.1.21
ntd1,adp,3.1.3.89
ntd1,atp,3.1.3.89
ntd1,ctp,3.1.3.89
ntd1,datp,3.1.3.89
ntd1,dctp,3.1.3.89
ntd1,dgtp,3.1.3.89
ntd1,dttp,3.1.3.89
ntd1,gtp,3.1.3.89
ntd1,itp,3.1.3.89
ntd1,utp,3.1.3.89
kabcpp,adp,3.6.3.12
kabcpp,atp,3.6.3.12
kabcpp,ca2,3.6.3.12
kabcpp,na1,3.6.3.12
piuabcpp,aso4,3.6.3.27
gsnk,adp,2.7.1.73
gsnk,atp,2.7.1.73
gsnk,cmp,2.7.1.73
gsnk,cu2,2.7.1.73
gsnk,dtmp,2.7.1.73
gsnk,gdp,2.7.1.73
gsnk,gmp,2.7.1.73
gsnk,gtp,2.7.1.73
gsnk,k,2.7.1.73
gsnk,mg2,2.7.1.73
gsnk,ump,2.7.1.73
gsnk,zn2,2.7.1.73
glyk,adp,2.7.1.30
glyk,atp,2.7.1.30
glyk,fdp,2.7.1.30
glyk,glyc,2.7.1.30
glyk,glyc3p,2.7.1.30
ppck,3pg,4.1.1.49
ppck,accoa,4.1.1.49
ppck,atp,4.1.1.49
ppck,ca2,4.1.1.49
ppck,dhap,4.1.1.49
ppck,f6p,4.1.1.49
ppck,fdp,4.1.1.49
ppck,mg2,4.1.1.49
ppck,nadh,4.1.1.49
ppck,oxa,4.1.1.49
ppck,pep,4.1.1.49
ppc,accoa,4.1.1.31
ppc,asp__l,4.1.1.31
ppc,cdp,4.1.1.31
ppc,cit,4.1.1.31
ppc,cmp,4.1.1.31
ppc,cys__l,4.1.1.31
ppc,fdp,4.1.1.31
ppc,fum,4.1.1.31
ppc,gtp,4.1.1.31
ppc,mal__l,4.1.1.31
ppc,succ,4.1.1.31
glns,ala__l,6.3.1.2
glns,amp,6.3.1.2
glns,cbp,6.3.1.2
glns,ctp,6.3.1.2
glns,gam6p,6.3.1.2
glns,gly,6.3.1.2
glns,glyb,6.3.1.2
glns,his__l,6.3.1.2
glns,inost,6.3.1.2
glns,metsox_s__l,6.3.1.2
glns,pro__l,6.3.1.2
glns,ser__l,6.3.1.2
glns,trp__l,6.3.1.2
cbps,acglu,6.3.5.5
cbps,ap5a,6.3.5.5
cbps,cynt,6.3.5.5
cbps,gtp,6.3.5.5
cbps,h2o2,6.3.5.5
cbps,imp,6.3.5.5
cbps,itp,6.3.5.5
cbps,k,6.3.5.5
cbps,orn,6.3.5.5
cbps,udp,6.3.5.5
cbps,ump,6.3.5.5
cbps,urea,6.3.5.5
cbps,utp,6.3.5.5
cbps,xmp,6.3.5.5
hco3e,cynt,4.2.1.1
alaalar,alaala,6.3.2.4
alaalar,gly,6.3.2.4
alaalar,indole,6.3.2.4
ndpk1,adp,2.7.4.6
ndpk1,gdp,2.7.4.6
ndpk1,gtp,2.7.4.6
ndpk1,ppi,2.7.4.6
fthfd,gly,3.5.1.10
fthfd,met__l,3.5.1.10
ppa2,ca2,3.6.1.25
ppa2,mg2,3.6.1.25
dagk160,ca2,2.7.1.107
dagk160,hdca,2.7.1.107
dagk160,ocdca,2.7.1.107
dagk160,ocdcea,2.7.1.107
dagk160,pa160,2.7.1.107
fbp,adp,3.1.3.11
fbp,amp,3.1.3.11
fbp,atp,3.1.3.11
fbp,cit,3.1.3.11
fbp,f1p,3.1.3.11
fbp,fdp,3.1.3.11
fbp,g6p,3.1.3.11
fbp,pep,3.1.3.11
fbp,pi,3.1.3.11
fbp,so4,3.1.3.11
pfk,adp,2.7.1.11
pfk,atp,2.7.1.11
pfk,cit,2.7.1.11
pfk,f1p,2.7.1.11
pfk,f6p,2.7.1.11
pfk,fdp,2.7.1.11
pfk,gdp,2.7.1.11
pfk,k,2.7.1.11
pfk,pep,2.7.1.11
rbk,atp,2.7.1.15
rbk,mg2,2.7.1.15
rbk,rib__d,2.7.1.15
ap4as,zn2,2.7.7
ap4ah,cu2,3.6.1.41
ap4ah,fe2,3.6.1.41
ap4ah,zn2,3.6.1.41
gdpmnp,3pg,3.6.1.21
gdpmnp,adp,3.6.1.21
gdpmnp,amp,3.6.1.21
gdpmnp,atp,3.6.1.21
gdpmnp,ppi,3.6.1.21
atps4rpp,adp,3.6.3.14
atps4rpp,ca2,3.6.3.14
atps4rpp,hg2,3.6.3.14
atps4rpp,pi,3.6.3.14
atps4rpp,ppi,3.6.3.14
thd2pp,adp,1.6.1.1
thd2pp,amp,1.6.1.1
thd2pp,atp,1.6.1.1
thd2pp,ca2,1.6.1.1
thd2pp,cobalt2,1.6.1.1
thd2pp,cu2,1.6.1.1
thd2pp,dmso,1.6.1.1
thd2pp,mn2,1.6.1.1
thd2pp,nadph,1.6.1.1
thd2pp,ni2,1.6.1.1
thd2pp,zn2,1.6.1.1
g5sd,cobalt2,1.2.1.41
g5sd,cu2,1.2.1.41
g5sd,nadph,1.2.1.41
g5sd,ni2,1.2.1.41
glu5k,adp,2.7.2.11
glu5k,pro__l,2.7.2.11
mgsa,2pg,4.2.3.3
mgsa,2pglyc,4.2.3.3
mgsa,3pg,4.2.3.3
mgsa,aso4,4.2.3.3
mgsa,dhap,4.2.3.3
mgsa,pep,4.2.3.3
mgsa,pi,4.2.3.3
mgsa,ppi,4.2.3.3
ldh_d,2obut,1.1.1.28
ldh_d,adp,1.1.1.28
ldh_d,atp,1.1.1.28
ldh_d,oxam,1.1.1.28
ldh_d,pyr,1.1.1.28
pps,adp,2.7.9.2
pps,adpglc,2.7.9.2
pps,akg,2.7.9.2
pps,amp,2.7.9.2
pps,atp,2.7.9.2
pps,ca2,2.7.9.2
pps,g3p,2.7.9.2
pps,mg2,2.7.9.2
pps,mn2,2.7.9.2
pps,oaa,2.7.9.2
pps,oxa,2.7.9.2
pps,pep,2.7.9.2
