,Inhibition,Activation,Total
Raphanus sativus,106,11,117
Heliothis virescens,16,4,20
Thermoanaerobacter mathranii,2,0,2
Fasciola hepatica,90,16,106
Burkholderia caryophylli,5,1,6
Microcystis aeruginosa,17,0,17
Shewanella putrefaciens,7,0,7
Haloarcula japonica,1,0,1
Natrialba magadii,4,0,4
Wolinella succinogenes,8,1,9
Ambystoma tigrinum,1,0,1
Bromus inermis,0,5,5
Saduria entomon,1,0,1
Betula pendula,0,1,1
Oxyuranus scutellatus,11,3,14
Pelodiscus sinensis,1,0,1
Semotilus atromaculatus,0,1,1
Cobetia marina,10,0,10
Pituophis deppei,1,0,1
Streptococcus pyogenes,167,6,173
Acidithiobacillus ferrooxidans,58,14,72
Anoxybacillus gonensis,3,0,3
Bitis gabonica,4,0,4
Vibrio vulnificus,10,2,12
Pseudonaja textilis,1,1,2
Janthinobacterium lividum,22,9,31
Burkholderia vietnamiensis,4,0,4
Xanthoria parietina,2,0,2
Neosartorya fischeri,28,3,31
Bungarus fasciatus,12,0,12
Myxine glutinosa,6,0,6
Hydrogenobacter thermophilus,7,4,11
Desulfurococcus kamchatkensis,3,0,3
Acidothermus cellulolyticus,1,0,1
Proteus mirabilis,65,1,66
Cryptococcus laurentii,47,5,52
Alligator mississippiensis,2,1,3
Clostridium bolteae,1,0,1
Dicentrarchus labrax,45,3,48
Macaca fuscata,51,6,57
Xenorhabdus bovienii,1,0,1
Phaseolus coccineus,5,0,5
Pseudomonas pseudoalcaligenes,64,4,68
Esox lucius,1,0,1
Hyalophora cecropia,6,1,7
Scyllarides latus,3,2,5
Fluoribacter gormanii,8,0,8
Odontella sinensis,6,2,8
Secale cereale,72,15,87
Zavarzinia compransoris,0,1,1
Colwellia psychrerythraea,10,2,12
Withania somnifera,13,1,14
Phaseolus vulgaris,303,75,378
Gluconacetobacter liquefaciens,8,1,9
Oceanobacillus iheyensis,1,0,1
Streptomyces viridochromogenes,2,0,2
Paenibacillus polymyxa,27,1,28
Prunus cerasifera,1,1,2
Pseudomonas boreopolis,1,0,1
Syntrophus gentianae,1,0,1
Clostridium formicaceticum,5,0,5
Pelophylax ridibundus,21,7,28
Haemophilus aegyptius,9,0,9
Rhodococcus globerulus,21,15,36
Vibrio fluvialis,3,0,3
Streptomyces diastaticus,7,1,8
Cryptococcus neoformans,205,26,231
Azomonas insignis,1,0,1
Bromus madritensis,0,2,2
Polytrichum piliferum,2,0,2
Delftia acidovorans,73,9,82
Arthrobacter nicotinovorans,28,11,39
Populus tremula,1,0,1
Xanthomonas axonopodis,8,0,8
Torpedo californica,60,0,60
Macrobrachium malcolmsonii,0,1,1
Ginkgo biloba,7,7,14
Brevibacillus laterosporus,26,1,27
Fratercula arctica,1,0,1
Vinca major,1,0,1
Mullus barbatus,4,0,4
Vipera ammodytes ammodytes,11,1,12
Larix kaempferi,3,0,3
Agkistrodon contortrix,6,0,6
Astragalus racemosus,5,0,5
Microbacterium oxydans,2,0,2
Oryctolagus,21,0,21
Methylobacterium rhodesianum,5,0,5
Lolium rigidum,12,1,13
Xanthobacter agilis,4,0,4
Enterococcus faecium,159,7,166
Prunus armeniaca,15,4,19
Streptococcus gallolyticus,8,3,11
Lachesis muta muta,9,0,9
Decapterus maruadsi,5,1,6
Lumbriculus variegatus,9,0,9
Aeromonas caviae,13,16,29
Chlamydia suis,1,0,1
Urtica dioica,22,0,22
Hippoglossus stenolepis,1,0,1
Cetacea,1,0,1
Ignicoccus hospitalis,3,2,5
Thermococcus fumicolans,2,0,2
Cairina moschata,5,0,5
Prevotella bivia,4,0,4
Camelus dromedarius,56,7,63
Desulfobulbus propionicus,1,0,1
Hirudo medicinalis,2,0,2
Streptomyces nitrosporeus,1,0,1
Methyloversatilis universalis,0,1,1
Dioscorea cayenensis,11,1,12
Streptomyces anulatus,1,1,2
Vespula maculifrons,2,0,2
Drosera capensis,2,0,2
Mytilus galloprovincialis,21,9,30
Vitis vinifera,38,5,43
Clostridium septicum,1,0,1
Canis lupus,8,0,8
plant,1,2,3
Elymus repens,4,0,4
Aplysia californica,26,6,32
Musa acuminata,37,2,39
Satureja hortensis,1,0,1
Portulaca grandiflora,11,0,11
Cupriavidus necator,225,24,249
Caldicellulosiruptor bescii,4,0,4
Tatlockia micdadei,6,2,8
Pseudoalteromonas undina,6,2,8
Selenomonas ruminantium,48,5,53
Eleusine coracana,22,4,26
Dalbergia cochinchinensis,7,0,7
Sphingobium herbicidovorans,3,2,5
Ameiurus nebulosus,1,3,4
Bacteroides polypragmatus,1,3,4
Xanthomonas translucens,10,0,10
Microbacterium esteraromaticum,9,0,9
Thermosyntropha lipolytica,3,0,3
Glandularia x hybrida,3,0,3
Pseudomonas oryzihabitans,0,1,1
Solanum pimpinellifolium,0,1,1
Clostridium novyi,1,0,1
Daphnia magna,6,0,6
Paenibacillus curdlanolyticus,0,1,1
Pectobacterium carotovorum,47,17,64
Fusobacterium varium,3,1,4
Streptomyces virginiae,9,0,9
Albibacter methylovorans,2,1,3
Arthrobacter aurescens,55,0,55
Sphagnum fallax,3,0,3
Bactrocera dorsalis,7,0,7
Streptomyces morookaense,0,3,3
Coleataenia prionitis,1,0,1
Geobacillus thermoglucosidasius,28,3,31
Triticum turgidum,4,0,4
Zobellia galactanivorans,2,0,2
Burkholderia cepacia,114,12,126
Platichthys flesus,7,0,7
Zymomonas mobilis,163,15,178
Entamoeba histolytica,222,21,243
Halanaerobium praevalens,1,0,1
Ruegeria pomeroyi,19,0,19
Bifidobacterium longum,42,3,45
Ceramium deslongchampsii,0,1,1
Bartonella quintana,4,0,4
Fenneropenaeus chinensis,3,0,3
Marthasterias glacialis,27,2,29
Agkistrodon piscivorus leucostoma,3,0,3
Branchiostoma floridae,5,1,6
Paenibacillus woosongensis,8,1,9
Pyrodictium occultum,2,0,2
Digitalis purpurea,1,3,4
Ajuga reptans,0,2,2
Anaerobranca gottschalkii,8,1,9
Burkholderia cenocepacia,8,5,13
Thermoactinomyces vulgaris,33,15,48
Thauera chlorobenzoica,1,1,2
