EC_number,count(metabolites)
2.7.11.5,6
1.1.1.94,4
1.6.5.11,4
1.1.1.169,3
3.1.3.5,3
1.6.1.2,3
1.5.1.30,2
2.7.4.1,2
2.7.2.4,2
2.3.3.16,2
2.1.3.2,2
3.1.3.31,2
1.1.1.271,2
4.1.3.42,1
3.1.3.41,1
6.3.4.4,1
3.1.3.6,1
6.3.4.2,1
3.1.4.16,1
6.3.4.14,1
3.1.4.37,1
3.2.2.9,1
4.1.3.39,1
3.6.3.16,1
3.6.3.50,1
3.6.5.4,1
4.1.2.13,1
6.3.3.3,1
3.1.3.11,1
4.1.2.52,1
4.1.3.1,1
6.1.1.1,1
3.6.1.11,1
2.7.2.8,1
2.7.9.3,1
2.7.7.27,1
1.1.1.42,1
1.1.1.49,1
1.1.1.86,1
1.17.1.8,1
1.17.4.1,1
1.2.1.41,1
1.5.5.2,1
1.8.1.4,1
1.8.1.9,1
2.3.3.9,1
2.4.1.69,1
2.4.2.14,1
2.4.2.7,1
2.6.1.19,1
2.7.1.170,1
2.7.1.56,1
2.7.2.11,1
1.1.1.205,1
2.7.6.1,1
6.3.5.2,1
