bigg.metabolite,count(EC)
atp_c,32
amp_c,20
adp_c,19
nadph_c,13
pi_c,13
pyr_c,13
nh4_c,12
gtp_c,11
spmd_c,11
gthrd_c,11
k_c,10
ppi_c,9
ac_c,9
pep_c,8
so4_c,8
amet_c,7
succ_c,7
pydx5p_c,6
ahcys_c,6
ctp_c,6
dmso_c,5
gdp_c,5
nadh_c,5
fdp_c,5
akg_c,5
mg2_c,5
itp_c,5
gmp_c,4
glx_c,4
datp_c,4
dgtp_c,4
r5p_c,4
ump_c,4
dctp_c,4
adn_c,4
ade_c,4
hpyr_c,4
coa_c,4
2obut_c,4
h2o2_c,3
imp_c,3
etoh_c,3
gly_c,3
for_c,3
cyan_c,3
oxa_c,3
utp_c,3
2pglyc_c,3
pydxn_c,3
pmtcoa_c,3
accoa_c,3
fum_c,3
ca2_c,3
cl_c,3
oaa_c,2
ocdcea_c,2
hdca_c,2
meoh_c,2
ppa_c,2
23dappa_c,2
ptrc_c,2
udp_c,2
na1_c,2
gcald_c,2
gam_e,2
g6p_c,2
glyc_c,2
zn2_c,2
aso3_c,2
etha_c,2
4mop_c,2
3pg_c,2
cobalt2_c,2
acald_c,2
btn_c,2
dttp_c,2
camp_c,2
fmn_c,2
fad_c,2
4hbz_c,2
acser_c,1
4hthr_c,1
acglu_c,1
acgam6p_c,1
pacald_c,1
pac_c,1
pdx5p_c,1
ppgpp_c,1
8aonn_c,1
ppt_e,1
prpp_c,1
5mta_c,1
oxam_c,1
pydx_c,1
pan4p_c,1
4ahmmp_c,1
r15bp_c,1
uacgam_c,1
xtp_c,1
xmp_c,1
xan_c,1
2ddg6p_c,1
uri_c,1
urea_c,1
2dr5p_c,1
35cgmp_c,1
ttdca_c,1
orot_c,1
thmpp_c,1
tdcoa_c,1
sucsal_c,1
4abut_c,1
4abz_c,1
sbt6p_c,1
sarcs_c,1
s17bp_c,1
adpglc_c,1
g3p_c,1
aps_c,1
dtdpglu_c,1
hdcea_c,1
ddca_c,1
h2s_c,1
ddcacoa_c,1
dhap_c,1
dpcoa_c,1
gthox_c,1
gsn_c,1
glyclt_c,1
ocdca_c,1
dtmp_c,1
glyb_c,1
glyald_c,1
glu5sa_c,1
f6p_c,1
fadh2_c,1
gam6p_c,1
gal_c,1
hdcoa_c,1
histd_c,1
dcdp_c,1
icit_c,1
occoa_c,1
o2_c,1
no2_c,1
nmn_c,1
aso4_c,1
but_c,1
mlthf_c,1
cbl1_c,1
methf_c,1
lipoate_c,1
lipa_c,1
cynt_c,1
cytd_c,1
ins_c,1
inost_c,1
indole_c,1
dcacoa_c,1
15dap_c,1
