,NumRef,Refs
pyr-->mcpst,1,645548
pro__l-->glns,1,667442
atp-->fbp,2,651666;693243
amp-->adk1,1,642586
hg2-->betaldhx,1,390329
met__l-->glusy,1,391438
acald-->acald,1,724721
ac-->durik1,1,641144
acon_c-->fum,1,33771
mlthf-->tmds,1,485397
pmtcoa-->g3pd2,1,287523
adp-->fbp,1,651666
2obut-->hopntal,1,702377
1pyr5c-->ctps2,1,648963
imp-->adpt,1,638391
dtdpglu-->galui,1,643748
zn2-->ppm2,1,3340
ppi-->iletrs,1,454
utp-->aspct,9,485837;485839;485840;485842;662646;685252;699559;718936;718943
nicrnt-->nndpr,1,638020
mn2-->lcadi,1,288133
zn2-->fclpa,1,679548
k-->glycdx,1,668061
dgtp-->ctps2,1,674909
mn2-->agpr,1,390280
oaa-->cs,1,659254
ala__l-->ocbt,1,485898
ca2-->histp,1,680722
cobalt2-->rndr1,1,715085
ca2-->dhfr,1,392238
zn2-->dmpps,1,661928
adp-->ntd1,1,656266
glu__l-->dapdc,1,4110
hg2-->acgs,1,486063
glc__d-->ppbngs,1,691351
fdp-->fbp,2,170730;651666
dcacoa-->edtxs1,1,726949
dctp-->ntd10,1,656266
cys__l-->mcpst,1,645548
amet-->admdc,1,4660
amp-->glcp2,1,488238
ni2-->dmpps,1,661928
atp-->3ntd2pp,1,656266
met__l-->fthfd,1,208968
mal__l-->aspct,1,485853
g3p-->pps,2,645472;645473
amp-->dpr,1,669806
k-->gsnk,1,641925
cobalt2-->g5sd,1,390308
his__l-->glns,1,661216
gly-->serat,2,486778;657835
dgsn-->cytd,2,209644;209660
uri-->ctps2,1,702613
amet-->obtfl,7,14936;487218;487219;487221;487222;487230;487239
coa-->acgs,2,486061;486063
zn2-->a5piso,8,2624;652445;660993;662042;671856;701812;714743;715380
glyc3p-->pgsa120,1,644286
lac__l-->uamas,1,1286
cobalt2-->glcrd,1,33840
pydxn-->hmpk1,1,641658
aspsa-->aspt,2,6009;6028
hg2-->csnd,4,209489;209497;209507;209508
cobalt2-->ctps2,1,649002
ni2-->pants,3,977;978;979
mn2-->nads1,1,953
pi-->dpr,1,669806
acald-->pdh,1,348956
utp-->cytdk2,1,641644
uamag-->uagcvt,1,637590
gdp-->gluprt,1,489747
pi-->metat,2,639045;639056
zn2-->adncyc,1,34790
fe3-->cytd,2,209644;209660
orn-->argtrs,1,269
pydx5p-->ppcdc,1,4415
gsn-->ctps2,1,674909
gua-->punp1,1,489654
pyr-->glusy,1,391438
fe3-->ppm2,1,3340
ade-->amaotr,1,637092
atp-->adncyc,1,34764
hg2-->pgpp120,1,94818
cl-->dhqti,2,5473;5474
cys__l-->aoxsr2,2,487047;487051
succ-->abta,1,661189
pmtcoa-->ear121x,1,390503
ap5a-->adk1,3,660819;675337;702283
na1-->impd,2,701583;703193
for-->fhl,1,698687
zn2-->g6pda,1,648233
ctp-->ntpp1,1,655847
urea-->argdc,2,4085;4086
udp-->cbps,1,1731
pydx5p-->hsk,1,641473
ag-->lacz,2,171273;679236
fe2-->dmpps,1,661928
tungs-->asad,1,390200
camp-->ab6pgh,1,136924
gtp-->adncyc,2,34764;34813
ura-->ctps2,1,702613
ag-->csnd,1,209497
spmd-->ptrcabcpp,2,210313;656055
acald-->betaldhx,1,390329
sarcs-->betaldhx,1,390329
indole-->ear121x,1,696692
etha-->betaldhx,1,390329
hg2-->pants,3,977;978;979
f6p-->glgc,6,643131;643141;643144;643152;643161;643164
mn2-->arai,1,2729
ara5p-->tala,1,486041
zn2-->cytd,1,209644
adprib-->acald,1,390164
atp-->ppck,1,727382
amp-->ab6pgh,1,136924
utp-->ntd10,1,656266
adn-->mettrs,1,34
nad-->acald,1,390164
na1-->asad,1,390180
histd-->histrs,1,369
dttp-->ntpp1,1,655847
ptrc-->agmt,3,246676;649495;665940
accoa-->forct,1,692851
arg__l-->acgs,3,486063;486066;685805
cu2-->acoda,1,171960
dttp-->ntd1,1,656266
gln__l-->csnd,2,209489;209497
ac-->ugmdds,1,651110
adp-->dbts,2,1334;1338
cit-->pfk,3,640421;640463;640486
ca2-->mi1pp,1,665294
3hpp-->pants,1,978
cd2-->asp1dc,1,3992
atp-->ampn,2,171818;657368
gdp-->ctps2,1,674909
so4-->tyrtrs,1,650300
nadph-->g3pd2,1,669175
spmd-->argdc,2,4085;4086
dctp-->rndr1,1,437918
so4-->sulri,1,392964
cobalt2-->abutd,1,690591
6pgc-->rpi,1,2787
datp-->ntd10,1,656266
uri-->pynp2r,1,638518
ctp-->dasyn120,2,643308;643314
spmd-->dhfr,1,392238
fe2-->altrh,1,5901
so4-->duripp,1,638445
acgam1p-->uacmamo,1,720374
ametam-->admdc,2,4668;4672
udpg-->glcp2,1,488238
fe2-->agpr,1,390280
itp-->cbps,1,1731
atp-->gdpmnp,1,657184
cd2-->g6pdh2r,1,722473
23dappa-->gf6pta,1,639916
f1p-->pfk,1,640421
pan4p-->pntk,1,641393
ala__l-->pants,2,978;979
cys__l-->zn2abcpp,1,654606
leu__l-->ocbt,1,485898
s17bp-->glgc,1,643144
adp-->gdpmnp,1,657184
glc__d-->treptspp,1,641885
6pgc-->pgi,2,2624;2841
4hthr-->4hthrs,2,137551;137559
dttp-->g1ptt,1,643081
adp-->impd,1,347946
amp-->acald,1,390164
dgtp-->ntptp1,1,135502
amp-->gdpmnp,1,657184
imp-->gmpr,1,394292
glyc-->fum,1,653600
h2o2-->thrtrs,1,716771
nadh-->nadk,2,641189;691390
dtdpglu-->glcp2,1,488238
cys__l-->ppc,1,4311
cobalt2-->amptasecg,1,137173
ca2-->icl,1,33117
fdp-->fruk,1,641683
fe2-->sucbzl,1,648945
glx-->hopntal,1,702377
cobalt2-->uagcvt,1,706916
phe__l-->csnd,1,209497
ser__l-->hsdy,1,246398
cit-->lacz,2,171271;679236
acglu-->cbps,1,1725
hg2-->asp1dc,1,3992
zn2-->dhqti,1,5463
fad-->adsk,1,641217
pydam-->gcaldd,1,390214
tyr__l-->chorm,3,3535;3557;3564
pi-->kdops,1,637397
cu2-->acgs,1,486063
nad-->aspo6,2,391756;391760
gal-->lacz,2,706614;706624
hg2-->atps4rpp,1,210238
hg2-->g6pdh2r,1,722473
his__l-->atpprt,4,637662;637667;637668;637674
h2o2-->cpppgo2,1,711348
zn2-->lacz,1,171273
cytd-->cytd,1,209659
urea-->cbps,1,1741
nadp-->ntrir2x,1,392929
fdp-->ddpa,1,639741
alaala-->alaalar,2,1235;1236
ni2-->fba,1,728325
dctp-->dasyn120,1,643314
pi-->fbp,2,651666;693243
aacoa-->acact1r,1,487690
utp-->glusy,1,391438
2pg-->mgsa,1,137616
ni2-->agmt,1,246685
etoh-->aspt,1,6019
pant__r-->mohmt,2,485700;485701
ptrc-->dhfr,1,392238
pro__l-->glu5k,3,679845;681421;722974
glyc3p-->fba,1,4914
nad-->manao,1,287131
gly-->serd_d,2,210805;651969
adp-->cdappa120,1,210004
f6p-->agdc,2,246592;246594
gdp-->gmand,1,5733
2ddg6p-->glgc,1,643144
atp-->g3pat120,1,486381
coa-->ptpati,1,674344
fe2-->hbzopt,1,704240
utp-->gtpci,2,209541;209546
meoh-->aspt,1,6019
atp-->serat,1,657835
oaa-->glusy,1,391438
gam6p-->glns,1,37497
adn-->leutrs,1,429
mg2-->dutpdp,1,209964
cobalt2-->a5piso,1,2624
ile__l-->serd_l,6,210840;210856;210857;210863;653575;729066
na1-->mets,1,441179
dhap-->fba,2,4943;652787
akg-->fba,1,4914
pmtcoa-->ear121y,1,390503
fe2-->pants,3,977;978;979
met__l-->ocbt,1,485898
g6p-->fbp,1,680799
mn2-->add,1,650622
mg2-->rbk,1,641005
val__l-->hsk,1,641470
phpyr-->pdh,1,348956
cit-->fum,1,33771
imp-->prascsi,1,661204
pydx-->gcaldd,1,390214
k-->dhfr,2,392228;392238
na1-->selnps,2,645479;645483
cu2-->zn2abcpp,1,246928
adp-->uamas,1,662701
ppi-->gmps2,1,1362
mg2-->lcadi,2,670833;695015
atp-->ntd1,1,656266
betald-->betaldhx,1,390329
phe__l-->chorm,4,3535;3543;3564;3574
val__l-->serd_l,2,210856;210863
trp__l-->ans,2,33276;33310
mg2-->gsnk,1,641925
ca2-->lcadi,1,288133
amp-->pants,1,979
ahcys-->cfas160e,3,485626;485627;485631
for-->obtfl,1,487220
cu2-->ddpa,1,639771
asp__l-->aspt,1,6021
indole-->alaalar,1,727157
dttp-->tdpgdh,1,5714
gly-->glns,1,37497
imp-->adss,1,1557
mg2-->impd,2,347946;701583
h2s-->sulri,1,348059
fe2-->acnml,1,33332
lald__d-->tala,1,719298
dtdp-->tdpgdh,1,5714
gmp-->ctps2,1,674909
dpcoa-->ptpati,1,674344
zn2-->agpr,1,390280
adp-->tmppp,2,639722;639723
urea-->histd,1,286332
amp-->orpt,1,489719
acon_t-->aconmt,1,288664
ser__l-->serat,1,486752
fdp-->gnd,4,286851;286861;286882;286904
pep-->icdhyr,1,680481
adn-->punp1,1,489693
amp-->atpprt,3,637662;637668;659707
asp__l-->glusy,1,391438
nadp-->hsdy,1,246400
ppi-->kdoct2,1,645227
pyr-->mohmt,1,485700
ppa-->mcitd,1,653158
hom__l-->glusy,1,391438
ca2-->hbzopt,1,704240
pi-->acoda,1,171964
datp-->3ntd2pp,1,656266
zn2-->uagcvt,1,706916
pep-->pps,1,645473
lipa-->moat2,1,698691
na1-->durik1,1,641144
15dap-->lystrs,1,652528
urea-->3oas121,1,486918
cu2-->kdops,3,637395;637397;637416
ahcys-->amaotr,1,637092
imp-->gluprt,1,489747
mg2-->abutd,1,690591
hg2-->kdoct2,1,645227
amet-->hsst,2,487044;671413
cd2-->a5piso,5,2624;652445;660993;671856;715380
prpp-->gluprt,1,489747
cys__l-->cysdds,1,648731
orn-->acota,1,644947
asp__l-->asns2,1,858
fe2-->abutd,1,690591
ca2-->impd,1,701583
ni2-->taudo,1,671717
ctp-->glusy,1,391438
so4-->ppm2,1,3340
datp-->ntpp1,1,655847
pi-->trdr,1,393993
hg2-->sucbzl,1,648945
cu2-->g6pdh2r,1,722473
ppi-->aspct,2,485837;485843
cyan-->no3r2bpp,1,395167
adp-->acgamk,1,641692
amp-->impd,1,347946
ump-->cdappa120,1,210004
atp-->agmhe,1,2357
pep-->fba,1,4914
cyan-->sulri,5,348059;392958;392964;392967;392968
zn2-->orpt,1,489719
gtp-->lysdc,1,714832
cyan-->ntrir2x,2,392923;392929
adn-->amaotr,2,637092;637094
atp-->argtrs,1,280
4per-->a5piso,1,2625
gtp-->glusy,1,391438
mg2-->dmpps,1,661928
uacgam-->uagdp,1,288685
nadh-->g6pdh2r,1,722577
succ-->icl,2,33117;33118
succ-->aspk,1,642329
ac-->agdc,2,246592;246597
cd2-->kdopp,2,646344;652389
gcald-->rbp4e,1,2396
pser__l-->aspt,1,6028
zn2-->abutd,1,690591
pydxn-->gcaldd,1,390214
k-->durik1,1,641144
so3-->cyanst,1,645502
pep-->glgc,3,643144;643161;661743
cu2-->kdopp,2,646344;652389
datp-->rndr1,7,437913;437937;437938;437939;437976;714184;716317
ser__l-->pgcd,12,287525;287530;287546;287547;287548;287551;656083;663605;667649;687564;711203;724307
h2o2-->cbps,2,1725;1731
no2-->fhl,1,698686
mn2-->a5piso,1,2624
ctp-->cytdk2,1,641644
asp__l-->csnd,2,209489;209497
udpglcur-->udpgd,1,286293
dmso-->aspt,2,6001;6019
nadph-->nadk,2,641189;691390
utp-->ntd1,1,656266
nadph-->thd2pp,1,725040
atp-->glusy,1,391438
e4p-->ddpa,1,639796
cu2-->dhqti,1,5463
ala__d-->ghmt2r,2,441412;441424
mg2-->bpnt,1,677696
fe2-->ddpa,1,639771
thr__l-->hsdy,2,246387;246398
adp-->adsk,1,641215
ctp-->ctps2,2,648986;649000
gtp-->aspct,2,485837;685252
pep-->fbp,4,170730;651666;665719;680756
adpglc-->glcp2,1,488238
dtbt-->dbts,1,1334
ahcys-->ahcysns,2,171851;171857
mn2-->gcaldd,1,390215
amp-->adpt,1,638391
3pg-->ppck,1,649304
