,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,bigg.metabolite,chebiID,bigg.reaction
52,,Potassium cation,1.1.1.6,C00238,,39,K+,668061,+,Escherichia coli,BRENDA,k,CHEBI:29103,glycdx
53,,Potassium cation,1.1.1.6,C00238,,39,2 K+,668061,+,Escherichia coli,BRENDA,k,CHEBI:29103,glycdx
978,,Spermidine,1.1.1.49,C00315,,148,spermidine,722577,+,Escherichia coli,BRENDA,spmd,CHEBI:16610,g6pdh2r
1304,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr
1305,,Formate,1.1.1.169,C00058,,120,2 formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr
1577,,N-Acetyl-alpha-D-glucosamine 1-phosphate,1.1.1.336,C04501,,3651,N-acetylglucosamine 1-phosphate,720374,+,Escherichia coli,BRENDA,acgam1p,CHEBI:16446,uacmamo
2313,,Pyridoxal,1.2.1.21,C00250,,608,pyridoxal,390214,+,Escherichia coli,BRENDA,pydx,CHEBI:17310,gcaldd
2314,,Pyridoxal phosphate,1.2.1.21,C00018,,32,pyridoxal 5'-phosphate,390214,+,Escherichia coli,BRENDA,pydx5p,CHEBI:18405,gcaldd
2315,,Pyridoxine,1.2.1.21,C00314,,1051,pyridoxine,390214,+,Escherichia coli,BRENDA,pydxn,CHEBI:16709,gcaldd
2316,,,1.2.1.22,,,153,cysteine,288135,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,lcadi
2317,,,1.2.1.22,,,153,2 cysteine,288135,+,Escherichia coli,BRENDA,cys__l,CHEBI:35235,lcadi
4233,,AMP,1.4.1.4,C00020,,30,AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4234,,AMP,1.4.1.4,C00020,,30,39 AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4235,,AMP,1.4.1.4,C00020,,30,40 AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4236,,AMP,1.4.1.4,C00020,,30,41 AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4237,,AMP,1.4.1.4,C00020,,30,2 AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4238,,AMP,1.4.1.4,C00020,,30,6 AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4239,,AMP,1.4.1.4,C00020,,30,3 AMP,391685,+,Escherichia coli,BRENDA,amp,CHEBI:16027,gludy
4253,,ATP,1.4.1.4,C00002,,4,ATP,391685,+,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
4254,,ATP,1.4.1.4,C00002,,4,2 ATP,391685,+,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
4255,,ATP,1.4.1.4,C00002,,4,16 ATP,391685,+,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
4256,,ATP,1.4.1.4,C00002,,4,6 ATP,391685,+,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
4257,,ATP,1.4.1.4,C00002,,4,3 ATP,391685,+,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
4258,,ATP,1.4.1.4,C00002,,4,4 ATP,391685,+,Escherichia coli,BRENDA,atp,CHEBI:15422,gludy
4324,,UTP,1.4.1.4,C00075,,65,UTP,391675,+,Escherichia coli,BRENDA,utp,CHEBI:15713,gludy
4325,,UTP,1.4.1.4,C00075,,65,3 UTP,391675,+,Escherichia coli,BRENDA,utp,CHEBI:15713,gludy
4516,,L-Aspartate,1.4.3.16,C00049,,97,L-aspartate,391760,+,Escherichia coli,BRENDA,asp__l,CHEBI:17053,aspo6
4857,,ADP,1.6.1.1,C00008,,13,ADP,725040,+,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
4858,,ADP,1.6.1.1,C00008,,13,2 ADP,725040,+,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
4859,,ADP,1.6.1.1,C00008,,13,16 ADP,725040,+,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
4860,,ADP,1.6.1.1,C00008,,13,6 ADP,725040,+,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
4861,,ADP,1.6.1.1,C00008,,13,3 ADP,725040,+,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
4862,,ADP,1.6.1.1,C00008,,13,4 ADP,725040,+,Escherichia coli,BRENDA,adp,CHEBI:16761,thd2pp
4863,,AMP,1.6.1.1,C00020,,30,AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4864,,AMP,1.6.1.1,C00020,,30,39 AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4865,,AMP,1.6.1.1,C00020,,30,40 AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4866,,AMP,1.6.1.1,C00020,,30,41 AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4867,,AMP,1.6.1.1,C00020,,30,2 AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4868,,AMP,1.6.1.1,C00020,,30,6 AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4869,,AMP,1.6.1.1,C00020,,30,3 AMP,725040,+,Escherichia coli,BRENDA,amp,CHEBI:16027,thd2pp
4870,,ATP,1.6.1.1,C00002,,4,ATP,725040,+,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
4871,,ATP,1.6.1.1,C00002,,4,2 ATP,725040,+,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
4872,,ATP,1.6.1.1,C00002,,4,16 ATP,725040,+,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
4873,,ATP,1.6.1.1,C00002,,4,6 ATP,725040,+,Escherichia coli,BRENDA,atp,CHEBI:15422,thd2pp
