bigg.metabolite,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
adp,-0.6686507936507937,-0.6712598425196851,-0.6588355464759958,-0.6567317574511818,-0.664321608040201,-0.6990990990990991,-0.6520833333333333,-0.6373507057546146,-0.616532721010333,-0.6272321428571428,-0.6473072861668426,-0.631753031973539,-0.6385281385281385
akg,-0.21432301679760807,-0.2623646355261031,-0.13445995762366933,-0.2634739852827959,-0.25676553588606177,-0.2105039476251466,-0.19549879061603664,-0.24178664502072028,-0.3786848378037415,-0.31676436671151265,-0.19416584339160686,-0.3593656185278383,-0.23942639317480485
atp,-0.38728167903667265,-0.38479067179004395,-0.38945603309125726,-0.376835642817156,-0.3868441692807867,-0.4219121872630462,-0.38152388740815396,-0.3539755713769711,-0.3488275320677835,-0.35734243308198105,-0.3739115020802902,-0.3647354140023657,-0.37606992559547125
dhap,-0.8771266540642723,-0.8818181818181817,-0.8150782361308677,-0.9058653149891384,-0.8848538529672277,-0.9070100143061516,-0.8648648648648649,-0.9467649467649468,-0.6231884057971014,-0.6941176470588235,-0.7996918335901386,-0.828042328042328,-0.8638743455497382
fdp,-0.4592672659005575,-0.42060774046718763,-0.30937047781687,-0.4273450588895985,-0.443552371541502,-0.47194598911745805,-0.3761661012729372,-0.47264336199764967,-0.033647211636736514,-0.08033001967450447,-0.12671389517854442,-0.15637003607471997,-0.4244672302226259
fum,-0.07970133703768015,-0.07601115760111576,-0.017790956263899184,-0.0929317131610474,-0.05390931810067833,-0.04744787922358016,-0.026093348033811095,-0.04693400467541809,-0.17265064002497657,-0.06128232376904003,-0.09587171613783692,,-0.0665727368791828
gdp,-0.9875444839857651,-0.9757785467128027,-0.9780564263322884,-0.9818181818181818,-0.9856262833675564,-0.9882352941176471,-0.9807162534435262,-0.9666666666666667,-0.9823232323232323,-0.980225988700565,-0.981675392670157,-0.9695652173913043,-0.9801699716713881
glyc3p,-0.9855453350854139,-0.9876195835678109,-0.9857328145265888,-0.9854497354497354,-0.9862241703193487,-0.9881529348411416,-0.985497692814766,-0.999055875032186,-0.9839650145772594,-0.9822866344605474,-0.9854014598540145,-0.9839650145772594,-0.9853039412157648
gmp,-0.14204887444324066,-0.11785714285714285,-0.17323115309214043,-0.11785714285714285,-0.1512605042016807,-0.12774122807017546,-0.13257790368271954,-0.11280621595807842,-0.16895254825124428,-0.09183258837870784,-0.12283488389683081,-0.11280621595807842,-0.12283488389683081
gtp,-0.8571642674150416,-0.8538420059025881,-0.8324738646492198,-0.8678251022594933,-0.8418579450302452,-0.8604389098004124,-0.8086073809502251,-0.820923516595981,-0.7877539519016407,-0.7629600375918462,-0.782783868660324,-0.8347477192736553,-0.8290933561482545
imp,-0.17668840899879026,-0.16296704801347378,-0.15397358061892577,-0.15978798298918223,-0.1615318844982177,-0.1937627390686848,-0.14202074854991045,-0.12521885572224056,-0.12464195397028742,-0.13531367080112588,-0.14328650762901926,-0.16409660612727048,-0.15033738726847382
mal__l,-0.03901943719176094,-0.03576756540406796,-0.010085917071348524,-0.04475244669538417,-0.026182820395039042,-0.022482893450635383,-0.015071267956365797,-0.026361715807844216,-0.02483900643974241,-0.016661100597424764,-0.052132701421800945,-0.1639587342650724,-0.03341114677560548
pep,-0.1313542501496044,-0.20586366631251546,-0.38047018989828907,-0.2669459585467783,-0.1382842517386842,-0.16277512050741616,-0.3583895585568895,-0.41195053256773223,-0.49686583635606296,-0.48074069840786027,-0.5442754469791129,-0.6980187781268586,-0.10248256112605826
succ,-0.08743117307124668,-0.11031148954541131,-0.04427085030317028,-0.09409366787091578,-0.07825627568961611,-0.06787763760783205,-0.05657894520410496,-0.07487998791839096,-0.06954809486819348,-0.05415796163723449,-0.094915536896032,,-0.092915396415498
