met:EC,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
ADP:1.1.1.169,-0.390951276102,-0.39376443418,-0.380530973451,-0.378330373002,-0.386323787259,-0.424972617744,-0.373508353222,-0.358582773366,-0.338374291115,-0.348635235732,-0.368610944077,-0.353049907579,-0.359756097561
ADP:1.1.1.94,-0.457259158752,-0.460188933873,-0.446366782007,-0.444058373871,-0.452429842574,-0.492385786802,-0.438990182328,-0.42321557318,-0.401645474944,-0.412628487518,-0.433828733192,-0.417334304443,-0.424460431655
ADP:2.7.1.56,-0.706498951782,-0.70893970894,-0.697297297297,-0.695321001088,-0.702444208289,-0.734848484848,-0.690949227373,-0.677047289504,-0.657282741738,-0.667458432304,-0.686450167973,-0.671746776084,-0.67816091954
ADP:2.7.2.11,-0.91825613079,-0.919137466307,-0.914893617021,-0.914163090129,-0.916782246879,-0.928229665072,-0.912536443149,-0.907264296754,-0.899497487437,-0.903536977492,-0.910846953938,-0.905213270142,-0.907692307692
ADP:2.7.6.1,-0.668650793651,-0.67125984252,-0.658835546476,-0.656731757451,-0.66432160804,-0.699099099099,-0.652083333333,-0.637350705755,-0.61653272101,-0.627232142857,-0.647307286167,-0.631753031974,-0.638528138528
ADP:3.1.3.5,-0.341438703141,-0.344096871847,-0.331619537275,-0.329551315111,-0.337072921979,-0.373795761079,-0.32502596054,-0.311075781664,-0.292324442025,-0.301825993555,-0.320439100889,-0.30592632141,-0.312169312169
ADP:3.5.4.16,-0.985380116959,-0.985549132948,-0.984732824427,-0.984591679507,-0.985096870343,-0.98727735369,-0.98427672956,-0.98324958124,-0.981718464351,-0.982517482517,-0.983948635634,-0.982847341338,-0.983333333333
AKG:2.3.3.16,-0.257086999022,-0.311594202899,-0.163916391639,-0.312839059675,-0.305301645338,-0.252704031465,-0.235412474849,-0.288389513109,-0.43870014771,-0.371900826446,-0.233870967742,-0.418070444104,-0.285714285714
AKG:2.7.9.2,-0.171559034573,-0.213135068154,-0.105003523608,-0.214108910891,-0.208229426434,-0.168303863785,-0.155585106383,-0.195183776933,-0.318669527897,-0.261627906977,-0.154460719041,-0.300660792952,-0.193138500635
ATP:1.1.1.169,-0.682457053618,-0.679621848739,-0.684917355372,-0.670448406267,-0.681960375391,-0.720055071134,-0.675876726886,-0.643066120538,-0.636688505063,-0.647194910353,-0.667030567686,-0.656144306652,-0.669555796316
ATP:2.7.2.8,-0.0413421210306,-0.0408279169559,-0.0417953728803,-0.0392212635505,-0.0412514192002,-0.0490787950827,-0.0401616569841,-0.0348899965078,-0.0339699386698,-0.0355023953806,-0.0386439820378,-0.0368774553289,-0.039069414591
ATP:3.1.3.5,-0.172116145403,-0.170264287651,-0.173743286372,-0.16443729857,-0.171789947871,-0.199239371088,-0.167855432129,-0.148414245008,-0.144950143674,-0.150708094271,-0.162328398772,-0.155824345109,-0.163883355127
ATP:3.1.3.6,-0.0515918303097,-0.0509569189572,-0.0521513411469,-0.048972021625,-0.0514798488665,-0.0611243133741,-0.0501340059909,-0.0436128417794,-0.0424728833088,-0.0443713073476,-0.0482584314035,-0.0460734642179,-0.0487843384907
ATP:3.5.4.16,-0.999809342231,-0.999806837937,-0.999811498586,-0.999798590131,-0.999808905026,-0.999840688227,-0.99980349774,-0.999772572208,-0.999766191256,-0.99977663614,-0.999795459194,-0.999785269487,-0.999797775531
ATP:3.6.3.16,-0.60244721267,-0.599317055929,-0.605168779811,-0.589233987065,-0.601898390691,-0.644585003438,-0.595192342687,-0.559536897745,-0.552704920461,-0.563976771893,-0.585494605389,-0.573646482895,-0.588256496064
DHAP:4.1.2.13,-0.877126654064,-0.881818181818,-0.815078236131,-0.905865314989,-0.884853852967,-0.907010014306,-0.864864864865,-0.946764946765,-0.623188405797,-0.694117647059,-0.79969183359,-0.828042328042,-0.86387434555
FDP:2.7.1.30,-0.734042553191,-0.688084840923,-0.53314659197,-0.696417729205,-0.715909090909,-0.748110831234,-0.629903774981,-0.748869914616,-0.06191369606,-0.146757679181,-0.229583975347,-0.281609195402,-0.692874692875
FDP:2.7.1.56,-0.18449197861,-0.153130640011,-0.0855943636636,-0.158272388575,-0.171195652174,-0.195781147001,-0.122428427564,-0.19641680938,-0.00538072721344,-0.0139023601681,-0.0238438150104,-0.0311308767471,-0.156059767571
FUM:2.1.3.2,-0.0797013370377,-0.0760111576011,-0.0177909562639,-0.092931713161,-0.0539093181007,-0.0474478792236,-0.0260933480338,-0.0469340046754,-0.172650640025,-0.061282323769,-0.0958717161378,,-0.0665727368792
GDP:1.1.1.271,-0.900974025974,-0.822157434402,-0.836461126005,-0.861047835991,-0.887245841035,-0.906009244992,-0.853717026379,-0.768939393939,-0.864444444444,-0.850490196078,-0.860091743119,-0.785211267606,-0.850122850123
GDP:1.17.4.1,-0.987544483986,-0.975778546713,-0.978056426332,-0.981818181818,-0.985626283368,-0.988235294118,-0.980716253444,-0.966666666667,-0.982323232323,-0.980225988701,-0.98167539267,-0.969565217391,-0.980169971671
GDP:3.5.4.16,-0.99730458221,-0.994708994709,-0.995215311005,-0.99604743083,-0.996884735202,-0.997455470738,-0.995804195804,-0.992665036675,-0.996158770807,-0.995695839311,-0.996015936255,-0.993318485523,-0.995683453237
GLYC3P:1.1.1.94,-0.985545335085,-0.987619583568,-0.985732814527,-0.98544973545,-0.986224170319,-0.988152934841,-0.985497692815,-0.999055875032,-0.983965014577,-0.982286634461,-0.985401459854,-0.983965014577,-0.985303941216
GMP:1.1.1.205,-0.213675213675,-0.178571428571,-0.258064516129,-0.178571428571,-0.226890756303,-0.19298245614,-0.2,-0.171171171171,-0.252032520325,-0.140186915888,-0.185840707965,-0.171171171171,-0.185840707965
GMP:6.3.5.2,-0.0704225352113,-0.0571428571429,-0.0883977900552,-0.0571428571429,-0.0756302521008,-0.0625,-0.0651558073654,-0.054441260745,-0.0858725761773,-0.0434782608696,-0.0598290598291,-0.054441260745,-0.0598290598291
GTP:6.3.4.2,-0.857164267415,-0.853842005903,-0.832473864649,-0.867825102259,-0.84185794503,-0.8604389098,-0.80860738095,-0.820923516596,-0.787753951902,-0.762960037592,-0.78278386866,-0.834747719274,-0.829093356148
IMP:6.3.2.6,-0.176688408999,-0.162967048013,-0.153973580619,-0.159787982989,-0.161531884498,-0.193762739069,-0.14202074855,-0.125218855722,-0.12464195397,-0.135313670801,-0.143286507629,-0.164096606127,-0.150337387268
MAL__L:2.7.2.4,-0.0390194371918,-0.0357675654041,-0.0100859170713,-0.0447524466954,-0.026182820395,-0.0224828934506,-0.0150712679564,-0.0263617158078,-0.0248390064397,-0.0166611005974,-0.0521327014218,-0.163958734265,-0.0334111467756
PEP:1.1.1.42,-0.136490250696,-0.213197969543,-0.390962671906,-0.275700934579,-0.14364640884,-0.16890080429,-0.368635437882,-0.422718808194,-0.507936507937,-0.491803278689,-0.555236728838,-0.707271010387,-0.106628242075
PEP:2.7.1.11,-0.13135425015,-0.205863666313,-0.380470189898,-0.266945958547,-0.138284251739,-0.162775120507,-0.358389558557,-0.411950532568,-0.496865836356,-0.480740698408,-0.544275446979,-0.698018778127,-0.102482561126
PEP:4.1.3.1,-0.052016985138,-0.085977482088,-0.182234432234,-0.116716122651,-0.0550264550265,-0.06589958159,-0.16852886406,-0.202678571429,-0.263808738664,-0.251466890193,-0.30234375,-0.456151035323,-0.0397849462366
SUCC:2.1.3.2,-0.152131782946,-0.190938511327,-0.0777338603426,-0.163479923518,-0.136442141623,-0.118609921934,-0.0990990990991,-0.130650769995,-0.121485943775,-0.0949056115852,-0.164877117633,,-0.161475802587
SUCC:2.6.1.19,-0.0227305631968,-0.029684467764,-0.0108078402638,-0.0247074122237,-0.0200704097557,-0.0171453532816,-0.0140587913091,-0.0191092058417,-0.0176102459613,-0.0134103116893,-0.024953956159,,-0.0243549902435
SUCC:2.7.2.4,-0.00393414689152,-0.00516812033086,-0.00185190997834,-0.00428345983317,-0.00346593295018,-0.00295351505916,-0.00241553471155,-0.00329726815691,-0.00303478718868,-0.00230286069262,-0.00432710672486,,-0.00422110049225
SUCC:6.3.4.4,-0.399644109741,-0.466825410198,-0.238210957247,-0.420302810019,-0.369554061262,-0.333003837889,-0.289822754318,-0.357969698799,-0.339078492204,-0.280067558326,-0.422785607997,,-0.416718675815
