,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
0,1.1.1.169,adp,1.05,Acetate,0.8905,0.458902344757,adp:1.1.1.169
1,1.1.1.94,adp,0.8,Acetate,0.8905,0.526767228631,adp:1.1.1.94
2,1.6.5.11,adp,0.7,Acetate,0.8905,0.559886828041,adp:1.6.5.11
3,2.7.1.170,adp,0.4,Acetate,0.8905,0.69004261914,adp:2.7.1.170
4,2.7.1.56,adp,0.28,Acetate,0.8905,0.760785988894,adp:2.7.1.56
5,2.7.11.5,adp,0.45,Acetate,0.8905,0.664304364043,adp:2.7.11.5
6,2.7.2.11,adp,0.06,Acetate,0.8905,0.936875328774,adp:2.7.2.11
7,2.7.4.1,adp,0.09,Acetate,0.8905,0.908210096889,adp:2.7.4.1
8,2.7.6.1,adp,0.334,Acetate,0.8905,0.72723560637,adp:2.7.6.1
9,3.1.3.31,adp,0.0013,Acetate,0.8905,0.998542274052,adp:3.1.3.31
10,1.1.1.169,amp,6.3,Acetate,0.7179,0.1022955585,amp:1.1.1.169
11,1.1.1.94,amp,5.0,Acetate,0.7179,0.125553087672,amp:1.1.1.94
12,1.6.1.2,amp,3.4,Acetate,0.7179,0.174336433619,amp:1.6.1.2
13,1.6.5.11,amp,0.5,Acetate,0.7179,0.589457262501,amp:1.6.5.11
14,2.7.11.5,amp,0.008,Acetate,0.7179,0.988979198237,amp:2.7.11.5
15,2.7.7.27,amp,0.007,Acetate,0.7179,0.990343495655,amp:2.7.7.27
16,2.7.9.3,amp,0.17,Acetate,0.7179,0.80853699741,amp:2.7.9.3
17,3.1.3.11,amp,0.00062,Acetate,0.7179,0.999137115181,amp:3.1.3.11
18,3.1.3.5,amp,23.0,Acetate,0.7179,0.0302682783889,amp:3.1.3.5
19,6.1.1.1,amp,0.35,Acetate,0.7179,0.672253956363,amp:6.1.1.1
20,1.1.1.169,atp,0.61,Acetate,5.1628,0.894332039911,atp:1.1.1.169
21,1.6.5.11,atp,9.0,Acetate,5.1628,0.364532437089,atp:1.6.5.11
22,2.7.2.8,atp,30.4,Acetate,5.1628,0.145174170763,atp:2.7.2.8
23,3.1.3.31,atp,0.0017,Acetate,5.1628,0.999670829703,atp:3.1.3.31
24,3.1.3.41,atp,0.5,Acetate,5.1628,0.911704457159,atp:3.1.3.41
25,3.1.3.5,atp,24.1,Acetate,5.1628,0.176428776467,atp:3.1.3.5
26,3.1.3.6,atp,24.1,Acetate,5.1628,0.176428776467,atp:3.1.3.6
27,3.6.1.11,atp,24.1,Acetate,5.1628,0.176428776467,atp:3.6.1.11
28,3.6.3.16,atp,0.792,Acetate,5.1628,0.866998051992,atp:3.6.3.16
29,6.3.4.14,atp,27.0,Acetate,5.1628,0.160520850175,atp:6.3.4.14
30,1.1.1.42,pep,0.31,Acetate,0.5633,0.64502461926,pep:1.1.1.42
31,2.7.11.5,pep,0.55,Acetate,0.5633,0.505973232732,pep:2.7.11.5
32,4.1.3.1,pep,0.893,Acetate,0.5633,0.386802169883,pep:4.1.3.1
33,1.1.1.49,nadph,0.01,Acetate,0.1674,0.943630214205,nadph:1.1.1.49
34,1.1.1.86,nadph,0.0012,Acetate,0.1674,0.992882562278,nadph:1.1.1.86
35,1.5.1.30,nadph,0.0035,Acetate,0.1674,0.979520187244,nadph:1.5.1.30
36,1.6.1.2,nadph,0.26,Acetate,0.1674,0.391670566214,nadph:1.6.1.2
37,2.7.11.5,nadph,0.042,Acetate,0.1674,0.799426934097,nadph:2.7.11.5
38,1.1.1.94,nad,0.2,Acetate,7.3239,0.973418041175,nad:1.1.1.94
39,1.6.5.11,nad,0.02,Acetate,7.3239,0.997276651371,nad:1.6.5.11
40,1.1.1.94,nadp,0.25,Acetate,0.0263,0.0951863916033,nadp:1.1.1.94
41,1.5.1.30,nadp,0.0139,Acetate,0.0263,0.654228855721,nadp:1.5.1.30
42,1.6.1.2,nadp,0.17,Acetate,0.0263,0.133978604177,nadp:1.6.1.2
43,1.8.1.9,nadp,0.015,Acetate,0.0263,0.636803874092,nadp:1.8.1.9
44,1.17.4.1,gdp,0.007,Acetate,0.3789,0.981860585644,gdp:1.17.4.1
45,3.6.5.4,gdp,0.0002,Acetate,0.3789,0.999472434714,gdp:3.6.5.4
46,1.8.1.4,nadh,0.009,Acetate,0.0503,0.848229342327,nadh:1.8.1.4
47,2.3.3.16,nadh,0.0028,Acetate,0.0503,0.947269303202,nadh:2.3.3.16
48,2.1.3.2,fum,5.3,Acetate,1.389,0.207654357901,fum:2.1.3.2
49,2.1.3.2,succ,3.5,Acetate,2.1541,0.380980173679,succ:2.1.3.2
50,2.6.1.19,succ,27.0,Acetate,2.1541,0.0738866917518,succ:2.6.1.19
51,2.7.2.4,succ,159.0,Acetate,2.1541,0.0133667092553,succ:2.7.2.4
52,6.3.4.4,succ,0.89,Acetate,2.1541,0.70763115535,succ:6.3.4.4
53,2.3.3.16,akg,0.76,Acetate,0.5795,0.432624113475,akg:2.3.3.16
54,2.3.3.9,pyr,0.65,Acetate,6.9351,0.914305678238,pyr:2.3.3.9
55,2.7.11.5,pyr,0.2,Acetate,6.9351,0.971969558941,pyr:2.7.11.5
56,4.1.2.52,pyr,0.51,Acetate,6.9351,0.931498569529,pyr:4.1.2.52
57,4.1.3.39,pyr,0.51,Acetate,6.9351,0.931498569529,pyr:4.1.3.39
58,2.7.11.5,icit,0.016,Acetate,0.095,0.855855855856,icit:2.7.11.5
59,2.7.4.1,gmp,0.0007,Acetate,0.0985,0.992943548387,gmp:2.7.4.1
60,3.1.3.11,f1p,1.0,Acetate,0.0495,0.0471653168175,f1p:3.1.3.11
61,3.2.2.9,ade,0.3,Acetate,0.0155,0.0491283676704,ade:3.2.2.9
62,6.3.3.3,ade,2.2,Acetate,0.0155,0.00699616339427,ade:6.3.3.3
63,4.1.2.13,dhap,0.13,Acetate,1.5292,0.921648987464,dhap:4.1.2.13
64,6.3.4.2,gtp,0.12,Acetate,1.7021,0.934141924153,gtp:6.3.4.2
65,1.1.1.169,adp,1.05,Fructose,1.3807,0.568025671617,adp:1.1.1.169
66,1.1.1.94,adp,0.8,Fructose,1.3807,0.63314532031,adp:1.1.1.94
67,1.6.5.11,adp,0.7,Fructose,1.3807,0.663574758495,adp:1.6.5.11
68,2.7.1.170,adp,0.4,Fructose,1.3807,0.775369236817,adp:2.7.1.170
69,2.7.1.56,adp,0.28,Fructose,1.3807,0.831396399109,adp:2.7.1.56
70,2.7.11.5,adp,0.45,Fructose,1.3807,0.754192385426,adp:2.7.11.5
71,2.7.2.11,adp,0.06,Fructose,1.3807,0.958353578122,adp:2.7.2.11
72,2.7.4.1,adp,0.09,Fructose,1.3807,0.938804650847,adp:2.7.4.1
73,2.7.6.1,adp,0.334,Fructose,1.3807,0.805213740013,adp:2.7.6.1
74,3.1.3.31,adp,0.0013,Fructose,1.3807,0.999059334298,adp:3.1.3.31
75,1.1.1.169,amp,6.3,Fructose,1.1019,0.14886718275,amp:1.1.1.169
76,1.1.1.94,amp,5.0,Fructose,1.1019,0.180583097068,amp:1.1.1.94
77,1.6.1.2,amp,3.4,Fructose,1.1019,0.244763322153,amp:1.6.1.2
78,1.6.5.11,amp,0.5,Fructose,1.1019,0.687870653599,amp:1.6.5.11
79,2.7.11.5,amp,0.008,Fructose,1.1019,0.992792143436,amp:2.7.11.5
80,2.7.7.27,amp,0.007,Fructose,1.1019,0.993687438002,amp:2.7.7.27
