bigg.metabolite,Glucose,Fructose,Galactose,Gluconate,Mannitol,Sorbitol,Mannose,Glycerol,Pyruvate,Lactate,Acetate,Succinate,glcNAc
6pgc,0.19496855345911956,0.458128078817734,0.20043103448275867,0.08798486281929996,0.31313131313131315,0.4043478260869565,0.3357400722021662,0.49732620320855614,0.5195530726256983,0.4151785714285715,0.38750000000000007,0.3705179282868526,0.31000000000000005
acon_c,0.8762855786696735,0.834813517250245,0.8502593120694146,0.834813517250245,0.8140306889954457,0.8275883324450359,0.8502593120694146,0.842363047919325,0.8140306889954457,0.8206669926255746,0.6295398673453171,0.8585268062188922,0.8502593120694146
adp,0.17455318690783805,0.1728835730542716,0.18088654904955181,0.18225489731992012,0.17733639484196534,0.15542131087098332,0.18529209204342895,0.19504532604969282,0.20916693838682437,0.20185848814038693,0.18843257839203964,0.1988027240559378,0.19425863991081382
akg,0.7825282790151736,0.7334590674695813,0.8639180712092032,0.7323254410316353,0.7391804151618857,0.7864264129940082,0.8017373432956909,0.7544836361165888,0.6145932974652245,0.6778578086455593,0.8030970513509879,0.634324224637953,0.7568945763163042
atp,0.12072434607645877,0.12211668928086838,0.11952191235059761,0.12667135819845177,0.12096774193548387,0.10291595197255576,0.12396694214876025,0.14073494917904605,0.14411529223378694,0.13856812933025398,0.1283880171184022,0.1339285714285714,0.1271186440677966
cit,0.8757083100230927,0.8295446979533844,0.907292504201358,0.8541407604083022,0.859070730381638,0.893226355507582,0.9142589693708223,0.8731396944441958,0.8592773811217762,0.8925567896433196,0.6318843173776492,0.8832871738197682,0.8710106640206885
dhap,0.3924487930200758,0.3820214845823744,0.510377836887303,0.32439995660707155,0.3751405910936732,0.3214682564213256,0.4185745218590225,0.20681640208166235,0.7339881131840651,0.6683232821904614,0.5348810697392392,0.48843268211811747,0.4206169872808149
f6p,0.6489891617965562,0.6208980547463532,,0.6349753480900255,0.6576985028012166,0.5600075276129957,0.41268200325251125,0.6781762895308829,0.6704448567410999,0.5664795761577864,0.6080596681260919,0.49497671687156874,0.6195898603037014
fdp,0.11237668727017369,0.13673922310083797,0.234290442018795,0.13218715826550131,0.12177591709095514,0.1052672965587077,0.17033367440098446,0.10488811745209448,0.841127367492555,0.6701360674302994,0.5397165313514463,0.4712899083544472,0.13411510012869365
fum,0.49738925053500893,0.5102397865593609,0.8255280020910429,0.45549256512979763,0.6006514207740128,0.6324305226474551,0.7618374991177156,0.6350832181767803,0.2911308637309089,0.567625152182901,0.446976436465926,,0.5457994900822791
g6p,0.5315981713359189,0.6902012966245952,,0.6124027795526654,0.6486987595736808,0.6188975272208361,0.5855335305610301,0.6431011642220484,0.6200074062595891,0.5625631825868538,0.5846494304648183,0.5154935625995771,0.6473635549791472
gdp,0.3867403314917127,0.5537974683544303,0.5287009063444108,0.4807692307692307,0.4216867469879517,0.3731343283582089,0.4957507082152973,0.6329113924050632,0.4736129905277401,0.5021520803443328,0.482758620689655,0.6108202443280977,0.5028735632183907
glyc3p,0.5410376154278536,0.501977695641366,0.5377551050284417,0.5426939890089924,0.5289307768653498,0.49086284827219756,0.5418645326686129,0.07090471440044704,0.5669994145584849,0.5916099208071057,0.5435259961964458,0.5669994145584849,0.5451977104669297
gmp,0.9122807017543859,0.9285714285714286,0.8904109589041096,0.9285714285714286,0.9059233449477352,0.9219858156028369,0.9187279151943463,0.931899641577061,0.8934707903780069,0.9454545454545454,0.9252669039145908,0.931899641577061,0.9252669039145908
gtp,0.28675345798779023,0.2921588800445127,0.3258881083031615,0.26909920013724625,0.31129173862234794,0.2813812664130139,0.3615798014525344,0.343410438777811,0.3912040662498581,0.4246982178740269,0.3980635655188693,0.3223815041260619,0.3310662216054221
imp,0.017115126006957415,0.018832466584151608,0.02012017762692886,0.019271470865208973,0.01902856050886126,0.015311326677603598,0.022077540409520258,0.025442422765087236,0.025573596143501964,0.02332324888059989,0.02185519774390199,0.018680487415326574,0.020683492127108405
