,EC_number,bigg.metabolite,KM_Value,growth condition,concentration,saturation,met:EC,elasticity,bigg.reaction
0,1.1.1.140,f6p,0.568,Galactose,,,f6p:1.1.1.140,,sbtpd
1,2.2.1.1,f6p,1.1,Galactose,,,f6p:2.2.1.1,,tkt1
2,2.2.1.2,f6p,1.15336908402,Galactose,,,f6p:2.2.1.2,,tala
3,2.6.1.16,f6p,0.608829444704,Galactose,,,f6p:2.6.1.16,,gf6pta
4,2.7.1.11,f6p,0.0407616378371,Galactose,,,f6p:2.7.1.11,,pfk
5,3.5.99.6,f6p,1.7,Galactose,,,f6p:3.5.99.6,,g6pda
6,5.3.1.8,f6p,0.15,Galactose,,,f6p:5.3.1.8,,man6pi
7,5.3.1.9,f6p,0.171464281995,Galactose,,,f6p:5.3.1.9,,pgi
8,1.1.1.205,imp,0.0217548542475,Galactose,1.691,0.987298325739,imp:1.1.1.205,0.0127016742609,impd
9,3.1.3.5,imp,0.66,Galactose,1.691,0.719268396427,imp:3.1.3.5,0.280731603573,ntd10
10,6.3.4.4,imp,0.0347218297492,Galactose,1.691,0.979879822373,imp:6.3.4.4,0.0201201776269,adss
11,1.1.1.290,akg,0.093,Galactose,0.149,0.615702479339,akg:1.1.1.290,0.384297520661,perd
12,1.1.1.95,akg,0.0607947366143,Galactose,0.149,0.710218008348,akg:1.1.1.95,0.289781991652,pgcd
13,1.14.11.17,akg,0.0158655010498,Galactose,0.149,0.903767004323,akg:1.14.11.17,0.0962329956769,taudo
14,1.4.1.13,akg,0.0374939158528,Galactose,0.149,0.798953678026,akg:1.4.1.13,0.201046321974,glusy
15,1.4.1.4,akg,3.55791610907,Galactose,0.149,0.0401951367702,akg:1.4.1.4,0.95980486323,gludy
16,2.2.1.9,akg,1.5,Galactose,0.149,0.0903577926016,akg:2.2.1.9,0.909642207398,sephchcs
17,2.6.1.1,akg,0.215827708975,Galactose,0.149,0.408411960864,akg:2.6.1.1,0.591588039136,aspta
