,bigg.metabolite,subsystem
0,4crsol,Intracellular demand
1,5drib,Intracellular demand
2,aacald,Intracellular demand
3,amob,Intracellular demand
4,mththf,Intracellular demand
5,oxam,Intracellular demand
6,pydx5p,Biomass and maintenance functions
7,cobalt2,Biomass and maintenance functions
8,fe3,Biomass and maintenance functions
9,mococdp,Biomass and maintenance functions
10,hemeo,Biomass and maintenance functions
11,ribflv,Biomass and maintenance functions
12,spmd,Biomass and maintenance functions
13,datp,Biomass and maintenance functions
14,ser__l,Biomass and maintenance functions
15,thr__l,Biomass and maintenance functions
17,enter,Biomass and maintenance functions
18,ala__l,Biomass and maintenance functions
19,2dmmql8,Biomass and maintenance functions
20,met__l,Biomass and maintenance functions
21,cl,Biomass and maintenance functions
22,gln__l,Biomass and maintenance functions
23,cu2,Biomass and maintenance functions
24,nadp,Biomass and maintenance functions
25,his__l,Biomass and maintenance functions
26,ppi,Biomass and maintenance functions
28,pi,Biomass and maintenance functions
29,fad,Biomass and maintenance functions
32,ile__l,Biomass and maintenance functions
33,ni2,Biomass and maintenance functions
34,pg161,Biomass and maintenance functions
35,pe161,Biomass and maintenance functions
36,ctp,Biomass and maintenance functions
37,gthrd,Biomass and maintenance functions
38,mg2,Biomass and maintenance functions
39,mql8,Biomass and maintenance functions
40,val__l,Biomass and maintenance functions
41,atp,Biomass and maintenance functions
42,mn2,Biomass and maintenance functions
43,2fe2s,Biomass and maintenance functions
44,so4,Biomass and maintenance functions
45,coa,Biomass and maintenance functions
46,thf,Biomass and maintenance functions
47,accoa,Biomass and maintenance functions
48,nadh,Biomass and maintenance functions
50,10fthf,Biomass and maintenance functions
51,5mthf,Biomass and maintenance functions
52,amet,Biomass and maintenance functions
53,nh4,Biomass and maintenance functions
54,lipopb,Biomass and maintenance functions
55,btn,Biomass and maintenance functions
56,mlthf,Biomass and maintenance functions
57,q8h2,Biomass and maintenance functions
58,gtp,Biomass and maintenance functions
60,ptrc,Biomass and maintenance functions
62,cys__l,Biomass and maintenance functions
63,utp,Biomass and maintenance functions
64,mobd,Biomass and maintenance functions
66,glu__l,Biomass and maintenance functions
68,4fe4s,Biomass and maintenance functions
69,pg160,Biomass and maintenance functions
70,pe160,Biomass and maintenance functions
71,pg181,Biomass and maintenance functions
72,pro__l,Biomass and maintenance functions
74,nad,Biomass and maintenance functions
75,gly,Biomass and maintenance functions
76,ca2,Biomass and maintenance functions
77,mocogdp,Biomass and maintenance functions
78,phe__l,Biomass and maintenance functions
79,tyr__l,Biomass and maintenance functions
82,nadph,Biomass and maintenance functions
83,asn__l,Biomass and maintenance functions
84,k,Biomass and maintenance functions
85,h2o,Biomass and maintenance functions
86,fe2,Biomass and maintenance functions
88,udcpdp,Biomass and maintenance functions
89,thmpp,Biomass and maintenance functions
90,chor,Biomass and maintenance functions
91,arg__l,Biomass and maintenance functions
92,h,Biomass and maintenance functions
93,pe181,Biomass and maintenance functions
94,trp__l,Biomass and maintenance functions
95,malcoa,Biomass and maintenance functions
