bigg.metabolite,Alanine and Aspartate Metabolism,Alternate Carbon Metabolism,Anaplerotic Reactions,Arginine and Proline Metabolism,Cell Envelope Biosynthesis,Citric Acid Cycle,Cofactor and Prosthetic Group Biosynthesis,Cysteine Metabolism,Folate Metabolism,Glutamate Metabolism,Glycerophospholipid Metabolism,Glycine and Serine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism,Histidine Metabolism,Inorganic Ion Transport and Metabolism,Lipopolysaccharide Biosynthesis / Recycling,Membrane Lipid Metabolism,Methionine Metabolism,Methylglyoxal Metabolism,Murein Biosynthesis,Murein Recycling,Nitrogen Metabolism,Nucleotide Salvage Pathway,Oxidative Phosphorylation,Pentose Phosphate Pathway,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism,Threonine and Lysine Metabolism,"Transport, Inner Membrane","Tyrosine, Tryptophan, and Phenylalanine Metabolism",Unassigned,"Valine, Leucine, and Isoleucine Metabolism",tRNA Charging
10fthf,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
15dap,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1pyr5c,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
23dappa,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
26dap__m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
2cpr5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
2dda7p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
2ddg6p,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2obut,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
2pg,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
2pglyc,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
3dhq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
3hpp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3mob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
3pg,,,2.0,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,
3psme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
3sala,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4abut,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ahmmp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4hbz,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
4hthr,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4mop,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4per,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ppan,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5mta,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
5mthf,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6hmhpt,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6pgc,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
8aonn,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
aacoa,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ac,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,
acald,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,
accoa,,2.0,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
acgam1p,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acgam6p,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acglu,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acon_c,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
acon_t,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
actp,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ade,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,
adn,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,2.0,,,3.0,,,,,,,2.0
adp,1.0,4.0,,1.0,3.0,1.0,7.0,1.0,,1.0,1.0,,4.0,,1.0,1.0,1.0,,,,,1.0,,5.0,1.0,,5.0,1.0,,,,,,1.0
adpglc,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
adprib,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
ag,1.0,2.0,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
agm,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahcys,,1.0,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,
air,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
akg,,,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,
ala__d,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ala__l,,,,1.0,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,
