,EC_number,subsystem,$| log_{10}(\Gamma) |$,bigg.metabolite,num_regulators,Regulation
0,1.1.1.-,Methylglyoxal Metabolism,3.66,0.0,0 regulators,not regulated
1,1.1.1.1,Unassigned,3.36,0.0,0 regulators,not regulated
2,1.1.1.130,Alternate Carbon Metabolism,3.66,2.0,1-2 regulators,regulated
3,1.1.1.133,Cell Envelope Biosynthesis,0.81,0.0,0 regulators,not regulated
4,1.1.1.140,Alternate Carbon Metabolism,2.64,1.0,1-2 regulators,regulated
5,1.1.1.17,Alternate Carbon Metabolism,1.75,0.0,0 regulators,not regulated
6,1.1.1.193,Cofactor and Prosthetic Group Biosynthesis,4.87,0.0,0 regulators,not regulated
7,1.1.1.205,Purine and Pyrimidine Biosynthesis,3.95,11.0,3+ regulators,regulated
8,1.1.1.215,Alternate Carbon Metabolism,4.72,0.0,0 regulators,not regulated
9,1.1.1.22,Cell Envelope Biosynthesis,2.88,2.0,1-2 regulators,regulated
10,1.1.1.267,Cofactor and Prosthetic Group Biosynthesis,4.02,2.0,1-2 regulators,regulated
11,1.1.1.271,Cell Envelope Biosynthesis,0.81,2.0,1-2 regulators,regulated
12,1.1.1.282,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",9.175,0.0,0 regulators,not regulated
13,1.1.1.290,Cofactor and Prosthetic Group Biosynthesis,3.66,0.0,0 regulators,not regulated
14,1.1.1.298,Nucleotide Salvage Pathway,4.34,0.0,0 regulators,not regulated
15,1.1.1.336,Cell Envelope Biosynthesis,3.44,2.0,1-2 regulators,regulated
16,1.1.1.35,Alternate Carbon Metabolism,3.66,0.0,0 regulators,not regulated
17,1.1.1.35,Membrane Lipid Metabolism,3.63,0.0,0 regulators,not regulated
18,1.1.1.350,Alternate Carbon Metabolism,2.53,0.0,0 regulators,not regulated
19,1.1.1.381,Threonine and Lysine Metabolism,9.22,0.0,0 regulators,not regulated
20,1.1.1.42,Citric Acid Cycle,1.8,2.0,1-2 regulators,regulated
21,1.1.1.49,Pentose Phosphate Pathway,1.13,9.0,3+ regulators,regulated
22,1.1.1.57,Alternate Carbon Metabolism,2.33,8.0,3+ regulators,regulated
23,1.1.1.58,Alternate Carbon Metabolism,2.42,3.0,3+ regulators,regulated
24,1.1.1.6,Alternate Carbon Metabolism,4.45,5.0,3+ regulators,regulated
25,1.1.1.61,Arginine and Proline Metabolism,0.47,0.0,0 regulators,not regulated
26,1.1.1.69,Alternate Carbon Metabolism,4.65,0.0,0 regulators,not regulated
27,1.1.1.71,Pyruvate Metabolism,3.87,0.0,0 regulators,not regulated
28,1.1.1.72,Alternate Carbon Metabolism,7.48,0.0,0 regulators,not regulated
29,1.1.1.79,Glyoxylate Metabolism,8.51,0.0,0 regulators,not regulated
30,1.1.1.85,"Valine, Leucine, and Isoleucine Metabolism",6.41,0.0,0 regulators,not regulated
31,1.1.1.86,"Valine, Leucine, and Isoleucine Metabolism",3.7,3.0,3+ regulators,regulated
32,1.1.1.94,Alternate Carbon Metabolism,4.84,14.0,3+ regulators,regulated
33,1.1.1.95,Glycine and Serine Metabolism,6.46,10.0,3+ regulators,regulated
34,1.1.99.33,Pyruvate Metabolism,1.47,5.0,3+ regulators,regulated
35,1.11.1.16,Unassigned,80.29,0.0,0 regulators,not regulated
36,1.11.1.6,Unassigned,47.34,3.0,3+ regulators,regulated
37,1.13.11.16,Alternate Carbon Metabolism,65.24,1.0,1-2 regulators,regulated
38,1.14.12.17,Nitrogen Metabolism,46.02,3.0,3+ regulators,regulated
39,1.14.12.19,Alternate Carbon Metabolism,60.375,0.0,0 regulators,not regulated
40,1.14.13.127,Alternate Carbon Metabolism,68.09,0.0,0 regulators,not regulated
41,1.16.3.1,Inorganic Ion Transport and Metabolism,2.34,1.0,1-2 regulators,regulated
42,1.17.1.2,Cofactor and Prosthetic Group Biosynthesis,12.395,7.0,3+ regulators,regulated
43,1.17.1.4,Nucleotide Salvage Pathway,3.945,0.0,0 regulators,not regulated
44,1.17.4.1,Nucleotide Salvage Pathway,8.075,12.0,3+ regulators,regulated
45,1.2.1.-,Alternate Carbon Metabolism,8.33,0.0,0 regulators,not regulated
46,1.2.1.10,Pyruvate Metabolism,0.38,4.0,3+ regulators,regulated
47,1.2.1.11,Threonine and Lysine Metabolism,0.21,5.0,3+ regulators,regulated
48,1.2.1.21,Folate Metabolism,12.79,11.0,3+ regulators,regulated
49,1.2.1.24,Arginine and Proline Metabolism,7.65,0.0,0 regulators,not regulated
50,1.2.1.3,Arginine and Proline Metabolism,10.46,11.0,3+ regulators,regulated
51,1.2.1.38,Arginine and Proline Metabolism,3.31,5.0,3+ regulators,regulated
52,1.2.1.41,Arginine and Proline Metabolism,3.81,4.0,3+ regulators,regulated
53,1.2.1.5,Alternate Carbon Metabolism,10.37,0.0,0 regulators,not regulated
54,1.2.1.59,Glycolysis/Gluconeogenesis,3.29,0.0,0 regulators,not regulated
55,1.2.1.71,Arginine and Proline Metabolism,9.05,0.0,0 regulators,not regulated
56,1.2.1.72,Cofactor and Prosthetic Group Biosynthesis,9.47,1.0,1-2 regulators,regulated
57,1.2.1.79,Arginine and Proline Metabolism,7.61,0.0,0 regulators,not regulated
58,1.2.1.8,Unassigned,8.05,12.0,3+ regulators,regulated
59,1.2.4.1,Glycolysis/Gluconeogenesis,4.8,7.0,3+ regulators,regulated
60,1.3.1.1,Nucleotide Salvage Pathway,0.16,0.0,0 regulators,not regulated
61,1.3.1.26,Threonine and Lysine Metabolism,3.69,0.0,0 regulators,not regulated
62,1.3.1.28,Cofactor and Prosthetic Group Biosynthesis,5.87,0.0,0 regulators,not regulated
63,1.3.1.87,Alternate Carbon Metabolism,5.88,0.0,0 regulators,not regulated
64,1.3.1.98,Cell Envelope Biosynthesis,11.79,8.0,3+ regulators,regulated
65,1.3.3.3,Cofactor and Prosthetic Group Biosynthesis,59.68,1.0,1-2 regulators,regulated
66,1.3.99.3,Membrane Lipid Metabolism,9.92,0.0,0 regulators,not regulated
67,1.4.3.5,Cofactor and Prosthetic Group Biosynthesis,22.65,2.0,1-2 regulators,regulated
68,1.5.1.20,Folate Metabolism,7.13,2.0,1-2 regulators,regulated
69,1.5.1.3,Cofactor and Prosthetic Group Biosynthesis,4.76,9.0,3+ regulators,regulated
