,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,bigg.metabolite,chebiID,bigg.reaction,bigg.subsystem.reaction,bigg.subsystem.metabolite,$| log(\Gamma) |$
0,,Potassium cation,1.1.1.6,C00238,,39,K+,668061,+,Escherichia coli,BRENDA,k,CHEBI:29103,glycdx,Alternate Carbon Metabolism,Biomass and maintenance functions,4.45
1,,Potassium cation,1.1.1.6,C00238,,39,K+,668061,+,Escherichia coli,BRENDA,k,CHEBI:29103,glycdx,Alternate Carbon Metabolism,Inorganic Ion Transport and Metabolism,4.45
2,,Spermidine,1.1.1.49,C00315,,148,spermidine,722577,+,Escherichia coli,BRENDA,spmd,CHEBI:16610,g6pdh2r,Pentose Phosphate Pathway,Biomass and maintenance functions,1.13
3,,Spermidine,1.1.1.49,C00315,,148,spermidine,722577,+,Escherichia coli,BRENDA,spmd,CHEBI:16610,g6pdh2r,Pentose Phosphate Pathway,Arginine and Proline Metabolism,1.13
4,,Spermidine,1.1.1.49,C00315,,148,spermidine,722577,+,Escherichia coli,BRENDA,spmd,CHEBI:16610,g6pdh2r,Pentose Phosphate Pathway,"Transport, Inner Membrane",1.13
5,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,Cofactor and Prosthetic Group Biosynthesis,3.49
6,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,Pyruvate Metabolism,3.49
7,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,Alternate Carbon Metabolism,3.49
8,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,"Transport, Inner Membrane",3.49
9,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,Folate Metabolism,3.49
10,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,Purine and Pyrimidine Biosynthesis,3.49
11,,Formate,1.1.1.169,C00058,,120,formate,286109,+,Escherichia coli,BRENDA,for,CHEBI:30751,dpr,Cofactor and Prosthetic Group Biosynthesis,Lipopolysaccharide Biosynthesis / Recycling,3.49
